leaf,verdict,parts,why
torment,base,,the base the user named for tormenting and not built on tor
nervous,compound,nerve,the form of nerve
chaplet,compound,head ring,the wreath worn on the head
loins,compound,loin,the form of loin
balsam,compound,smell gum,the sweet smelling resin
hermit,compound,alone dwell,the one who dwells apart
springhouse,compound,spring house,the house built over a spring to keep food cool
halter,compound,head rope,the rope over the head that leads a beast
lapse,compound,slip fall,a falling away
subterranean,compound,under earth,beneath the earth
chickweed,compound,chick weed,the stellaria the birds feed on
stonecutter,compound,stone cut man,the one who cuts stone
spatulate,compound,spoon shape,shaped like a spoon
nard,name,,the spikenard named only for itself
sororal,compound,sister,of the sister
ajwain,name,,the trachyspermum named only for itself
voracious,compound,much eat,eating past measure
fodder,compound,beast food,the food given to beasts
crocus,name,,the crocus named only for itself
pipit,name,,the anthus bird named only for itself
withering,compound,dry shrink,drying and drawing in
hewing,compound,chop,cutting with blows
shear,compound,wool cut,cutting the wool away
clod,compound,earth lump,the lump of broken earth
