leaf,verdict,parts,why
elude,compound,escape,to slip away from
eth,name,,a letter name and not a word
cheeklet,compound,small cheek,a word form and not a concept
partition,compound,divide,what divides one part from another
midriff,compound,middle body,the middle of the body
varicocele,compound,swell vein,the swollen vein of the cord
kindle,compound,light start,to start a fire
supreme,compound,most high,highest of all
pygmy,compound,small people,the small statured people
abridged,compound,short cut,cut shorter
soluble,compound,melt,able to melt away in liquid
pharyngeal,compound,throat,of the throat
cavernous,compound,cave,full of hollows
doe,compound,female deer,the female deer
lacunose,compound,pit,pitted with hollows
proboscis,compound,long nose,the long feeding nose
infernal,compound,hell,of the world below
planar,compound,flat,lying in one flat plane
lunula,compound,moon nail,the moon shaped pale part of the nail
clayey,compound,clay,made of clay
surety,compound,sure,what makes a thing sure
iridium,name,,the element named only for itself
incomplete,compound,not whole,not made whole
alliance,compound,tie,the tie between two sides
portico,compound,roof post,the roofed row of posts
knotgrass,compound,knot grass,the polygonum with knotted stems
servile,compound,slave,after the manner of a slave
impregnation,compound,seed fill,the filling with seed
chaffy,compound,chaff,full of chaff
lick,compound,tongue rub,to pass the tongue over
kaph,name,,a hebrew letter name
altruism,compound,other love,care for the other before the self
