leaf,verdict,parts,why
trypanosome,compound,blood worm,the worm shaped blood parasite
discarded,compound,throw away,thrown away
harpist,compound,harp play person,the one who plays the harp
shad,compound,river fish,the alosa that runs up rivers
sulphurous,compound,sulphur,of sulphur
chamomile,compound,apple herb,the matricaria that smells of apples
orca,compound,kill whale,the killer whale
pimp,compound,sex trade person,the one who trades in the sex of others
chitinous,compound,shell,made of the hard shell stuff
rejoicing,compound,joy,being full of joy
whelp,compound,young dog,the young of a dog
encloser,compound,shut in person,the one who fences a thing in
goldfish,compound,gold fish,the golden carp
seabream,compound,sea fish,the sparus of the sea
sacrificial,compound,god offer,of the offering made to a god
equestrian,compound,horse ride,of riding horses
evasion,compound,escape,the slipping away
yardland,compound,field measure,the old measure of ploughland
ashcoloured,compound,ash color,of the colour of ashes
osmosis,compound,water pass,the passing of water through a skin
unjust,compound,not just,not just
perforate,compound,pierce,pierced through with holes
peanut,compound,ground nut,the nut that ripens underground
gangway,compound,ship way,the way onto a ship
specular,compound,mirror,like a mirror
pineapple,compound,pine apple,the ananas
ovine,compound,sheep,of the sheep
mosaic,compound,stone piece,the picture set in small stones
tufts,compound,hair bunch,the bunches of hair
neæra,name,,a greek name
myna,compound,talk bird,the acridotheres that mimics speech
hardened,compound,hard make,made hard
