leaf,verdict,parts,why
azure,compound,sky blue,the blue of a clear sky
buskin,compound,high boot,the high boot of the greek stage
aerial,compound,air,of the air
knapsack,compound,back bag,the bag carried on the back
mealybug,compound,flour bug,the insect dusted white like flour
unclean,compound,not clean,not clean
recompense,compound,pay back,paying back what is owed
reduction,compound,less make,making less
medial,compound,middle,in the middle
freckled,compound,spot,marked with small spots
inclination,compound,slope,the leaning of a thing
sighing,compound,breathe out,letting the breath out heavily
molar,compound,grind tooth,the tooth that grinds
dogfish,compound,dog fish,the small shark
samara,compound,wing seed,the seed carried on a wing
papyrine,compound,paper,of paper
decomposition,compound,rot apart,coming apart into its parts
chickpea,compound,chick pea,the cicer pea
caprine,compound,goat,of the goat
seminude,compound,inverse two bare,bare over half the body
grappling,compound,grab hold,taking fast hold of
generation,compound,bear,the bringing forth of young
drone,compound,male bee,the male bee that does not work
nimble,compound,quick,quick and light in moving
cask,compound,barrel,the barrel for liquid
shears,compound,cut blade,the two blades that cut together
flautist,compound,flute play person,the one who plays the flute
shrill,compound,high sharp,high and sharp in sound
fleshhook,compound,flesh hook,the hook for lifting meat
cerasium,name,,the cerasus cherry named only for itself
somewhere,compound,some place,at some place
corvine,compound,crow,of the crow
