leaf,verdict,parts,why
catmint,compound,cat mint,the nepeta cats are drawn to
merchandise,compound,trade good,the goods that are traded
hoarfrost,compound,white frost,the white frost on the ground
diurnal,compound,day,belonging to the day
trochee,compound,beat pair,the long short beat of a verse foot
unicorn,compound,one horn,the beast with one horn
seasonable,compound,time fit,coming at the fitting time
intact,compound,whole,left whole and untouched
provincial,compound,land part,of an outer part of the land
friable,compound,break,easily broken into crumbs
nucleate,compound,seed,bearing a seed or kernel
helium,name,,the element named only for itself
hepatic,compound,gut dark red,of the liver
sojourner,compound,wait person,the one who bides a while in a place
radially,compound,out spread,spreading out from a middle
outward,compound,out,toward the outside
yod,name,,a hebrew letter name
pentagonal,compound,five corner,having five corners
lividly,compound,dark blue,in a dark blue tone
chrysolite,compound,gold stone,the golden green stone
titanated,name,,of the element titanium
avenged,compound,revenge,paid back in revenge
forum,compound,market place,the roman public place
packsaddle,compound,carry saddle,the saddle for carrying loads
triad,compound,three,a group of three
campion,name,,the silene named only for itself
uncleanness,compound,not clean,the state of being unclean
carnivorous,compound,meat eat,feeding on flesh
tyrant,compound,harsh rule person,the ruler who rules harshly
led,compound,lead,the form of lead
carriage,compound,cart,the wheeled carriage
hair.,name,,a word with a stray mark and not a word
