leaf,verdict,parts,why
gangrene,compound,flesh rot,the rotting of the flesh
anorectal,compound,dung gut,of the end of the gut
byssus,compound,shell thread,the threads a mussel holds by
cantharid,compound,blister shell bug,the blister beetle and beetle is judged a compound
porridge,compound,grain soup,the boiled grain
biform,compound,two shape,having two shapes
illegitimate,compound,not law,outside the law
ironwort,compound,wound heal plant,the sideritis said to heal iron wounds
houseleek,compound,house leaf plant,the sempervivum grown on the roof
trousers,compound,leg cloth,the cloth worn on the legs
dubious,compound,doubt,open to doubt
medlar,compound,soft sour fruit,the mespilus eaten soft
pustulous,compound,blister,bearing blisters
trident,compound,three tooth spear,the spear with three points
vigor,compound,strength,the strength of life
renew,compound,new again,made new again
nomy,name,,a suffix fragment and not a word
descent,compound,down come,the coming down
actinium,name,,the element named only for itself
indistinguishable,compound,not tell apart,not able to be told apart
tray,compound,flat plate,the flat carrying plate
eaglestone,compound,eagle stone,the hollow stone said to be found in eagle nests
reefing,compound,sail fold,folding the sail in
chelate,compound,claw,shaped like a claw
maiming,compound,hurt,the lasting hurt of a limb
problematic,compound,trouble make,making trouble
trapezoid,compound,four side shape,the four sided figure with one pair parallel
avian,compound,bird,of the bird
snapdragon,compound,mouth flower,the antirrhinum whose flower opens like a mouth
cádiz,name,,a spanish city
