leaf,verdict,parts,why
hardship,compound,hard life,the hard condition of life
tetanus,compound,muscle tight sick,the sickness that locks the muscles
tuft,compound,hair bunch,the bunch of hairs growing together
strangled,compound,throat shut,killed by closing the throat
alkaliweed,compound,salt weed,the cressa of salt ground
pastoral,compound,shepherd,of the shepherd and the flock
devouring,compound,eat whole,eating it entire
foliate,compound,leaf,bearing leaves
fibular,compound,small leg bone,of the outer bone of the lower leg
fatigue,compound,tire,the state of being worn out
lambkin,compound,young lamb,a word form and not a concept
gnawer,compound,bite person,the one that gnaws
aegis,compound,goat shield,the goat skin shield of athena
bdellium,compound,smell gum,the fragrant resin
equals,compound,same,those that are the same
flycatcher,compound,fly catch bird,the bird that takes flies on the wing
circularly,compound,round,in a round manner
lamentation,compound,sorrow cry,the long cry of grief
chaeta,compound,bristle,the bristle of a worm
warbler,compound,small song bird,the small singing bird
centaur,compound,horse person,the half horse half person
expensive,compound,high cost,costing much
leprous,compound,skin sick,struck with the scaling sickness
blockhead,compound,dull head,the slow witted one
baldmoney,compound,bitter plant,the meum of the hills
turmoil,compound,stir trouble,troubled stirring about
squirt,compound,water shoot,to shoot water out in a jet
niece,compound,sister child,the daughter of a sister or brother
elytron,compound,wing shell,the hard wing case of a beetle
pumice,compound,foam stone,the light stone full of holes
ravenlike,compound,raven,like a raven
brisk,compound,quick,quick and lively
