leaf,verdict,parts,why
sordid,compound,dirty low,mean and dirty
dermis,compound,skin,the living layer of the skin
lemma,compound,grain husk,the outer husk of a grass flower
perception,compound,sense take,the taking in through the senses
dissembler,compound,hide true person,the one who hides what is true
tolerant,compound,bear,able to bear it
afternoon,compound,after noon,the part of the day after noon
neighbour,compound,near dwell person,the one who dwells nearby
po,name,,an italian river
twigs,compound,small branch,the small branches
torque,compound,twist turn,the turning force and the twisted neck ring
mite,compound,small bug,the very small creature
shearwater,compound,wave cut bird,the bird that cuts the water in flight
disloyal,compound,not true,not holding true
uncultivated,compound,wild,left wild and untilled
bounty,compound,free give,giving without stint
eternity,compound,no time end,time without end
stayed,compound,wait,the form of wait
krujë,name,,an albanian town
anchovy,compound,small salt fish,the small fish kept in salt
dizziness,compound,head turn,the turning of the head
leathern,compound,leather,made of leather
cithara,compound,harp,the greek lyre
gammon,compound,pig leg,the cured leg of the pig
chlorite,compound,green stone,the green mineral
recently,compound,new,not long ago
cloaked,compound,cloak,covered in a cloak
headband,compound,head band,the band worn on the head
pediatric,compound,child heal,the healing of children
tiara,compound,head crown,the high crown
loosening,compound,loose,making loose
legendary,compound,story,belonging to the old stories
