leaf,verdict,parts,why
surgical,compound,cut heal,of healing by cutting
doorpost,compound,door post,the post beside the door
manger,compound,feed box,the box the beasts feed from
austere,compound,plain hard,plain and unsparing
reedbed,compound,reed bed,the stand of reeds
stolen,compound,steal,the form of steal
carapace,compound,back shell,the shell over the back
tebi,name,,a unit prefix and not a word
lightened,compound,light,made lighter
terns,compound,fork tail sea bird,the sterna of the shore
perennate,compound,year through live,living on through the year
charioteer,compound,cart drive person,the one who drives the chariot
boredom,compound,dull,the dullness of having nothing to do
cobwebbed,compound,spider web,hung with spider webs
prosperous,compound,thrive,doing well
galaxy,compound,star group,the great gathering of stars
tessera,compound,stone square,the small square stone of a mosaic
allis,name,,the alosa shad named only for itself
begun,compound,begin,the form of begin
turbaned,compound,head cloth,wearing a wound head cloth
majesty,compound,king high,the high state of a king
pulley,compound,wheel rope,the wheel the rope runs over
guineafowl,compound,spot bird,the numida with spotted feathers
weakened,compound,weak,made weak
stingray,compound,sting fish,the flat fish with a stinging tail
seahorse,compound,sea horse,the fish with a head like a horse
antimony,name,,the element named only for itself
sculptor,compound,carve person,the one who carves
viscera,compound,gut,the inner organs
ribboned,compound,ribbon,trimmed with ribbons
dolphinfish,compound,dolphin fish,the coryphaena
indolent,compound,slow work,slow to take up work
