leaf,verdict,parts,why
ryegrass,compound,rye grass,the grass grown as rye
honeybee,compound,honey bee,the bee that makes honey
lancet,compound,small blade,the small two edged blade
dragoness,compound,female dragon,the female dragon
salmon,compound,leap fish,the fish that leaps upstream
syriacus,name,,the place Syria named only for itself
bray,compound,donkey cry,the cry of the donkey
grainfield,compound,grain field,the field sown with grain
ply,compound,fold,one fold of a folded thing
blackbird,compound,black bird,the black bird of the gardens
interchange,compound,exchange,an exchange running both ways
lament,compound,sorrow cry,the cry of sorrow
mitred,compound,cap shape,shaped like the cleft cap
sputum,compound,spit,what is coughed from the chest
ventral,compound,belly side,on the side of the belly
poppyhead,compound,sleep flower head,the seed head of the sleep flower
scapular,compound,shoulder bone,of the shoulder blade
notable,compound,note worth,worth taking note of
drab,compound,dull brown,a dull brown without lustre
hilly,compound,many hill,land carrying many hills
wavily,compound,wave,in the manner of a wave
phallus,compound,male rod,the male rod
pursuit,compound,chase,the act of chasing
suffused,compound,spread over,spread over the whole of it
ocular,compound,eye,of the eye
mamma,compound,milk gland,the gland that gives milk
irritable,compound,quick anger,quick to anger
oblivious,compound,forget,not holding it in mind
eryngo,name,,the eryngium named only for itself
prodigious,compound,huge,great beyond measure
practitioner,compound,practice person,the one who practises an art
crook,compound,bend stick,the staff bent at its head
unwilling,compound,not will,not willing to
knew,compound,know,the form of know
brightest,compound,most bright,the most bright of them
codfish,compound,cod fish,the cod
played,compound,play,the form of play
prow,compound,ship front,the front of the ship
diarrhea,compound,loose dung,the loose flowing dung
cervine,compound,deer,of the deer
taunt,compound,mock,to mock openly
dowry,compound,bride gift,the gift a bride brings
bipartite,compound,two part,cut into two parts
bisnaga,name,,the barrel cactus named only for itself
plaything,compound,toy,a thing to play with
gore,compound,wound blood,the blood of a wound
siphon,compound,pull tube,the tube that draws liquid through
lethargy,compound,weak energy,a state of low energy
chthonic,compound,under earth,of the earth beneath
whither,name,,a word of the grammar and not a concept
scalloped,compound,round edge,edged with rounded notches
nutshell,compound,nut shell,the hard shell of a nut
mangy,compound,mange,carrying mange
azole,name,,a chemical name fragment and not a word
ploughed,compound,plough,the form of plough
shortened,compound,short,made short
tapeworm,compound,tape worm,the flat ribbon worm of the gut
porcine,compound,pig,of the pig
dimorphic,compound,two form,taking two forms
behavior,compound,act way,the way a thing acts
pipkin,compound,small pot,the small earthen pot
emulator,compound,copy,that which imitates another
underground,compound,under ground,beneath the ground
septum,compound,divide wall,the wall that divides a cavity
canthus,compound,eye corner,the corner of the eye
racehorse,compound,race horse,the horse bred to race
mealy,compound,flour dust,dusted as with flour
inhabiting,compound,live in,living in a place
watertight,compound,water tight,shut tight against water
cockchafer,compound,big beetle,the big beetle of the summer dusk
expectant,compound,expect,waiting in expectation
putrefaction,compound,rot,the rotting of dead matter
necklace,compound,neck ring,the ring worn at the neck
cephalic,compound,head,of the head
euro,name,,a fragment of the place Europe
hindrance,compound,block,what blocks the way
sawfish,compound,saw fish,the ray with a toothed snout
errant,compound,wander,wandering from the way
bodily,compound,body,of the body
pluck,compound,pull off,to pull off sharply
bleak,compound,bare cold,bare and cold to look at
nanotech,compound,tiny craft,craft worked at the tiny scale
moose,compound,big deer,the largest of the deer
crustacean,compound,shell animal,the animal in a jointed shell
stag,compound,male deer,the male deer
biliary,compound,bile,of the bile
marjoram,name,,the origanum herb named only for itself
zealous,compound,eager,eager past measure
mantis,compound,pray bug,the bug that holds its arms as in prayer
necrosis,compound,death tissue,tissue gone dead
gnawed,compound,gnaw,the form of gnaw
plūtō,name,,the name Pluto written with macrons
libation,compound,drink offer,the drink poured as an offering
nova,compound,new star,the star that flares up new
rowan,name,,the sorbus tree named only for itself
miniature,compound,tiny,made very small
fungi,compound,fungus,the form of fungus
teratological,compound,monster study,of the study of malformed forms
malt,compound,sweet grain,grain sprouted sweet for brewing
fumatory,compound,smoke,of smoke and fumigation
alkane,name,,a chemical class name and not a word
lammergeier,compound,bone break bird,the vulture that drops bones to break them
written,compound,write,the form of write
crypt,compound,hide room,the hidden chamber below
stammering,compound,break speak,speaking in breaks
naiad,compound,water spirit,the spirit of the running water
were,name,,a form of the copula and not a concept
farro,compound,old wheat,the ancient hulled wheat
acquaintance,compound,know person,a person one knows
nit,compound,louse egg,the egg of the louse
gastric,compound,stomach,of the stomach
equalized,compound,make same,made the same as another
resonant,compound,sound ring,ringing with sound
northwestern,compound,north west,of the north west
morsel,compound,small piece,a small piece of food
conch,compound,spiral shell,the large spiral shell
castrated,compound,cut seed,cut of the seed making parts
surfeit,compound,too much,more than enough
sometimes,compound,some time,at some times and not others
creticus,name,,the place Crete named only for itself
