leaf,verdict,parts,why
ne,name,,a fragment and not a word
lathe,compound,turn wood tool,the tool that turns wood against a blade
sargue,name,,the diplodus bream named only for itself
tigrine,compound,tiger stripe,marked like a tiger
windpipe,compound,throat pipe,the pipe that carries the breath
gregarious,compound,flock,living in a flock
wand,compound,thin stick,the slender rod
calfskin,compound,calf skin,the skin of the calf
glutton,compound,much eat,the one who eats past measure
squill,compound,sea onion,the urginea named the sea onion
currycomb,compound,horse comb,the comb for a horse
household,compound,house group,those who share a house
pirate,compound,sea steal,the one who robs at sea
sheaf,compound,grain bundle,the bound bundle of grain
gallery,compound,long room,the long walking room
glade,compound,tree open space,the open space among the trees
pied,compound,two color,marked in two colours
cornice,compound,roof edge,the moulded edge under the roof
oblivion,compound,forget,the state of being forgotten
oid,name,,a suffix fragment and not a word
