leaf,verdict,parts,why
rasp,compound,rough rub,the coarse file and the sound it makes
wan,compound,pale,pale and worn looking
yale,name,,a heraldic beast and a place
soldierly,compound,soldier,after the manner of a soldier
angrily,compound,anger,in anger
ellipsis,compound,leave out,what is left out of the saying
lawlessness,compound,not law,the state of holding no law
urinated,compound,water out,passed water out of the body
moulder,compound,rot,to crumble away in rot
decree,compound,rule order,the order handed down by a ruler
haircloth,compound,hair cloth,the cloth woven of hair
administrative,compound,order,of the ordering of affairs
apprehended,compound,catch,taken hold of
duped,compound,trick,taken in by a trick
persea,name,,the avocado genus named only for itself
benthic,compound,deep sea,of the deep sea floor
chameleon,compound,color change lizard,the lizard that changes colour
coalesce,compound,join,to grow together into one
them,name,,the source grammar and not a meaning
elk,compound,big deer,the great deer
herald,compound,tell person,the one sent to tell
addition,compound,add,the form of add
rainstorm,compound,rain storm,the storm of rain
deputy,compound,under rule person,the one who rules beneath another
auricular,compound,ear,of the ear
revile,compound,mock,to speak against with scorn
crayfish,compound,river crab,the crab of the river
kinsman,compound,kin person,the one of the same kin
iridescent,compound,rainbow shine,shining with rainbow colours
cytoplasm,compound,cell body,the body of the cell
horsewhip,compound,horse whip,the whip for a horse
likelihood,compound,chance,how likely it is
