leaf,verdict,parts,why
steenbras,name,,the lithognathus fish named only for itself
plundering,compound,steal,taking by force
interposed,compound,put between,set between two things
booted,compound,boot,wearing boots
medic,compound,heal person,the one who heals
withdrawn,compound,pull back,drawn back from
persuasion,compound,mind turn,the turning of another mind
campaign,compound,war run,the stretch of a war
dirge,compound,death song,the song sung over the dead
nautical,compound,boat,of ships and sailing
immortelle,compound,never die flower,the flower that keeps its form dried
hemorrhoid,compound,blood swell,the swollen vein at the end of the gut
flattened,compound,flat,made flat
pulmonary,compound,lung,of the lungs
parch,compound,dry burn,to dry with heat
damasked,compound,cloth weave mark,figured in the weave
straddle,compound,leg spread,standing with the legs apart
shaved,compound,shave,the form of shave
anole,name,,the anolis lizard named only for itself
seedvessel,compound,seed pot,the case that holds the seed
unthought,compound,not think,not thought of
plaice,compound,flat fish,the flat sea fish
quack,compound,duck cry,the cry of the duck
foretell,compound,before tell,to tell before it happens
unrolled,compound,not roll,opened out from a roll
quarrelsome,compound,fight,given to quarrelling
anterior,compound,front,at the front
favourable,compound,good will,showing good will toward
pact,compound,promise,the promise bound between sides
anointed,compound,oil rub,rubbed with oil
pepperwort,compound,pepper taste plant,the lepidium with a biting taste
wergeld,compound,person price,the price set on a person life
