leaf,verdict,parts,why
dromedary,compound,one hump camel,the camel with a single hump
underworld,compound,under world,the world below
argonaut,compound,sail person,the one who sailed on the Argo
amethyst,compound,purple stone,the purple quartz
runaway,compound,run away,the one who has run off
disfigure,compound,spoil shape,to spoil the shape of
facial,compound,face,of the face
recurved,compound,back curve,curved backward
irritation,compound,anger,the state of being chafed
acne,compound,skin blister,the blistering of the skin
atheist,compound,god deny,the one who denies the gods
scorpionfish,compound,scorpion fish,the fish that stings
washbasin,compound,wash bowl,the bowl for washing
troublesome,compound,trouble,giving trouble
opium,compound,sleep gum,the sleep bringing gum of the poppy
encrustation,compound,crust,the crust formed over
girder,compound,hold beam,the beam that carries the load
offshore,compound,off shore,away from the shore
unwaxed,compound,not wax,without wax on it
authority,compound,rule right,the right to rule
mendacious,compound,lie,given to lying
isthmus,compound,neck land,the narrow neck of land
sated,compound,full eat,filled with eating
hoplite,compound,spear soldier,the greek foot soldier with a spear
banquet,compound,great meal,the great feast
psoriasis,compound,skin scale itch,the scaling itch of the skin
consul,compound,high rule person,the roman who held the highest office
cipher,compound,hide speak,writing that hides what it says
.,name,,a mark of punctuation and not a word
troph,compound,feed,the greek for feeding
