leaf,verdict,parts,why
tuple,compound,group,an ordered group of things
trochanter,compound,thigh bone knob,the knob at the head of the thigh bone
ad,name,,a fragment and not a word
adic,name,,a suffix fragment and not a word
titan,compound,giant,the elder giants of the greeks
clement,compound,soft,mild and forbearing
tankard,compound,big cup,the large drinking cup with a lid
gypsum,compound,chalk stone,the soft white mineral
ungulate,compound,hoof beast,the beast that walks on hooves
millstone,compound,grind stone,the stone that grinds the grain
pharynx,compound,throat,the passage behind the mouth
earthnut,compound,earth nut,the tuber dug from the ground
fatso,compound,fat person,a word form and not a concept
hostage,compound,hold person,the one held against a promise
incommensurability,compound,not same measure,having no measure in common
wiki,name,,a modern coinage and not a meaning
unripe,compound,not ripe,not yet ripe
arrogance,compound,proud,overbearing pride
inedible,compound,not eat,not fit to eat
horrible,compound,fear,stirring fear and loathing
macronematous,compound,long thread,bearing long threads
burner.,name,,a word with a stray mark and not a word
slaughter,compound,kill many,the killing of many
disordered,compound,not order,thrown out of order
bastard,compound,not law child,the child born outside the law
aquiline,compound,eagle beak,hooked like an eagle beak
braceleted,compound,arm ring,wearing an arm ring
youthful,compound,young,having the look of youth
yoked,compound,yoke,joined under a yoke
submerged,compound,under water,sunk beneath the water
organized,compound,order,set in order
southwest,compound,south west,the quarter between the two
