leaf,verdict,parts,why
catfish,compound,cat fish,the fish with whiskers like a cat
senile,compound,old weak,weakened by age
malformed,compound,bad shape,shaped wrongly
destructive,compound,break,given to breaking things
accomplice,compound,crime help person,the one who helps in a crime
wau,name,,a letter name and not a word
obligation,compound,bind,what binds one to do a thing
tav,name,,a hebrew letter name
femininizes,compound,woman make,making womanly
sheepskin,compound,sheep skin,the skin of the sheep
smelt,compound,metal melt,to melt the metal out of the ore
lifetime,compound,life time,the time of a life
polar,compound,pole,of the poles of the earth
potherb,compound,cook herb,the herb boiled for the pot
angularize,compound,corner make,to give corners to
glittering,compound,shine,shining in broken points
crossbeam,compound,cross beam,the beam laid across
labyrinth,compound,twist way,the winding passages
shingles,compound,skin blister,the blistering rash along a nerve
katydid,compound,green bug,the green leaf shaped insect
arrowhead,compound,arrow head,the head of the arrow
squinting,compound,eye narrow,narrowing the eyes to see
unceasing,compound,not stop,never stopping
stairmaker,compound,stair make person,the one who makes stairs
uncreated,compound,not make,never made
roused,compound,wake,stirred awake
shook,compound,shake,the form of shake
ef,name,,a letter name and not a word
antennae,compound,feel horn,the feeling horns of an insect
mystic,compound,secret,of the hidden things
rutted,compound,wheel track,cut with wheel tracks
pelagic,compound,deep sea,of the open sea
