leaf,verdict,parts,why
custody,compound,hold guard,the keeping of a thing under guard
flyswatter,compound,fly hit tool,the tool for killing flies
nourished,compound,feed,fed and kept
ploughman,compound,plow person,the one who works the plough
unbecoming,compound,not fit,not fitting to the person
distributing,compound,give out,giving out among many
unsteady,compound,shake,not holding still
hangnail,compound,nail skin,the torn skin beside the nail
centaury,compound,hundred gold plant,the centaurium named for the centaur
peep,compound,small look,the quick small look
globuliferous,compound,ball bear,bearing small balls
inferiority,compound,low,the state of being lower
tress,compound,hair fold,the plaited lock of hair
bereavement,compound,lose,the state of having lost one
smack,compound,hit,the sharp open blow
musty,compound,mold rot,smelling of mould
stern,compound,hard,hard and unbending and the back of a boat
glen,compound,narrow valley,the narrow valley
aloft,compound,up high,high up
breastband,compound,chest band,the band across the chest
protium,name,,the lightest hydrogen named only for itself
itself,name,,the source grammar and not a meaning
adverbializes,name,,a grammar term and not a meaning
babbler,compound,empty talk person,the one who talks to no purpose
anymore,compound,not more,no longer
radiates,compound,out spread,spreading out from the middle
pinecone,compound,pine cone,the cone of the pine
brooch,compound,pin jewel,the jewelled pin
referendum,compound,all ask,the asking of all the people
mixture.,name,,a word with a stray mark and not a word
tiresome,compound,tire,making one tired
leonine,compound,lion,of the lion
