leaf,verdict,parts,why
lees,compound,wine dirt,the dregs settled under the wine
curative,compound,heal,having power to heal
thud,compound,dull sound,the dull heavy sound
nuthatch,compound,nut bird,the sitta that wedges nuts to break them
enclose,compound,shut in,to shut about on every side
genitals,compound,sex part,the parts of sex
gallium,name,,the element named only for itself
slap,compound,hand hit,the open handed blow
scorching,compound,burn,burning the surface
lye,compound,ash water,the sharp water drawn through ashes
shorn,compound,wool cut,with the wool cut away
symbiotic,compound,together live,living together to the good of both
pulsatile,compound,beat,beating in a rhythm
nightmare,compound,night bad dream,the bad dream of the night
freckles,compound,spot,the small brown spots on the skin
fix.,name,,a word with a stray mark and not a word
terebinth,compound,sharp gum tree,the pistacia that yields turpentine
unhappy,compound,not happy,not happy
bindweed,compound,twist weed,the convolvulus that twines about
fluvial,compound,river,of the river
jackdaw,compound,crow,the corvus monedula
leatherwork,compound,leather work,the working of leather
farmeress,compound,farm woman,the woman who farms
udder,compound,milk bag,the milk bag of a beast
osyris,name,,the osyris shrub named only for itself
groma,compound,land measure tool,the roman surveying cross
buck,compound,male deer,the male deer
carob,compound,bean pod tree,the ceratonia with sweet pods
mercurial,compound,quick change,changing quickly in mood
curlew,compound,long beak bird,the numenius with a long curved bill
botulus,compound,gut sausage,the latin for a sausage
bullfinch,compound,red breast bird,the pyrrhula with a red breast
