leaf,verdict,parts,why
elegance,compound,fine grace,fineness of form and bearing
downcast,compound,down cast,with the eyes and spirit cast down
ichor,compound,god blood,the fluid in the veins of the gods
undermined,compound,dig under,weakened from beneath
laburnum,compound,yellow hang flower,the tree with hanging yellow chains
circumnavigation,compound,world round sail,the sailing round the world
fleawort,compound,flea plant,the plantago whose seeds look like fleas
nato,name,,a body of states and not a meaning
pourable,compound,pour,able to be poured
blenny,compound,small rock fish,the blennius of the shore rocks
affinity,compound,near kin,the nearness of kinship
symphysis,compound,bone join,the growing together of two bones
splittable,compound,split,able to be split
girth,compound,round measure,the measure around a body
parma,compound,round shield,the small round roman shield
amoeba,compound,shape change life,the single cell that changes shape
abuse,compound,harm,the doing of harm
felloe,compound,wheel rim,the outer rim of a wheel
encaustic,compound,wax paint burn,painting in wax fixed by heat
coffer,compound,hold box,the strong box
pert,compound,bold,bold beyond its place
cataphract,compound,metal horse soldier,the armoured horseman
assayer,compound,metal test person,the one who tests the metal
opossum,compound,pouch beast,the beast that carries its young in a pouch
vitreous,compound,glass,like glass
terrifying,compound,big fear,striking great fear
cinders,compound,ash burn,the burnt remains of a fire
remora,compound,hold fish,the fish that fastens to a larger one
disappearance,compound,go away,the passing out of sight
impressionable,compound,mark,easily marked by another
wren,compound,small bird,the troglodytes of the hedges
laundrywoman,compound,wash woman,the woman who washes clothes
