leaf,verdict,parts,why
aural,compound,ear,of the ear
prawn,compound,small sea crab,the long bodied sea crawler
bronze,compound,copper tin,the metal of copper and tin
mahaleb,compound,sour cherry tree,the prunus mahaleb
wavering,compound,sway,swaying this way and that
unmentioned,compound,not say,not spoken of
gladiolus,compound,sword leaf flower,the iris with sword shaped leaves
watermelon,compound,water melon,the citrullus full of water
eaves,compound,roof edge,the overhanging edge of the roof
flatfish,compound,flat fish,the fish that lies on its side
aster,compound,star flower,the flower shaped like a star
vervain,compound,holy herb,the verbena used in sacred rites
unfavorable,compound,not good will,showing no good will
planktonic,compound,drift life,of the life that drifts in water
gullet,compound,throat pipe,the pipe food goes down
misery,compound,sorrow,the state of deep sorrow
carline,compound,thorn herb,the carlina thistle
metatarsus,compound,foot bone,the bones between ankle and toes
adored,compound,love,held in deep love
adamantine,compound,hard,hard past breaking
migrating,compound,move,moving from place to place with the season
rostrate,compound,beak,bearing a beak
however,name,,the source grammar and not a meaning
subter,compound,under,the latin for under
might,compound,power,the power to do
ferryboat,compound,cross river boat,the boat that carries across
improperly,compound,wrong way,in the wrong manner
simpleton,compound,simple person,the one of simple wit
bison,compound,wild ox,the wild horned ox
balsamic,compound,smell gum,of the fragrant resin
bitumen,compound,tar,the black pitch from the ground
pollution,compound,dirty make,the making unclean
