leaf,verdict,parts,why
mastiff,compound,big guard dog,the heavy guarding dog
pectinal,compound,comb,shaped like a comb
togate,compound,cloak wear,wearing the roman toga
miller,compound,grind person,the one who grinds the grain
waterwort,compound,small mud plant,the elatine of wet ground
cancerwort,compound,sore heal plant,the kickxia used against sores
indissoluble,compound,not melt apart,not able to be broken up
helix,compound,spiral,the spiral turn and the snail
congregated,compound,gather,drawn together into one
nuptial,compound,marry,of marriage
purified,compound,pure make,made pure
divisible,compound,divide,able to be divided
ewe,compound,female sheep,the female sheep
met,compound,meet,the form of meet
verdigris,compound,green copper rust,the green crust on copper
pollinium,compound,seed dust lump,the lump of pollen carried whole
elegy,compound,sorrow song,the song of mourning
drachma,compound,silver coin,the greek silver coin
forborne,compound,hold back,held back from
sumac,compound,sour tree,the rhus with sour fruit
bullroarer,compound,bull roar,the whirled blade that roars
dormouse,compound,sleep mouse,the mouse that sleeps the winter through
iguana,compound,big lizard,the large tree lizard
polygon,compound,many corner,the figure of many corners
assassin,compound,kill person,the one who kills by stealth
goatskin,compound,goat skin,the skin of the goat
laxative,compound,gut loose,what loosens the gut
anointing,compound,oil rub,the rubbing with oil
principal,compound,chief,first in rank
baptism,compound,water dip,the dipping in water
cobwebby,compound,spider web,hung with spider web
baba,name,,a name and not a meaning
