leaf,verdict,parts,why
overseer,compound,over look person,the one set over the work of others
huckster,compound,small trade person,the one who hawks small goods
thunderbolt,compound,thunder hit,the stroke of the storm
lamented,compound,sorrow,mourned over
loincloth,compound,loin cloth,the cloth worn about the loins
expedition,compound,war journey,the journey made for war
commoners,compound,common person,the people of no rank
sprat,compound,small sea fish,the sprattus of the shoals
beechen,compound,beech,made of beech wood
countenance,compound,face show,the look the face carries
oarlock,compound,oar hold,what holds the oar to the boat
sat,compound,sit,the form of sit
skirmisher,compound,loose fight person,the one who fights ahead of the line
endeavoured,compound,hard try,tried with effort
tufted,compound,hair bunch,bearing tufts
sneezewort,compound,sneeze plant,the achillea whose root makes one sneeze
qoph,name,,a hebrew letter name
beryl,compound,green stone,the green gem
eminence,compound,high stand,standing above the rest
straddling,compound,leg spread,standing with the legs apart
agora,compound,market place,the greek public square
exclamation,compound,cry out,the sudden cry
iamb,compound,short long beat,the short then long beat of a verse foot
unfolded,compound,not fold,opened out flat
victress,compound,win woman,the woman who wins
seething,compound,boil,boiling and churning
unfinished,compound,not done,not brought to an end
grocery,compound,food shop,the shop that sells food
medley,compound,mix,the mixed gathering
barrow,compound,grave hill,the heaped burial mound
buttercup,compound,yellow cup flower,the ranunculus with cup shaped yellow flowers
fornicator,compound,sex law break person,the one who breaks the law of sex
