leaf,verdict,parts,why
beetles,compound,shell bug,the shelled insects
unguent,compound,oil rub,the ointment rubbed on
breakdown,compound,break down,the falling apart
refolded,compound,fold again,folded once more
mattress,compound,bed pad,the padded bed
ploughing,compound,plow,the working of the plough
agile,compound,quick,quick and light in moving
polishable,compound,shine,able to be brought to a shine
utensil,compound,tool,the tool of daily use
thanksgiving,compound,thank give,the giving of thanks
subdued,compound,beat down,brought under
cloven,compound,split,split in two
bleary,compound,eye dim,dim and watering in the eye
camomile,compound,apple herb,the matricaria that smells of apples
hock,compound,leg joint,the joint of the hind leg
counterweight,compound,against weight,the weight set against another
rootlet,compound,small root,the small root
picarel,compound,small fish,the spicara of the sea
giraffe,compound,long neck beast,the beast with the long neck
despised,compound,look down,held in scorn
horological,compound,time study,of the measuring of time
equip,compound,tool give,to give the tools for a work
caesareus,name,,of the roman caesar and a name
greyhound,compound,fast dog,the swift running dog
albugo,compound,white spot,the white spot on the eye or leaf
decanter,compound,pour pot,the vessel wine is poured from
silphium,name,,the lost roman plant named only for itself
provisions,compound,food store,the food laid by
figwort,compound,fig root plant,the scrophularia with knobbed roots
flitch,compound,pig side,the salted side of the pig
endowed,compound,give gift,given a gift to hold
recoil,compound,jump back,to spring back
