leaf,verdict,parts,why
specimen,compound,sample,the one taken to stand for the rest
vane,compound,wind blade,the blade the wind turns
bashful,compound,shame,holding back out of shame
congius,compound,water measure,the roman measure of liquid
firebrand,compound,fire stick,the burning stick
urinating,compound,water out,passing water out of the body
ropemaker,compound,rope make,the one who makes rope
tit,name,,the parus bird named only for itself
flourishing,compound,grow,growing strongly
herpes,compound,skin sick,the sickness that creeps over the skin
venom,compound,poison,the poison of a beast
din,compound,loud noise,the long loud noise
armored,compound,shield cover,covered in plate
shrublike,compound,bush,shaped like a bush
ijssel,name,,a dutch river
bandage,compound,bind cloth,the cloth bound over a wound
streamside,compound,stream side,the side of the stream
grandson,compound,child son,the son of a child
infant,compound,baby,the child not yet speaking
ovum,compound,egg,the latin for an egg
cerulean,compound,sky blue,the blue of the sky
piglet,compound,small pig,the young pig
rudder,compound,steer blade,the blade that steers the boat
vermicular,compound,worm,shaped like a worm
helot,compound,slave,the bound labourer of sparta
chosen,compound,choose,the form of choose
watchfires,compound,watch fire,the fire kept burning on watch
clypeus,compound,face plate,the plate across the face of an insect
sung,compound,sing,the form of sing
felicitous,compound,happy luck,happily chosen
