leaf,verdict,parts,why
seseli,name,,the seseli plant named only for itself
cubs,compound,young beast,the young of a beast
politician,compound,rule work person,the one who works at ruling
saline,compound,salt,of salt
hurdle,compound,fence,the movable fence and the leap over it
potters,compound,pot make person,the one who makes pots
whitlow,compound,nail sick,the sore beside the nail
sibyl,compound,see woman,the woman who foretells
color.,name,,a word with a stray mark and not a word
resinous,compound,resin,full of resin
rapacious,compound,greed,seizing out of greed
proof,compound,true show,what shows a thing true
snore,compound,sleep noise,the noise made in sleep
thither,compound,to there,toward that place
alkanet,compound,red dye plant,the anchusa whose root dyes red
honeycomb,compound,honey comb,the wax comb of honey
strigil,compound,skin rub tool,the tool that scrapes the skin clean
mercenary,compound,pay soldier,the soldier who fights for pay
entwined,compound,twist,wound about each other
storksbill,compound,long beak plant,the erodium with a beak like a bill
landscape,compound,land look,the land as it is seen
conjoined,compound,join,joined together
chaffinch,compound,small bird,the fringilla of the hedges
bristles,compound,bristle,the form of bristle
steely,compound,steel,like steel
feline,compound,cat,of the cat
sufficient,compound,enough,as much as is needed
rhinoceros,compound,nose horn,the beast with a horn on its nose
ruffling,compound,rough,stirring into roughness
fermentation,compound,rise,the working and rising of a brew
lad,compound,young man,the young man
glowworm,compound,shine worm,the worm that shines
