leaf,verdict,parts,why
tun,compound,big barrel,the great cask
coeval,compound,same age,of the same age
oxeye,compound,ox eye,the large round flower head
crib,compound,baby bed,the barred bed and the feed rack
frequently,compound,often,happening often
cávado,name,,a portuguese river
corm,compound,swell stem root,the swollen stem base underground
gravelly,compound,gravel,full of gravel
consanguine,compound,same blood,of one blood
erō,name,,a fragment and not a word
rejoice,compound,joy,to take joy
adherent,compound,stick person,the one who sticks to a cause
abducted,compound,take away,carried off by force
uncut,compound,not cut,left uncut
wept,compound,weep,the form of weep
sidelong,compound,side,turned to one side
natal,compound,birth,of birth
moan,compound,low cry,the low drawn cry
pomade,compound,hair oil,the scented oil for the hair
amen,name,,a word of assent and not a meaning
keg,compound,small barrel,the small cask
pearled,compound,pearl,set with pearls
glove,compound,hand cloth,the covering for the hand
lutist,compound,string play person,the one who plays the lute
peltast,compound,shield soldier,the light greek soldier with a small shield
scolion,compound,feast song,the song passed round at a feast
boötes,name,,a constellation
tepid,compound,little warm,only slightly warm
pastime,compound,time pass,what passes the time
happiness,compound,happy,the state of being happy
published,compound,make known,made known to all
buffoon,compound,fool,the one who plays the fool
