leaf,verdict,parts,why
triturated,compound,grind,ground to powder
crucible,compound,melt pot,the pot metal is melted in
lair,compound,beast den,the den a beast lies in
speckled,compound,spot,marked with small spots
aphid,compound,plant bug,the small insect that sucks plants
enema,compound,gut wash,the washing out of the gut
tellurium,name,,the element named only for itself
profitable,compound,gain,bringing gain
allocation,compound,give out,the giving out of shares
earthborn,compound,earth born,born of the earth
heavier,compound,more heavy,heavier than the other
scytale,compound,message rod,the spartan rod for a coded message
survey,compound,look over,the looking over of a whole
burnable,compound,burn,able to be burned
sarissa,compound,long spear,the long macedonian spear
anllóns,name,,a galician river
talkative,compound,much talk,given to much talking
snakehead,compound,snake head,the channa fish with a head like a snake
culled,compound,pick out,picked out from the rest
initial,compound,begin,at the beginning
pleura.,name,,a word with a stray mark and not a word
metaphorize,compound,picture say,to say one thing as a picture of another
comfrey,compound,heal herb,the symphytum used to knit bone
salpinx,compound,war horn,the greek trumpet
topsail,compound,top sail,the sail above the lowest
snowfly,compound,snow fly,the fly that comes out on the snow
featherlet,compound,small feather,a word form and not a concept
marriageable,compound,marry,of an age to marry
neighboring,compound,near dwell,dwelling nearby
perfidious,compound,false,breaking faith
descendant,compound,down come,the one who comes down from another
denigrator,compound,black make person,the one who blackens another name
