leaf,verdict,parts,why
scrofula,compound,neck swell sick,the swelling of the neck glands
suburbs,compound,town edge,the dwellings at the edge of the town
ptarmigan,compound,snow bird,the lagopus that turns white in winter
alkalis,compound,salt,the salts that answer acid
maidenly,compound,young woman,after the manner of a young woman
tripartite,compound,three part,made in three parts
sarcophagus,compound,flesh eat stone,the greek is flesh eating for the stone coffin
painters,compound,paint person,the one who paints
glitter,compound,shine,shining in broken points
ephemeral,compound,short live,living only a little while
application,compound,put on,the putting of one thing on another
gorgon,compound,snake hair,the greek monster with snakes for hair
confluent,compound,join flow,flowing together
untrustworthy,compound,not trust,not to be trusted
curia,compound,rule house,the roman senate house
flog,compound,whip,to beat with a whip
tavern,compound,drink house,the house where drink is sold
ducal,compound,duke,of a duke
indium,name,,the element named only for itself
forearm,compound,arm front,the front part of the arm
jerusalem,name,,a city
unwarlike,compound,not war,not given to war
fivefold,compound,five fold,folded or multiplied five times
pistachio,compound,green nut,the pistacia nut
cymbal,compound,metal plate,the struck metal plate
pennyroyal,compound,mint plant,the mentha pulegium
pork,compound,pig meat,the meat of the pig
customary,compound,custom,following custom
microcosm,compound,small world,the world in little
embroidered,compound,sew pattern,worked over with a sewn pattern
speakable,compound,speak,able to be spoken
motes,compound,dust,the specks of dust in the air
