leaf,verdict,parts,why
sceptre,compound,king rod,the rod a ruler carries
mephitis,compound,bad smell,the foul breath of the ground
secondary,compound,order two,at the second place in the order
hirsute,compound,hair full,covered thickly in hair
pretext,compound,false reason,the reason given that is not the true one
interaction,compound,between work,the working of two upon each other
imminent,compound,near come,about to come
vigil,compound,night watch,the watch kept through the night
pleasantly,compound,pleasant,in a pleasant way
fillable,compound,fill,able to be filled
annexed,compound,add join,joined on to
overlay,compound,lay over,laid over the top
enriched,compound,rich make,made richer
princely,compound,prince,after the manner of a prince
placenta,compound,birth bag,the bag that feeds the young before birth
genetic,compound,seed,of the seed passed on
timid,compound,quick fear,quick to take fright
histrionic,compound,act show,overacted as on a stage
caecum,compound,blind gut,the blind pouch of the gut
faun,compound,goat spirit,the half goat woodland spirit
pankration,compound,all fight,the greek contest allowing every hold
castellar,compound,castle,of a castle
pyree,name,,a place
psychological,compound,mind study,of the study of the mind
kingdom,compound,king land,the land a ruler holds
priestess,compound,priest woman,the woman who serves at the altar
zephyr,compound,west wind,the gentle west wind
javelined,compound,spear,armed with a spear
tyranny,compound,harsh rule,rule that is harsh
coronilla,compound,crown flower,the crown shaped flower head
recurve,compound,back curve,to curve backward
trifler,compound,small play person,the one who deals in small matters
