leaf,verdict,parts,why
reddening,compound,red,turning red
bacchanal,compound,wine feast,the riotous feast of the wine god
paternal,compound,father,of the father
perfumer,compound,smell make person,the one who makes scents
lentisk,compound,chew gum tree,the pistacia that yields mastic
frivolous,compound,light mind,of no weight or seriousness
sapphirine,compound,blue stone,like the blue stone
coppersmith,compound,copper metal work person,the one who works copper
pliers,compound,grip tool,the tool that grips
laden,compound,load,carrying a load
beget,compound,bear begin,to father a child
excise,compound,cut out,to cut out and the tax laid on goods
parotid,compound,ear gland,the gland beside the ear
diadem,compound,head crown,the band worn as a crown
thatching,compound,straw roof,the roof laid in straw
starwort,compound,star plant,the aster with star shaped flowers
heroine,compound,brave woman,the woman of great deeds
bandit,compound,steal person,the one who robs on the road
inhabitor,compound,dwell person,the one who dwells there
easily,compound,light work,with little work
sultan,compound,land rule person,the ruler of a muslim land
ploughshare,compound,plow blade,the blade that cuts the furrow
vestal,compound,pure fire woman,the roman keeper of the sacred fire
festive,compound,feast,of a feast
owlet,compound,small owl,the young or small owl
immortality,compound,never die,the never dying state
burro,compound,donkey,the small donkey
gnomon,compound,shadow point,the arm of a sundial that casts the shadow
leafroller,compound,leaf roll,the moth whose young roll a leaf
commensurate,compound,same measure,measured by the same measure
gouty,compound,joint sick,struck with the swelling of the joints
hamadryad,compound,tree spirit,the nymph that lives in a tree
