leaf,verdict,parts,why
generative,compound,bear,able to bring forth
sixth,compound,order six,the position in the order and not the fraction
hindmost,compound,back most,furthest to the back
withdrawal,compound,pull back,the drawing back
tench,name,,the tinca fish named only for itself
diademed,compound,crown,wearing a crown
piscine,compound,fish,of the fish
groats,compound,grain hull cut,the hulled and broken grain
unstable,compound,not firm,not holding firm
enigmatic,compound,riddle,like a riddle
rogue,compound,bad person,the dishonest one
ised,name,,a suffix fragment and not a word
bas,name,,a fragment and not a word
wealth,compound,much money,great holding of goods
booklet,compound,small book,the small book
skillfully,compound,skill,with skill
agnate,compound,father kin,kin through the father
headland,compound,head land,the land running out into the sea
irradiate,compound,light shine,to shine light upon
excavate,compound,dig out,to dig out
battlements,compound,wall tooth,the toothed top of a wall
drainage,compound,water lead out,the leading away of water
gifts,compound,gift,the form of gift
jaundice,compound,yellow skin sick,the sickness that yellows the skin
scimitar,compound,curve sword,the curved sword
vanguard,compound,front guard,the guard at the front
yarn,compound,wool thread,the spun thread
brazen,compound,metal hard face,made of brass and so shameless
stade,compound,length measure,the greek measure of length
strumous,compound,neck swell,marked by swollen glands
dogbane,compound,dog poison plant,the apocynum said to poison dogs
unshaven,compound,not shave,not shaved
