leaf,verdict,parts,why
tubule,compound,small pipe,the small pipe within the body
stingily,compound,hold back give,giving as little as may be
unfortunate,compound,bad luck,struck with bad luck
accustomed,compound,custom,brought into a custom
enrich,compound,rich make,to make richer
luminous,compound,light,giving light
scrubland,compound,bush land,the land covered in low bush
persuasive,compound,mind turn,able to turn another mind
seated,compound,sit,set in a seat
refilled,compound,fill again,filled once more
wanton,compound,wild will,following the will with no check
gnome,compound,earth spirit,the spirit of the earth
oxide,compound,sour air join,what the sour air joins with
sprinkled,compound,water throw,scattered over in drops
armlet,compound,arm ring,the ring worn on the arm
nauseousness,compound,sick,the state of turning the stomach
obelus,compound,line mark,the mark used to note a doubtful line
enlarged,compound,big make,made larger
frozen,compound,ice,turned to ice
shellfish,compound,shell fish,the sea creature in a shell
are,name,,the source grammar and not a meaning
grub,compound,young worm,the soft young of an insect
colossus,compound,giant,the giant statue
cornflower,compound,grain flower,the centaurea of the grain fields
reverential,compound,fear love,full of awe and honour
cuirassed,compound,chest plate,wearing a breastplate
trustworthy,compound,trust,fit to be trusted
doable,compound,do,able to be done
rectilinear,compound,straight line,made of straight lines
mischiefmaker,compound,bad play person,the one who stirs up harm
lecherous,compound,sex greed,greedy after sex
semicircular,compound,inverse two round,half of a circle
