leaf,verdict,parts,why
obstinate,compound,hard mind,not to be moved from a purpose
manna,compound,gift food,the food given from the sky
onward,compound,forward,moving forward
jambs,compound,door post,the upright posts of a door
cockle,compound,shell,the ridged sea shell and the corn weed
depilated,compound,hair away,with the hair taken off
salema,name,,the sarpa fish named only for itself
exotic,compound,foreign,brought in from abroad
lichwort,compound,wall plant,the parietaria that grows on walls
fluctuation,compound,rise fall,the rising and falling
unchangeable,compound,not change,not able to be changed
robin,compound,red breast bird,the erithacus with a red breast
haphazardly,compound,chance,left to chance
carnyx,compound,war horn,the celtic war trumpet
primeval,compound,begin age,of the earliest age
courtesy,compound,good will,the showing of good will
asparagus,compound,spear grass,the asparagus shoot like a spear
strangulation,compound,throat shut,the closing of the throat
mischief,compound,bad play,harm done in play
hinny,compound,horse donkey,the cross of a horse and a donkey
maternal,compound,mother,of the mother
housekeeper,compound,house keep person,the one who keeps the house
countable,compound,count,able to be counted
lavender,compound,smell flower,the lavandula grown for its scent
goby,name,,the gobius fish named only for itself
adjectives,name,,a grammar term and not a meaning
guillemot,compound,cliff sea bird,the uria of the cliffs
adroit,compound,skill hand,skilful with the hands
asterisk,compound,star mark,the star shaped mark
auction,compound,high price sell,the sale to the highest offer
polluted,compound,dirty make,made unclean
slavery,compound,slave,the holding of people as slaves
