leaf,verdict,parts,why
cessation,compound,stop,the coming to a stop
destined,compound,fate,set by fate
rut,compound,wheel track,the track worn by wheels
gluttonous,compound,much eat,eating past measure
dyehouse,compound,dye house,the house where cloth is dyed
telescope,compound,far see tool,the tool for seeing far
squeamish,compound,quick sick,quickly turned sick
biferous,compound,two bear,bearing twice in a year
felled,compound,cut down,cut down
longship,compound,long ship,the long norse ship
pivot,compound,turn point,the point a thing turns on
fillet,compound,meat slice,the boneless slice and the binding band
kinglet,compound,small king,the small crowned bird
extendable,compound,stretch,able to be stretched
encircled,compound,ring around,ringed about
hermaphrodite,compound,male female,bearing both male and female parts
cardamom,compound,sweet seed spice,the elettaria seed spice
diamond,compound,hard bright stone,the hardest bright stone
california,name,,a place
pug,compound,flat nose dog,the short faced dog
grouse,name,,the tetrao bird named only for itself
equalization,compound,same make,the making of things the same
ensnared,compound,net trap,caught in a trap
archaeon,compound,old life,the ancient single celled life
abuser,compound,harm person,the one who does harm
moulding,compound,shape,the shaped strip and the forming of it
winnowing,compound,grain blow,blowing the chaff from the grain
cudgel,compound,club,the short thick club
cattail,compound,cat tail,the typha with a head like a cat tail
quadrifid,compound,four split,split into four
arisen,compound,rise,the form of rise
minstrel,compound,song person,the one who goes about singing
