leaf,verdict,parts,why
paver,compound,stone lay person,the one who lays the paving
chatter,compound,quick talk,quick light talking
purse,compound,money bag,the small bag for money
torpor,compound,slow sleep,the heavy slowness of a sleeping beast
sunbeam,compound,sun beam,the beam of the sun
unsettled,compound,not firm,not come to rest
mantle,compound,cloak,the loose cloak over the shoulders
dutiful,compound,duty,keeping to duty
woodcock,compound,wood bird,the scolopax of the woods
excision,compound,cut out,the cutting out
fugitive,compound,run person,the one who runs from hold
freedman,compound,free person,the slave who has been freed
tolerance,compound,bear,how much can be borne
beheld,compound,see,the form of see
denude,compound,bare make,to strip bare
radiation,compound,out spread,the spreading out of rays
bipedal,compound,two foot,walking on two feet
tuff,compound,ash stone,the rock formed of volcanic ash
dissection,compound,cut apart,the cutting apart to see within
thereunto,compound,to there,to that thing
dunghill,compound,dung hill,the heap of dung
ladybird,compound,red spot bug,the coccinella with spotted wings
nominalizer,name,,a grammar term and not a meaning
teasel,compound,comb plant,the dipsacus whose head combs cloth
lappago,name,,the setaria named only for itself
shoelace,compound,shoe string,the string that binds the shoe
sciolist,compound,inverse two know person,the one who knows only a part and speaks as if whole
theft,compound,steal,the taking of what is not yours
semiotics,compound,sign,the study of signs
horticultural,compound,garden,of the garden
oxymel,compound,honey sour,the mix of honey and vinegar
shod,compound,shoe,wearing shoes
