term,gloss,forms,occurrences
"little","little",19193,164192
"leaf","leaf",11882,155274
"flower","flower",7556,108370
"resembling","resembling",18853,92280
"two","two",9398,85702
"under","under",12024,69497
"to bear","to bear",8697,66441
"mouth","mouth",8899,66085
"sword","sword, brand",11555,65916
"wing","wing",7339,60832
"well","well",5511,59811
"long","long",4088,58890
"hair","hair",6065,55038
"loving","loving",3928,48428
"beside","beside",8901,47829
"tooth","tooth",4393,43523
"many","many",2792,42646
"ear","ear",5438,42073
"three","three",4445,41878
"place","A place associated with a specified thing.",4506,41868
"head","head",3198,40172
"short","short",3223,38474
"new","new",6163,37183
"exist","to be, exist",6484,36880
"green","green",6193,36782
"black","black",4519,36347
"action","Added to verb stems to form abstract nouns or nouns of action, process, or result",7197,35869
"thorn","thorn",4956,35768
"back","back",4421,35268
"yellow","yellow",5399,34909
"hand","hand",6155,34697
"white","white",4050,34187
"false","False; not genuine; fake.",8238,33118
"horn","horn",3160,32564
"tail","tail",3003,31246
"name","a male given name from Ancient Greek",4388,31183
"full","full of",5055,31141
"collection","A collection of things that relate to a specific place, person, etc.",6358,30991
"red","red",4388,29269
"one","one",4666,29124
"tiny","Very small.",2853,28379
"small","small",2606,27638
"narrow","narrow",1873,27625
"beside","beside, alongside",3732,27170
"foot","a foot, in its senses as",1719,27008
"foot","foot",3488,26142
"death","death; doom",2782,26052
"heart","heart",2509,25907
"thick","thick",2466,25872
"fly","a fly (the insect)",1937,25462
"ball","ball",2284,25425
"not","not, if...not, unless- an absolutely negative particle like ne so only in combinations",5697,25007
"spot","spot",2800,24974
"mouse","mouse",3835,24967
"gold","gold",3281,24825
"doing","doing",3281,24760
"sharp","sharp",1596,24380
"dog","dog",3602,24347
"small","small; little; puny",416,24063
"snout","snout",1884,23840
"field","field",1875,23380
"seed","seed",2653,22929
"false","combining form of ψευδής (pseudḗs, ""false"")",4214,22924
"fruit","fruit",2585,22769
"wing","wing (of natural or supernatural creatures)",1803,22305
"false","false",4050,22116
"after","afterwards; after",2264,21899
"pig","pig; swine; hog",4415,21112
"cone","cone",1224,21040
"like",": -id; -like; connected to; from the nature of; full of",4023,20937
"single","single",2357,20774
"banded","banded",1440,20576
"hill","a hill",1449,20494
"member","Suffix forming a masculine noun: one connected to, a member of; one from a particular place",2109,19993
"dwarf","dwarf",2265,19544
"tree","tree",1379,19435
"upon","upon",1670,19208
"shape","shape",3383,19109
"flat","flat",1795,19100
"binding","Binding, fusion.",2916,19029
"wood","wood",1943,18790
"eye","eye",2133,18496
"collection","a collection of things that relate to a specific place, person, theme, etc.",2796,18406
"black","wan, shining black (as opposed to āter, dull black)",1307,18254
"point","point",3084,18215
"white","white (properly without luster), dull white",1303,17968
"thin","thin",1183,17354
"to give","to give",2833,17133
"great","great",1901,17023
"parent","parent",1919,16912
"nose","nose",2212,16541
"weaving","weaving",3471,16153
"other","other",1229,16081
"master","master of the house or family",3201,15946
"not","not; used to make words that have a sense opposite to the word (or stem) to which the prefix is attached. Used with stems that begin with vowels and ""h"".",2400,15823
"tongue","tongue",1291,15682
"large","great, large, big; (of things) vast, extensive, spacious (of physical size or quantity)",825,15562
"broad","broad",1323,14766
"striped","striped",1804,14707
"beard","beard",782,14651
"hairy","hairy, shaggy",408,14452
"as","as, a Roman coin originally made of a Roman pound of bronze but later minted from 2, 1, and finally ½ Roman ounces of copper",2158,14396
"intersection","intersection",809,14290
"slender","slender, slim, thin",188,13986
"narrow","narrow, tight",614,13513
"man","apocopic form of ᾰ̓́νδρᾰ (ắndră, accusative singular of ᾱ̆̓νήρ (ā̆nḗr)) and ᾰ̓́νδρε (ắndre, nominative/accusative/vocative dual of ᾱ̆̓νήρ (ā̆nḗr))",780,13425
"sand","sand",1542,13228
"mountain","mountain",2223,13111
"body","body",1365,13021
"adult","full-grown, grown up",555,12989
"skin","skin",1617,12952
"smooth","smooth",703,12814
"snake","snake",1479,12814
"mass","a suffix indicating a structure or mass (especially pathological)",1085,12744
"poison","poison",2585,12744
"through","In verbs: denoting the sense ""through"", as in perforate.",2793,12688
"race","race",2578,12669
"able","-able, tending to be X'ed (for a verb X); a suffix generally deriving adjectives from verbal stems.",1196,12639
"jaw","jaw",1156,12638
"four","four",1328,12539
"stone","stone",1511,12280
"city","an ancient city in Hispania Baetica",2636,12267
"sheep","sheep",2784,12245
"becoming","becoming",601,12221
"salt","salt",2411,12206
"tooth","a tooth",1540,12160
"dew","dew",1124,12086
"fringe","hem, fringe, border of a robe",932,12078
"water","water",1071,11983
"marsh","marsh",1463,11941
"daughter","female child; daughter",1233,11898
"not","no; not",2296,11735
"bow","bow",578,11693
"moving","going, moving",2307,11672
"daughter","Added to the names of people to form a feminine patronym: daughter of",1812,11556
"slender","thin, fine, narrow, slender",955,11475
"scale","scale",1927,11468
"sea","sea",2394,11454
"scale","scale (of a fish or reptile)",964,11399
"shoot","young slip or shoot of a tree, such as is broken off for grafting",1023,11381
"cattle","cow, ox, cattle",2040,10992
"town","An inland town in the south of Sicily mentioned by Ptolemy",2213,10974
"then","then, thereupon",1960,10943
"lip","lip",1374,10933
"exist","to be; to exist",7040,10913
"after","after",2005,10839
"wax","wax, beeswax, honeycomb",802,10677
"very","intensifying prefix: very, greatly",691,10672
"together","Together: the root word is done co-incidently.",1557,10611
"around","around",1347,10607
"nerve","nerve",1052,10562
"worthless","ellipsis of parvī pretiī (""of small a price, of little value""): of little worth, value; mean, low, little",862,10484
"river","a river in Africa, flowing south of the Stachir",1345,10477
"wide","wide",1223,10378
"large","large",1004,10320
"finger","finger",1206,10280
"much","much",1209,10248
"circle","a circle",835,10125
"coil","coil",1271,10028
"action","An action or process, or the result of an action or process.",1259,9845
"comb","comb",738,9764
"up","up",1361,9689
"object","A noun-forming suffix, often forming nouns denoting concrete objects.",585,9643
"stem","stem",940,9618
