term,gloss,forms,occurrences
"named after","named after",34149,457286
"provided with","provided with",20806,155396
"suffix","A suffix used to form taxonomic names, of genera of bacteria.",8089,55755
"s","The name of the letter S.",5367,41933
"to inhabit","to inhabit",4823,33030
"bristle","bristle",4123,30807
"pertaining","Suffix added to nouns or adjectives, forming adjectives: pertaining to, belonging to (""of"").",2466,26973
"appearance","appearance",2537,26441
"half","half",3960,26211
"goldenfleece","prickly goldenfleece; false hawkbit (Urospermum picroides)",24,25809
"suffix","Added to roots or words to form adjectives or nouns; often accented on the ultima",3662,24200
"hedgehog","hedgehog",3500,22608
"passageway","a means of passage, passageway, way, opening",1999,22527
"holm oak","holm oak (Quercus ilex)",1134,21685
"verbal adjective","Creates perfective passive verbal adjectives",2329,20714
"shaped like","shaped like",5020,19952
"aitch","The name of the Latin script letter H/h.",4777,18925
"vermilion","vermilion",2482,16881
"diminutive","suffixed to nouns of any gender, forms neuter diminutive nouns",724,16532
"supportive","agreeing with; supporting; favouring",2903,16313
"lawsuit","lawsuit, action",2414,15455
"c","The name of the letter C.",1854,14621
"fawn","fawn, young deer",3173,14301
"bramble","bramble, blackberry bush",63,14068
"variegated","variegated",1097,13429
"el","The name of the letter L.",2506,13222
"opus","Opus, Greece",951,13095
"relating","Added to nouns or adverbs to form adjectives relating to material, time, and so on: made of, during the time of",1182,12267
"southern","southern",102,12119
"nape","the back of the neck, the withers (of a horse), the nape (of a person)",1195,11838
"marl","marl",1029,11734
"sporus","A eunuch slave of Emperor Nero, whom he married as his empress following the death of his wife, Poppaea Sabina.",1786,11712
"arum","a kind of arum",803,11616
"forehead","the forehead, brow, front",1052,11559
"beautiful","beautiful, fair, pretty",391,11552
"zeus","Zeus",2541,11356
"carrier","Bearer, carrier or conveyor.",512,11322
"d","The name of the letter D.",1476,11320
"dotted","dotted",1260,11255
"grey","grey",1848,11173
"related","From, related to, or like.",3035,11070
"sedge","sedge",276,11064
"adjectival","added to place names to form an adjective: -ian, -ese",1174,11016
"pore","pore, passage in the body.",1435,10813
"io","Io, daughter of Inachus.",2352,10813
"intermediate","intermediate; which is between",34,10366
"whiten","to make white, whiten",1493,10249
"leah","Leah",1260,10175
"extended form","extended form of -ῐ́ς (-ĭ́s)",1391,9797
"african","African",925,9794
"husk","hull, husk, pod",1389,9788
"chi","chi, the name for the twenty-second letter Χ, χ of the Ancient Greek alphabet.",2361,9739
"prolonged","prolonged, protracted, having been prolonged.",209,9556
"sea lettuce","sea lettuce (Ulva lactuca)",575,9400
"storage space","deverbal suffix, typically indicating a space in which things are put or stored",828,9367
"mistress","mistress (of a house, with respect to the servants)",1078,9279
"k","The name of the letter K.",2990,9246
"yellow ochre","yellow ochre",1312,9244
