concept,form,sounds,why,uses,head
person,kiC,3,by load,377,358
act,keq,3,by load,151,145
study,keb,3,by load,101,95
piece,kez,3,by load,98,92
word,kef,3,by load,110,86
together,kex,3,by load,128,82
cover,kej,3,by load,95,70
think,keC,3,by load,92,69
kind,kad,3,by load,94,66
view,koj,3,by load,78,65
mark,koC,3,by load,85,64
item,kud,3,by load,65,62
spot,kus,3,by load,57,53
cloth,kuf,3,by load,61,51
strong,kuz,3,by load,183,51
noise,kux,3,by load,51,50
box,hig,3,by load,58,49
do,kuC,3,by load,66,49
lay,hid,3,by load,61,47
help,hiz,3,by load,79,46
picture,hif,3,by load,58,46
style,hix,3,by load,49,45
land,hij,3,by load,64,43
room,hiC,3,by load,46,43
science,hen,3,by load,43,43
show,heg,3,by load,92,42
cut,heb,3,by load,101,41
skill,het,3,by load,60,41
skin,hes,3,by load,72,38
story,hez,3,by load,51,38
man,hef,3,by load,48,37
animal,hex,3,by load,63,35
believe,heC,3,by load,39,35
build,hej,3,by load,52,35
eat,ham,3,by load,46,34
hair,han,3,by load,45,31
case,had,3,by load,32,30
fight,hag,3,by load,46,30
house,haz,3,by load,37,29
people,has,3,by load,44,29
say,hax,3,by load,47,28
substance,haj,3,by load,29,28
device,hon,3,by load,28,27
fit,hal,3,by load,37,27
support,hac,3,by load,61,27
drink,hoq,3,by load,42,26
expert,hog,3,by load,26,26
hole,hop,3,by load,28,25
able,hof,3,by load,42,24
base,hoj,3,by load,27,24
book,hoz,3,by load,45,24
fast,hos,3,by load,58,24
meal,hox,3,by load,35,24
unit,hoC,3,by load,25,24
angle,hug,3,by load,30,23
friend,huq,3,by load,31,23
ground,hun,3,by load,34,23
touch,hub,3,by load,29,23
go,hus,3,by load,57,22
hard,hut,3,by load,70,22
kill,huf,3,by load,31,22
material,hux,3,by load,22,22
stand,huz,3,by load,36,22
bag,six,3,by load,24,21
creature,sij,3,by load,21,21
guide,hul,3,by load,30,21
harm,sif,3,by load,29,21
joy,huC,3,by load,31,21
money,huj,3,by load,49,21
block,siC,3,by load,39,20
draw,sex,3,by load,38,20
figure,seC,3,by load,24,20
weapon,sag,3,by load,24,20
woman,sej,3,by load,35,20
chance,saj,3,by load,25,19
claim,saC,3,by load,22,19
doctor,soz,3,by load,21,19
head,saz,3,by load,42,19
paper,sax,3,by load,26,19
speak,sab,3,by load,50,19
thread,soq,3,by load,22,19
agree,sub,3,by load,22,18
list,sun,3,by load,27,18
remove,sof,3,by load,172,18
tight,soC,3,by load,33,18
travel,soj,3,by load,38,18
art,zig,3,by load,27,17
check,sul,3,by load,30,17
disease,zit,3,by load,23,17
drop,zib,3,by load,24,17
fact,zet,3,by load,19,17
happy,suj,3,by load,36,17
heat,suC,3,by load,35,17
leg,ziv,3,by load,23,17
live,sux,3,by load,58,17
load,zeb,3,by load,20,17
matter,zec,3,by load,18,17
record,zic,3,by load,22,17
tale,zeg,3,by load,21,17
task,zev,3,by load,19,17
charge,zob,3,by load,19,16
faith,zap,3,by load,25,16
happen,zav,3,by load,21,16
mood,zac,3,by load,20,16
shake,zad,3,by load,34,16
sheet,zot,3,by load,18,16
stage,zar,3,by load,20,16
bed,zov,3,by load,36,15
bug,zuv,3,by load,20,15
deal,zuc,3,by load,18,15
gas,zud,3,by load,22,15
insect,zug,3,by load,25,15
job,zoc,3,by load,27,15
long,zok,3,by load,67,15
stuff,vik,3,by load,15,15
supply,zup,3,by load,21,15
answer,vov,3,by load,17,14
attack,vav,3,by load,21,14
catch,viC,3,by load,32,14
class,vac,3,by load,18,14
