form,means,english,kind
yod,past,-ed as in created,tense
pot,complete state,-ed,tense
reC,ongoing,-ing,tense
gut,state of action,-ing gerund,tense
kif,future,will create,tense
bak,possessive,the bird's food,case
byas,possessive plural,the birds' food,case
zek,one who does x,-er agent,agent
koz,one who receives x,-ee,agent
mon,featuring x,crowned as crown mon,quality
leg,containing,provided with,quality
fol,full of,-ful,quality
lef,less of,-less,quality
taz,very much of,-some,quality
lak,x like,-like,likeness
yip,resembling,-istic,likeness
rav,reminiscent of,-esque,likeness
nix,having some aspects of,-ish,likeness
xit,shaped,shaped like,likeness
hip,emanating x,,quality
zir,pertaining to x,pleasantry,relation
tof,relates to,affectional,relation
lij,x oriented,,relation
van,having the nature of,-ivity -ity -ance,state
dax,the state of being x,-acy -ness -ship,state
dom,state of being,-dom,state
nal,period of x,-hood,state
gin,the nature of doing x,-ence,state
ses,x essence,,state
kin,ability,-ability,ability
kan,capable of being,-able,ability
kun,-ableness,,ability
ved,study or science of,-ology,field
yog,practice of focusing on x,-ism,field
fin,belief in x,,field
gar,language,-ese,field
sox,x society,,group
wux,x system,,group
kix,x process,,process
hap,x event,,process
gem,x game,,process
fos,x force,,process
mox,the model of the action,the transform,process
tul,it is a tool,zipper,thing
ciq,thing,hatchling,thing
kos,disease,-osis,thing
mor,more,-er,degree
mis,most,-est,degree
tub,over,overburden,degree
sup,exceed,super-,degree
fir,hating or fearing,-phobia,stance
huf,opposite,anti-,stance
baq,self,auto-,stance
pak,undo,,stance
mex,mesh,inter-,stance
sem,same,sym-,stance
vav,repeat,,stance
fom,formal x,,register
