name_code,latin,chinese,pinyin,literal,tune,from,half,open,said_genus,said_species
T20171000000006,"Takakia ceratophylla","藻苔属角叶藻苔","zǎo tái shǔ jiǎo yè zǎo tái","algae + moss | horn + leaf","xalcmos hornlif","chinese","","","xalcmos","hornlif"
T20171000000008,"Takakia lepidozioides","藻苔属藻苔","zǎo tái shǔ zǎo tái","algae + moss","xalcmos","chinese","","","xalcmos",""
T20171000000012,"Sphagnum acutifolioides","泥炭藓属拟尖叶泥炭藓","ní tàn xiǎn shǔ nǐ jiān yè ní tàn xiǎn","peat + moss | sharpness + leaf","drojmos wemplif","latin","","","drojmos","wemplif"
T20171000000013,"Sphagnum angustifolium","泥炭藓属小叶泥炭藓","ní tàn xiǎn shǔ xiǎo yè ní tàn xiǎn","peat + moss | narrow + leaf","drojmos woiqlif","latin","","","drojmos","woiqlif"
T20171000000015,"Sphagnum angstroemii","泥炭藓属截叶泥炭藓","ní tàn xiǎn shǔ jié yè ní tàn xiǎn","peat + moss | cut off + leaf","drojmos peCvonlif","chinese","","","drojmos","peCvonlif"
T20171000000017,"Sphagnum capillifolium","泥炭藓属尖叶泥炭藓","ní tàn xiǎn shǔ jiān yè ní tàn xiǎn","peat + moss | hair + leaf","drojmos cexlif","latin","","","drojmos","cexlif"
T20171000000022,"Sphagnum chinense","泥炭藓属中华泥炭藓","ní tàn xiǎn shǔ zhōng huá ní tàn xiǎn","peat + moss | middle + land","drojmos modland","latin","","","drojmos","modland"
T20171000000023,"Sphagnum compactum","泥炭藓属密叶泥炭藓","ní tàn xiǎn shǔ mì yè ní tàn xiǎn","peat + moss | agreement","drojmos ros","latin","","","drojmos","ros"
T20171000000027,"Sphagnum contortum","泥炭藓属扭枝泥炭藓","ní tàn xiǎn shǔ niǔ zhī ní tàn xiǎn","peat + moss | contorted","drojmos mump","latin","","","drojmos","mump"
T20171000000029,"Sphagnum cuspidatulum","泥炭藓属拟狭叶泥炭藓","ní tàn xiǎn shǔ nǐ xiá yè ní tàn xiǎn","peat + moss | made pointed + little","drojmos crusleClcij","latin","","","drojmos","crusleClcij"
T20171000000031,"Sphagnum cuspidatum","泥炭藓属狭叶泥炭藓","ní tàn xiǎn shǔ xiá yè ní tàn xiǎn","peat + moss | made pointed","drojmos crusleC","latin","","","drojmos","crusleC"
T20171000000033,"Sphagnum denticulatum","泥炭藓属细齿泥炭藓","ní tàn xiǎn shǔ xì chǐ ní tàn xiǎn","peat + moss | toothed","drojmos tuc","latin","","","drojmos","tuc"
T20171000000040,"Sphagnum falcatulum","泥炭藓属长叶泥炭藓","ní tàn xiǎn shǔ cháng yè ní tàn xiǎn","peat + moss | curved + little","drojmos cojcij","latin","","","drojmos","cojcij"
T20171000000042,"Sphagnum fallax","泥炭藓属假泥炭藓","ní tàn xiǎn shǔ jiǎ ní tàn xiǎn","peat + moss | deceptive","drojmos luqk","latin","","","drojmos","luqk"
