word,why
belly,bell is a word and belly is not built on it
early,ear is a word and early is not built on it
archive,arch is a word and archive is not built on it
holy,hoe is not the stem
lily,lil is not a word
jelly,jell is not the stem
family,fami is not a word
melancholy,whole word
monopoly,whole word
science,whole word and pinned
punish,pun is a word and punish is not built on it
polish,pol is not a word
radish,rad is not the stem
varnish,varn is not a word
relish,rel is not a word
lavish,lav is not a word
blemish,blem is not a word
skirmish,skirm is not a word
squeamish,squeam is not a word
anguish,angu is not a word
extinguish,whole word
establish,whole word
diminish,whole word
supply,ply is not the stem
reply,ply is not the stem
apply,ply is not the stem
imply,ply is not the stem
comply,ply is not the stem
multiply,ply is not the stem
native,nat is not a word
revive,viv is not the stem
thrive,thr is not a word
strive,whole word
arrive,whole word
derive,whole word
deprive,whole word
forgive,for plus give is a compound not a suffix
conceive,whole word
perceive,whole word
deceive,whole word
receive,whole word
beehive,bee plus hive is a compound
captive,whole word
primitive,whole word
festive,whole word
positive,whole word
negative,whole word
optative,a grammar term and whole
passive,whole word
cavity,cav is not a word
quality,qual is not a word
trinity,tri is not the stem
necessity,necess is not a word
gravity,grav is not a word
community,commun is not a word
instrument,instru is not a word
ornament,orna is not a word
fragment,frag is not a word
garment,garm is not a word
excrement,excre is not a word
complement,comple is not a word
supplement,supple is not the stem
vehement,vehe is not a word
clement,cle is not a word
ointment,oint is not a word
sediment,sedi is not a word
element,ele is not a word
substance,sub plus stance and whole
distance,whole word
instance,whole word
advance,whole word
balance,whole word
countenance,whole word
abundance,abund is not a word
confluence,conflu is not a word
essence,ess is not a word
silence,sil is not a word
experience,whole word
science,whole word
condition,condi is not a word
question,whole word
auction,whole word
friction,whole word
fiction,whole word
diction,whole word
volition,whole word
nutrition,whole word
petition,whole word
libation,whole word
duration,whole word
apparition,whole word
tension,whole word
dimension,whole word
proportion,pro plus portion and whole
pankration,a Greek sport and a name
precious,preci is not a word
delicious,whole word
serious,whole word
previous,whole word
anxious,whole word
tedious,whole word
dubious,whole word
noxious,whole word
gregarious,whole word
fastidious,whole word
simultaneous,whole word
mendacious,whole word
rapacious,whole word
ambiguous,whole word
voracious,whole word
ferocious,whole word
deciduous,whole word
generous,whole word
viscous,whole word
pompous,whole word
sonorous,whole word
luminous,whole word
frivolous,whole word
credulous,whole word
querulous,whole word
timorous,whole word
onerous,whole word
ravenous,ravin is the stem and raven is a different word
jealous,whole word
reckless,reck is archaic and reckless is the concept
witness,whole word
english,a language name
mansion,mans is not a word
rufous,a Latin colour and whole
passion,pas is not the stem
absence,abs is not a word
torment,tor is a word but torment is not built on it
