num  element         parts
---  --------------  ------------------------
1    hydrogen        water atom
2    helium          sun atom
3    lithium         rock atom
4    beryllium       precious atom
5    boron           bone atom
6    carbon          life atom
7    nitrogen        plant atom
8    oxygen          breath atom
9    fluorine        tooth atom
10   neon            tube atom
11   sodium          salt atom
12   magnesium       ancient atom
13   aluminum        shine atom
14   silicon         sand atom
15   phosphorus      light atom
16   sulfur          stink atom
17   chlorine        green atom
18   argon           slow atom
19   potassium       ash atom
20   calcium         nerve atom
21   scandium        soft atom
22   titanium        strong atom
23   vanadium        beauty atom
24   chromium        color atom
25   manganese       resist atom
26   iron            metal atom
27   cobalt          ring atom
28   nickel          white atom
29   copper          message atom
30   zinc            brittle atom
31   gallium         bird atom
32   germanium       cave atom
33   arsenic         poison atom
34   selenium        moon atom
35   bromine         ocean atom
36   krypton         hidden atom
37   rubidium        red atom
38   strontium       burst atom
39   yttrium         bulb atom
40   zirconium       opaque atom
41   niobium         snow atom
42   molybdenum      dark atom
43   technetium      craft atom
44   ruthenium       still atom
45   rhodium         flower atom
46   palladium       wise atom
47   silver          mirror atom
48   cadmium         source atom
49   indium          ghost atom
50   tin             cover atom
51   antimony        paint atom
52   tellurium       earth atom
53   iodine          stain atom
54   xenon           alien atom
55   caesium         sky atom
56   barium          heavy atom
57   lanthanum       air atom
58   cerium          rust atom
59   praseodymium    wind atom
60   neodymium       magnet atom
61   promethium      fire atom
62   samarium        power atom
63   europium        screen atom
64   gadolinium      seek atom
65   terbium         glow atom
67   holmium         permeate atom
68   erbium          glass atom
69   thulium         beyond atom
70   ytterbium       memory atom
71   lutetium        swamp atom
72   hafnium         tool atom
73   tantalum        charge atom
74   tungsten        wolf atom
75   rhenium         river atom
76   osmium          wing atom
77   iridium         arch atom
78   platinum        noble atom
79   gold            king atom
80   mercury         liquid atom
81   thallium        stick atom
82   lead            death atom
83   bismuth         shadow atom
84   polonium        shake atom
85   astatine        quick atom
86   radon           trace atom
87   francium        loose atom
88   radium          beam atom
89   actinium        spark atom
90   thorium         roar atom
91   protactinium    brief atom
92   uranium         break atom
93   neptunium       wash atom
94   plutonium       far atom
95   americium       smoke atom
96   curium          cheer atom
97   berkelium       bright atom
98   californium     bare atom
99   einsteinium     smart atom
100  fermium         rare atom
101  mendelevium     lead atom
102  nobelium        prize atom
103  lawrencium      open atom
104  rutherfordium   structure atom
105  dubnium         race atom
106  seaborgium      force atom
107  bohrium         deep atom
108  hassium         fresh atom
109  meitnerium      merge atom
110  darmstadtium    birth atom
111  roentgenium     see atom
112  copernicium     center atom
113  nihonium        danger atom
114  flerovium       cloud atom
115  moscovium       heart atom
116  livermorium     host atom
117  tennessine      great atom
118  oganesson       join atom
