english,english_parts,tune,tune_parts,joiner,parts,whole,where,kind
abscess,"pus + pocket",stepaigalc,"step + galc",ai,2,yes,judged,verdict
abuse,"bad + use",futaiyuz,"fut + yuz",ai,2,yes,judged,verdict
acacia,"thorn + tree",rargaidip,"rarg + dip",ai,2,yes,tree,proposal
acetamide,"acetate + amide",,"? + ?",ai,2,no,judged,verdict
acetaminophen,"pain + fever + drug",muzaipudzaisom,"muz + pudz + som",ai,3,yes,drug,proposal
acidemia,"acid + blood",falfaibloC,"falf + bloC",ai,2,yes,judged,verdict
acidosis,"acid + state",falfaidom,"falf + dom",ai,2,yes,judged,verdict
acinus,"gland + sac",smaqaisnaz,"smaq + snaz",ai,2,yes,judged,verdict
actinium,"spark + atom",cadjaitom,"cadj + tom",ai,2,yes,atom,proposal
adenocarcinoma,"gland + cancer",smaqaibudj,"smaq + budj",ai,2,yes,judged,verdict
adenoma,"gland + growth",,"smaq + ?",ai,2,no,judged,verdict
adenosine,"gland + sugar + base",smaqaigandaibes,"smaq + gand + bes",ai,3,yes,judged,verdict
adenovirus,"gland + virus",smaqaitagz,"smaq + tagz",ai,2,yes,judged,verdict
adipocyte,"fat + cell",wesaimudz,"wes + mudz",ai,2,yes,judged,verdict
adjuvant,"help + drug",neqaisom,"neq + som",ai,2,yes,judged,verdict
adrenaline,"alert + heart + hormone",palvaizifaisnen,"palv + zif + snen",ai,3,yes,drug,proposal
agave,"sharp + thick + leaf",bontaisespailif,"bont + sesp + lif",ai,3,yes,plant,proposal
agenesis,"no + growth",,"nop + ?",ai,2,no,judged,verdict
agriculture,"field + craft",goraiyabz,"gor + yabz",ai,2,yes,judged,verdict
aircraft,"air + craft",lesaiyabz,"les + yabz",ai,2,yes,judged,verdict
airway,"air + way",lesaiyat,"les + yat",ai,2,yes,judged,verdict
alanine,"amino + acid",,"? + falf",ai,2,no,judged,verdict
albinism,"no + colour + state",,"nop + ? + dom",ai,3,no,judged,verdict
album,"gather + book",gaCaivam,"gaC + vam",ai,2,yes,judged,verdict
albumin,"white + protein",wipailudz,"wip + ludz",ai,2,yes,judged,verdict
albuterol,"lung + open + drug",xolsaizarkaisom,"xols + zark + som",ai,3,yes,drug,proposal
aldehyde,"carbon + oxygen + group",,"rint + ? + hip",ai,3,no,judged,verdict
alder,"water + cone + tree",waCaikorbaidip,"waC + korb + dip",ai,3,yes,judged,verdict
alkali,"acid + opposite",falfaihand,"falf + hand",ai,2,yes,judged,verdict
allergen,"allergy + cause",klebaikaz,"kleb + kaz",ai,2,yes,judged,verdict
alligator,"broad + snout + lizard",horbaiskodaizart,"horb + skod + zart",ai,3,yes,judged,verdict
almond,"milk + nut + tree",nudjaihiksaidip,"nudj + hiks + dip",ai,3,yes,tree,proposal
