term,parts,where,kind
abscess,"pus + pocket",judged,verdict
abuse,"bad + use",judged,verdict
acacia,"thorn + tree",tree,proposal
acetamide,"acetate + amide",judged,verdict
acetaminophen,"pain + fever + drug",drug,proposal
acidemia,"acid + blood",judged,verdict
acidosis,"acid + state",judged,verdict
acinus,"gland + sac",judged,verdict
actinium,"spark + atom",atom,proposal
adenocarcinoma,"gland + cancer",judged,verdict
adenoma,"gland + growth",judged,verdict
adenosine,"gland + sugar + base",judged,verdict
adenovirus,"gland + virus",judged,verdict
adipocyte,"fat + cell",judged,verdict
adjuvant,"help + drug",judged,verdict
adrenaline,"alert + heart + hormone",drug,proposal
agave,"sharp + thick + leaf",plant,proposal
agenesis,"no + growth",judged,verdict
agriculture,"field + craft",judged,verdict
aircraft,"air + craft",judged,verdict
airway,"air + way",judged,verdict
alanine,"amino + acid",judged,verdict
albinism,"no + colour + state",judged,verdict
album,"gather + book",judged,verdict
albumin,"white + protein",judged,verdict
albuterol,"lung + open + drug",drug,proposal
aldehyde,"carbon + oxygen + group",judged,verdict
alder,"water + cone + tree",judged,verdict
alkali,"acid + opposite",judged,verdict
allergen,"allergy + cause",judged,verdict
alligator,"broad + snout + lizard",judged,verdict
almond,"milk + nut + tree",tree,proposal
aloe,"gel + leaf + plant",plant,proposal
alopecia,"hair + loss",judged,verdict
alprazolam,"calm + anxiety + drug",drug,proposal
alum,"sour + salt",judged,verdict
aluminum,"shine + atom",atom,proposal
amaryllis,"bare + stalk + flower",flower,proposal
americium,"smoke + atom",atom,proposal
amidase,"amide + enzyme",judged,verdict
amide,"ammonia + acid + group",judged,verdict
amine,"nitrogen + group",judged,verdict
amoxicillin,"bacteria + kill + drug",drug,proposal
amphetamine,"energy + alert + drug",drug,proposal
amyloidosis,"starch + protein + state",judged,verdict
anatomy,"body + study",judged,verdict
andesite,"gray + fire",rock,proposal
anemone,"wind + flower",flower,proposal
anesthesia,"no + feel",judged,verdict
aneurysm,"vessel + bulge",judged,verdict
angioma,"vessel + growth",judged,verdict
angiosarcoma,"vessel + flesh + cancer",judged,verdict
anhydride,"no + water + compound",judged,verdict
anhydrous,"no + water",judged,verdict
anthropology,"people + study",judged,verdict
antibody,"against + body",judged,verdict
antimony,"paint + atom",atom,proposal
antique,"old + made + thing",judged,verdict
aorta,"great + artery",judged,verdict
apex,"top + point",judged,verdict
aplasia,"no + growth",judged,verdict
apoptosis,"fall + away + cell + death",judged,verdict
aquaculture,"water + farm",judged,verdict
aquifer,"water + rock + layer",judged,verdict
archaeology,"old + study",judged,verdict
arginine,"amino + acid",judged,verdict
argon,"slow + atom",atom,proposal
arkose,"granite + sand",rock,proposal
arsenic,"poison + atom",atom,proposal
arteriole,"small + artery",judged,verdict
arteritis,"artery + swell",judged,verdict
arthritis,"joint + inflammation",judged,verdict
arthropathy,"joint + disease",judged,verdict
artillery,"heavy + gun",judged,verdict
asbestos,"thread + rock",judged,verdict
ascites,"belly + water",judged,verdict
aside,"at + side",judged,verdict
asparagine,"amino + acid",judged,verdict
aspen,"shake + leaf + tree",tree,proposal
aspirin,"pain + fever + drug",drug,proposal
assay,"test + sample",judged,verdict
astatine,"quick + atom",atom,proposal
aster,"star + flower",flower,proposal
asthma,"tight + breath",judged,verdict
astrocyte,"star + cell",judged,verdict
ataxia,"no + order",judged,verdict
atlas,"map + book",judged,verdict
atorvastatin,"blood + fat + lower",drug,proposal
atresia,"no + passage",judged,verdict
atrium,"enter + room",judged,verdict
automobile,"self + move",judged,verdict
avocado,"fat + green + fruit",judged,verdict
azalea,"bright + shrub + flower",flower,proposal
azithromycin,"bacteria + block + drug",drug,proposal
bacillus,"rod + germ",judged,verdict
background,"back + ground",judged,verdict
balsam,"smell + resin",judged,verdict
bamboo,"arrow + flute",plant,proposal
banyan,"root + branch + tree",tree,proposal
baobab,"fat + trunk + tree",tree,proposal
barium,"heavy + atom",atom,proposal
barley,"grain + plant",plant,proposal
baroque,"ornate + style",judged,verdict
basalt,"dark + fire",rock,proposal
basil,"sweet + smell + herb",plant,proposal
bathroom,"bath + room",judged,verdict
bean,"pod + seed",plant,proposal
beech,"smooth + bark + tree",tree,proposal
beet,"red + root",plant,proposal
begonia,"uneven + leaf + flower",flower,proposal
bench,"long + seat",judged,verdict
benign,"no + harm",judged,verdict
benzene,"six + carbon + ring",judged,verdict
berkelium,"bright + atom",atom,proposal
beryllium,"precious + atom",atom,proposal
betaine,"beet + amine",judged,verdict
bicarbonate,"two + carbonate",judged,verdict
bicolor,"two + colour",judged,verdict
bin,"open + box",judged,verdict
biogenesis,"life + birth",judged,verdict
biomarker,"life + mark",judged,verdict
biopsy,"live + sample",judged,verdict
biosynthesis,"life + synthesis",judged,verdict
biotin,"life + vitamin",judged,verdict
bipolar,"two + pole + of",judged,verdict
birch,"paper + bark + tree",tree,proposal
bismuth,"shadow + atom",atom,proposal
blight,"plant + rot",judged,verdict
blister,"raise + skin",judged,verdict
bluebell,"blue + bell + flower",flower,proposal
blush,"red + face",judged,verdict
bohrium,"deep + atom",atom,proposal
bonnet,"head + cap",judged,verdict
boron,"bone + atom",atom,proposal
bracket,"hold + arm",judged,verdict
breadfruit,"bread + fruit + tree",tree,proposal
breccia,"sharp + bit",rock,proposal
broccoli,"green + flower + plant",plant,proposal
bromine,"ocean + atom",atom,proposal
bronchiole,"small + airway",judged,verdict
bronchus,"lung + tube",judged,verdict
broom,"sweep + brush",judged,verdict
buck,"male + deer",judged,verdict
buckeye,"eye + seed + tree",tree,proposal
buoy,"float + mark",judged,verdict
bush,"dense + low + plant",plant,proposal
business,"work + trade",judged,verdict
butanol,"four + carbon + alcohol",judged,verdict
buttercup,"yellow + cup + flower",flower,proposal
buttress,"prop + wall",judged,verdict
bypass,"by + pass",judged,verdict
cabbage,"round + leaf + plant",plant,proposal
cabinet,"door + case",judged,verdict
cadmium,"source + atom",atom,proposal
caesium,"sky + atom",atom,proposal
caffeine,"wake + drug",drug,proposal
calcaneus,"heel + bone",judged,verdict
calf,"young + cow",judged,verdict
californium,"bare + atom",atom,proposal
callus,"hard + skin",judged,verdict
camellia,"smooth + petal + flower",flower,proposal
campaign,"plan + run",judged,verdict
candidiasis,"yeast + sickness",judged,verdict
cane,"stalk + stick",judged,verdict
cannon,"big + gun",judged,verdict
canopy,"over + cover",judged,verdict
canthus,"eye + corner",judged,verdict
canton,"land + part",judged,verdict
capsule,"small + shell",judged,verdict
carbamate,"carbon + nitrogen + salt",judged,verdict
carboxamide,"carboxyl + amide",judged,verdict
carcinoma,"cover + tissue + cancer",judged,verdict
cardiomyopathy,"heart + muscle + disease",judged,verdict
cardiovascular,"heart + vessel + of",judged,verdict
carnation,"fold + petal + flower",flower,proposal
carotene,"orange + pigment",judged,verdict
carpet,"floor + cloth",judged,verdict
carrot,"orange + root",judged,verdict
cartridge,"shot + case",judged,verdict
casein,"milk + protein",judged,verdict
cassava,"starch + root",plant,proposal
castor,"beaver + oil",judged,verdict
cataract,"cloud + lens",judged,verdict
catheter,"body + tube",judged,verdict
cattail,"tail + water + grass",plant,proposal
cauliflower,"white + flower + plant",plant,proposal
cedar,"smell + conifer",tree,proposal
celery,"crisp + stalk + plant",plant,proposal
cellulose,"cell + sugar",judged,verdict
cerebellum,"small + brain",judged,verdict
cerebrospinal,"brain + spine + of",judged,verdict
cerium,"rust + atom",atom,proposal
cervix,"neck + of + womb",judged,verdict
chalk,"powder + stone",rock,proposal
chemotaxis,"chemical + move",judged,verdict
chert,"dull + spark + stone",rock,proposal
chess,"king + board + game",judged,verdict
chestnut,"spine + nut + tree",judged,verdict
chickpea,"round + seed",plant,proposal
