term,parts,where,kind
abbreviation,"short + form",sense,verdict
abdomen,"lower + body + region",sense,verdict
abdominal,"abdomen + of",judged,verdict
abduce,"best + explain + infer",sense,verdict
ability,"able + nature",sense,verdict
ablation,"ablate + act",judged,verdict
abnormal,"away + normal",judged,verdict
abnormality,"abnormal + ness",judged,verdict
abortion,"abort + act",judged,verdict
abrasive,"abrade + like",sense,verdict
absence,"absent + state",sense,verdict
absorption,"absorb + act",judged,verdict
abstraction,"abstract + act",affix,verdict
academic,"academy + of",judged,verdict
acceleration,"accelerate + act",affix,verdict
accelerator,"accelerate + thing",judged,verdict
acceptance,"accept + act",judged,verdict
acceptor,"accept + agent",judged,verdict
accessory,"access + thing",judged,verdict
accidental,"accident + like",affix,verdict
accommodation,"accommodate + act",judged,verdict
accordance,"accord + act",affix,verdict
accountable,"answer + able",sense,verdict
accumulation,"accumulate + act",judged,verdict
accuracy,"accurate + nature",affix,verdict
acetate,"acetic + salt",judged,verdict
achievement,"achieve + act",affix,verdict
acidity,"acid + ness",judged,verdict
acknowledge,"know + say",sense,verdict
acquaintance,"meet + person",sense,verdict
acquisition,"acquire + act",judged,verdict
action,"act + act",affix,verdict
activate,"active + make",sense,verdict
activation,"activate + act",judged,verdict
activator,"activate + agent",judged,verdict
active,"act + like",affix,verdict
activist,"active + agent",affix,verdict
activity,"active + nature",affix,verdict
actor,"act + agent",affix,verdict
ad,"advertisement",clipping,verdict
adaptation,"adapt + act",affix,verdict
adaptive,"adapt + like",judged,verdict
addiction,"addict + act",judged,verdict
addition,"add + act",affix,verdict
additive,"add + like",judged,verdict
adhesion,"adhere + act",judged,verdict
adipose,"fat + of",judged,verdict
adjective,"nature + term",sense,verdict
adjoin,"next + join",sense,verdict
adjustment,"adjust + act",judged,verdict
administration,"administer + act",affix,verdict
administrative,"administer + like",judged,verdict
admiration,"admire + act",affix,verdict
admission,"admit + act",sense,verdict
adrenal,"upon + kidney",judged,verdict
adrenergic,"adrenaline + of",judged,verdict
adsorb,"surface + adhere",sense,verdict
advection,"flow + carry",sense,verdict
adverb,"manner + term",sense,verdict
advertise,"notice + make",sense,verdict
advertisement,"advertise + act",affix,verdict
advice,"advise + act",sense,verdict
aerial,"air + of",judged,verdict
aerobic,"air + life + of",judged,verdict
affiliate,"group + join",sense,verdict
affinity,"affine + ness",judged,verdict
afraid,"fear + full",sense,verdict
afterlife,"after + life",compound,verdict
afternoon,"after + noon",compound,verdict
agency,"agent + ness",judged,verdict
aggregation,"aggregate + act",judged,verdict
agonist,"act + agent",judged,verdict
agreement,"agree + act",affix,verdict
agricultural,"agriculture + of",judged,verdict
airport,"sky + port",sense,verdict
albatross,"big + sea + bird",sense,verdict
alignment,"align + act",judged,verdict
alkaline,"alkali + like",judged,verdict
allocation,"allocate + act",judged,verdict
allowed,"allow + done",affix,verdict
aloud,"out + loud",sense,verdict
alphabet,"letter + code",sense,verdict
alpine,"mountain + live",sense,verdict
alternative,"alter + native",compound,verdict
altruistic,"other + benefit + self + cost",sense,verdict
aluminum,"light + metal",sense,verdict
alveolar,"alveolus + of",judged,verdict
am,"grammar",grammar,verdict
amber,"tree + resin + rock",sense,verdict
amendment,"amend + act",judged,verdict
amethyst,"purple + gem",sense,verdict
amino,"ammonia + group",judged,verdict
ammonium,"ammonia + ion",judged,verdict
amorphous,"no + shape",sense,verdict
amplification,"amplify + act",judged,verdict
amplify,"strong + make",sense,verdict
anaesthetic,"anesthesia + thing",judged,verdict
anal,"anus + of",judged,verdict
analysis,"analyze + act",sense,verdict
analytical,"analysis + of",judged,verdict
anatomical,"anatomy + of",judged,verdict
ancestor,"before + kin",sense,verdict
anchovy,"salt + herring",sense,verdict
anemia,"without + blood",judged,verdict
anemone,"sea + flower + animal",sense,verdict
angry,"anger + like",affix,verdict
angular,"angle + like",judged,verdict
anion,"negative + ion",sense,verdict
anniversary,"year + loop + feast",sense,verdict
annoyance,"annoy + act",affix,verdict
annual,"one + year + live",sense,verdict
annular,"ring + of",judged,verdict
annulus,"ring + small",judged,verdict
antagonist,"against + agent",judged,verdict
anteater,"ant + eat + animal",sense,verdict
antelope,"fast + deer",sense,verdict
anterior,"before + more",judged,verdict
antibiotic,"microbe + kill + medicine",sense,verdict
antibodies,"antibody + many",judged,verdict
antigen,"antibody + generate",judged,verdict
antonym,"opposite + meaning",sense,verdict
anvil,"iron + block",sense,verdict
anxiety,"anxious + nature",sense,verdict
aperture,"opening",sense,verdict
aphid,"sap + suck + bug",sense,verdict
apical,"apex + of",judged,verdict
apologise,"apology + make",sense,verdict
apologize,"apology + make",sense,verdict
appearance,"appear + act",affix,verdict
application,"apply + act",affix,verdict
appointment,"appoint + act",affix,verdict
appreciation,"appreciate + act",affix,verdict
apprentice,"learn + agent",sense,verdict
approximately,"approximate + manner",affix,verdict
apricot,"small + peach",sense,verdict
aquatic,"water + live",sense,verdict
aqueduct,"water + road",sense,verdict
aqueous,"water + of",judged,verdict
arachnid,"spider + group",sense,verdict
arboreal,"tree + live",sense,verdict
archipelago,"island + group",sense,verdict
architectural,"architecture + of",judged,verdict
architecture,"architect + act",judged,verdict
are,"grammar",grammar,verdict
argument,"argue + act",affix,verdict
arid,"very + dry",sense,verdict
arise,"come + up",sense,verdict
armadillo,"shell + animal",sense,verdict
armor,"protect + covering",sense,verdict
armory,"armor + like",affix,verdict
army,"military + group",sense,verdict
arousal,"arouse + like",affix,verdict
arrangement,"arrange + act",affix,verdict
array,"order + list",sense,verdict
arrest,"law + seize",sense,verdict
arsenate,"arsenic + salt",judged,verdict
arterial,"artery + of",judged,verdict
article,"point + term",sense,verdict
articulation,"articulate + act",judged,verdict
artist,"art + agent",affix,verdict
artwork,"art + work",sense,verdict
ascending,"ascend + act",affix,verdict
ashamed,"ashame + done",affix,verdict
aspiration,"aspirate + act",judged,verdict
assassin,"hire + kill + agent",sense,verdict
assembly,"assemble + like",affix,verdict
assess,"as + female",affix,verdict
assessment,"assess + act",judged,verdict
asset,"own + thing",sense,verdict
assignment,"assign + act",judged,verdict
assist,"as + agent",affix,verdict
assistance,"assist + act",judged,verdict
assistant,"assist + agent",affix,verdict
associated,"associate + done",affix,verdict
association,"associate + act",affix,verdict
asteroid,"rock + star",sense,verdict
astronomical,"astronomy + of",judged,verdict
asylum,"safe + place",sense,verdict
asymmetric,"asymmetry + like",affix,verdict
asymmetry,"asymmetric + like",affix,verdict
asynchronous,"not + same + time",sense,verdict
athletic,"athlete + like",affix,verdict
atoll,"ring + reef",sense,verdict
atomic,"atom + like",affix,verdict
atrophy,"without + nourish",judged,verdict
attached,"attach + done",affix,verdict
attachment,"attach + act",judged,verdict
attendance,"attend + act",affix,verdict
attention,"attend + act",affix,verdict
attentive,"attend + like",affix,verdict
attenuate,"weak + make",sense,verdict
attenuation,"attenuate + act",judged,verdict
attraction,"attract + act",affix,verdict
attractive,"attract + like",affix,verdict
attractor,"attract + state",sense,verdict
attrition,"rub + act",judged,verdict
audacious,"very + bold",sense,verdict
audible,"hear + able",sense,verdict
auditory,"hear + of",judged,verdict
augury,"sign + read",sense,verdict
aunt,"parent + sibling",sense,verdict
aurora,"pole + light",sense,verdict
authenticate,"true + prove",sense,verdict
authorize,"authority + give",sense,verdict
automated,"self + move + done",judged,verdict
autonomous,"autonomy + like",affix,verdict
autonomy,"autonomous + like",affix,verdict
autosomal,"autosome + of",judged,verdict
avalanche,"snow + slide",sense,verdict
avatar,"proxy + body",sense,verdict
avenge,"revenge",sense,verdict
avian,"bird + of",judged,verdict
aviation,"fly + act",judged,verdict
avoidable,"avoid + able",compound,verdict
awareness,"aware + nature",affix,verdict
axial,"axis + of",judged,verdict
backup,"spare + copy",sense,verdict
backward,"back + oriented",sense,verdict
bacon,"pig + meat",sense,verdict
bacterial,"bacteria + of",judged,verdict
badger,"badge + agent",affix,verdict
badminton,"racket + feather + ball + sport",sense,verdict
balanced,"balance + done",affix,verdict
bamboo,"hollow + grass",sense,verdict
bandit,"rob + agent",sense,verdict
banish,"ban + like",affix,verdict
banner,"ban + agent",affix,verdict
baobab,"fat + tree",sense,verdict
baptism,"holy + bathe",sense,verdict
barbecue,"fire + cook",sense,verdict
barn,"farm + building",sense,verdict
barnacle,"stick + shell",sense,verdict
barracks,"soldier + house",sense,verdict
barrel,"round + wood + container",sense,verdict
barter,"thing + trade",sense,verdict
basalt,"dark + rock",sense,verdict
baseball,"bat + ball + sport",sense,verdict
baseline,"base + line",compound,verdict
basement,"base + act",affix,verdict
basic,"base + like",affix,verdict
basket,"weave + open + container",sense,verdict
basketball,"basket + ball + sport",sense,verdict
bath,"bathe + place",sense,verdict
bearer,"bear + one",judged,verdict
bearing,"bear + act",affix,verdict
beautiful,"beauty + full",affix,verdict
beautify,"beauty + make",affix,verdict
beaver,"wood + cut + river + rat",sense,verdict
beef,"cow + meat",sense,verdict
been,"grammar",grammar,verdict
beetle,"shell + bug",sense,verdict
beggar,"beg + agent",sense,verdict
beginner,"begin + agent",affix,verdict
beginning,"begin + act",affix,verdict
behavior,"behave + agent",affix,verdict
being,"grammar",grammar,verdict
belief,"believe + act",sense,verdict
belittle,"less + important + make",sense,verdict
belly,"bell + like",affix,verdict
beneficial,"benefit + like",sense,verdict
benevolent,"other + good + want",sense,verdict
benzoate,"benzoic + salt",judged,verdict
besides,"beside + many",affix,verdict
best,"grammar",grammar,verdict
best case,"best + possible + outcome",sense,verdict
better,"grammar",grammar,verdict
beverage,"drink + thing",judged,verdict
bible,"holy + book",sense,verdict
bicycle,"bike",sense,verdict
bifurcate,"behavior + branch + threshold",sense,verdict
bike,"bicycle",clipping,verdict
bilateral,"two + side + symmetry",sense,verdict
billion,"bill + act",affix,verdict
binary,"two + system",sense,verdict
binder,"bind + thing",judged,verdict
biodiversity,"life + diversity",sense,verdict
biological,"life + study + like",sense,verdict
biology,"life + study",sense,verdict
biome,"life + region",sense,verdict
birch,"white + bark + tree",sense,verdict
birthday,"birth + day",sense,verdict
bishop,"church + chief",sense,verdict
bison,"wild + cow",sense,verdict
blackberry,"black + berry",sense,verdict
blanket,"bed + covering",sense,verdict
bleat,"sheep + call",sense,verdict
blend in,"same + seem + become",sense,verdict
blessing,"bless + act",affix,verdict
blindness,"blind + ness",judged,verdict
blizzard,"snow + storm",sense,verdict
blockade,"block + act",sense,verdict
blocker,"block + agent",judged,verdict
blossom,"tree + flower",sense,verdict
blotch,"rough + spot",sense,verdict
blueberry,"blue + berry",sense,verdict
blurred,"blur + done",affix,verdict
boar,"wild + pig",sense,verdict
boastful,"boast + like",sense,verdict
bodily,"body + like",judged,verdict
bony,"bone + like",judged,verdict
boor,"rude + coarse + agent",sense,verdict
boot,"tall + shoe",sense,verdict
border,"bound + between",sense,verdict
bored,"bore + done",affix,verdict
boredom,"bore + state",affix,verdict
boring,"bore + act",affix,verdict
bother,"both + agent",affix,verdict
bottle,"narrow + neck + container",sense,verdict
bottleneck,"flow + limit + component",sense,verdict
boulder,"big + rock + piece",sense,verdict
boundary,"bound + line",sense,verdict
bounded,"bound + have",sense,verdict
bounty,"gift + pay",sense,verdict
bovine,"cow + of",judged,verdict
branching,"branch + act",affix,verdict
brass,"yellow + copper",sense,verdict
bray,"small + horse + call",sense,verdict
brazen,"bold + shameless",sense,verdict
breadth,"broad + measure",sense,verdict
breaker,"break + thing",judged,verdict
breakfast,"morning + meal",sense,verdict
bridle,"horse + head + strap",sense,verdict
brightness,"bright + nature",affix,verdict
bristle,"stiff + hair",sense,verdict
broadcast,"broad + cast",compound,verdict
broker,"deal + middle + agent",sense,verdict
bromide,"bromine + compound",judged,verdict
bronze,"copper + tin",sense,verdict
brook,"small + stream",sense,verdict
buccal,"cheek + of",judged,verdict
bucket,"open + carry + container",sense,verdict
buddy,"bud + like",affix,verdict
budget,"money + plan",sense,verdict
buffalo,"wild + cow",sense,verdict
builder,"build + one",judged,verdict
building,"build + act",affix,verdict
bunker,"under + shelter",sense,verdict
buoyancy,"buoyant + nature",sense,verdict
burglar,"house + steal + agent",sense,verdict
bus,"omnibus",clipping,verdict
busy,"bus + like",affix,verdict
butte,"narrow + flat + hill",sense,verdict
butterfly,"day + moth",sense,verdict
cab,"cabriolet",clipping,verdict
calcification,"calcium + act",judged,verdict
calcite,"chalk + crystal",sense,verdict
caldera,"big + crater",sense,verdict
callous,"suffer + insensitive",sense,verdict
camel,"hump + horse",sense,verdict
canal,"can + like",affix,verdict
candor,"candy + agent",affix,verdict
canine,"point + tooth",sense,verdict
canola,"oil + seed",sense,verdict
canonical,"canon + of",judged,verdict
capability,"cap + ability",affix,verdict
capable,"cap + able",affix,verdict
cape,"land + point",sense,verdict
capillary,"narrow + tube + liquid + rise",sense,verdict
captive,"capture + done",sense,verdict
carapace,"back + shell",sense,verdict
carbohydrate,"sugar + chain",sense,verdict
carbonate,"carbon + salt",judged,verdict
carbonyl,"carbon + group",judged,verdict
carboxylate,"carboxyl + salt",judged,verdict
carboxylic,"carboxyl + of",judged,verdict
cardboard,"thick + paper",sense,verdict
cardiac,"heart + of",judged,verdict
careful,"care + full",affix,verdict
cargo,"carry + load",sense,verdict
caribou,"snow + deer",sense,verdict
carnivore,"meat + eat + agent",sense,verdict
carriage,"carry + vehicle",sense,verdict
carrier,"carry + agent",judged,verdict
carrying capacity,"environment + support + population + limit",sense,verdict
cartilaginous,"cartilage + of",judged,verdict
