word,verdict,why
major,base,a rank and a size, and nothing builds it
golden,derived,gold + like
angular,derived,angle + like
formation,derived,form + act
industrial,derived,industry + of
international,compound,between + nation
oral,derived,mouth + of
concentration,derived,concentrate + act
medical,derived,medicine + of
grey,variant,the British spelling of gray
centre,variant,the British spelling of center
business,compound,work + trade
plus,base,the operator, distinct from the verb add
discharge,base,let out under pressure, and it heads 67 names
turkey,base,the bird. The country is the proper-name mechanism
intermediate,base,the middle of a graded three
political,derived,politics + of
safety,derived,safe + state
composite,base,made of parts that stay visible
colour,variant,the British spelling of color
flush,base,level with, and to rush
optical,derived,eye + of
cellular,derived,cell + of
acoustic,base,of hearing, and no English stem builds it
gross,base,whole before subtraction, and coarse
pulp,base,soft wet matter
guinea,junk,a country and an old coin
utility,derived,use + ness
academic,derived,academy + of
pedal,base,the foot lever. The adjective is foot + of
molecular,derived,molecule + of
cardinal,base,the rank and the number kind
condensation,derived,condense + act
composition,derived,compose + act
extension,derived,extend + act
jack,base,the lifting device and the card
thermal,derived,heat + of, through Greek
christian,junk,a proper name
slack,base,loose, and the loose part of a rope
axial,derived,axis + of
cardiac,derived,heart + of, through Greek
tan,base,the colour and the treatment of hide
scrub,base,to rub hard, and low rough growth
temporal,derived,time + of, and the bone is temple + of
respiratory,derived,breathe + of
cancer,base,the disease. The constellation is a name
california,junk,a place
regulation,derived,regulate + act
absorption,derived,absorb + act
iris,base,the eye part. The flower is a compound
religious,derived,religion + of
genetic,derived,gene + of
ski,compound,snow + slide
congo,junk,a place
rag,base,torn cloth
conversion,derived,convert + act
commercial,derived,commerce + of
atlantic,junk,a place
youth,derived,young + state
financial,derived,finance + of
gall,base,bile, and the plant swelling
hybrid,base,of two stocks
physiological,derived,physiology + of
protective,derived,protect + like
vascular,derived,vessel + of
nasal,derived,nose + of
reproductive,derived,reproduce + like
capsule,compound,small + shell
circulation,derived,circulate + act
induction,derived,induce + act
simplex,junk,a technical coinage from simple
carpet,compound,floor + cloth
consumption,derived,consume + act
calf,compound,young + cow
progressive,derived,progress + like
transit,base,the passing across, a thing a system does. Not simply across plus go
satellite,compound,go + around + body
coordination,derived,coordinate + act
magna,junk,Latin, not English
killer,derived,kill + agent
mosaic,compound,piece + picture
ace,base,the one, the best
ivory,compound,tooth + bone
transient,derived,transit + like
federal,derived,federation + of
oblique,base,slanting, and no stem builds it
sensory,derived,sense + of
critical,derived,critic + of, and crisis + of
texas,junk,a place
corpus,variant,Latin for body, which Tune has
toll,base,a charge for passage, and to ring
arabian,junk,a demonym
christmas,junk,a proper name
neural,derived,nerve + of
facial,derived,face + of
fatty,derived,fat + like
tract,base,a stretch, and a passage in the body
reflex,base,an answer without thought
mill,compound,grind + house
bench,compound,long + seat
cleft,compound,split + gap
zinc,base,the metal
niger,junk,a place
accessory,derived,access + thing
radical,derived,root + of
carrier,derived,carry + agent
ribbon,compound,narrow + strip
sector,base,a part of a circle, and a part of a field
replacement,derived,replace + act
suspension,derived,suspend + act
girdle,compound,waist + band
rig,base,to fit out, and the gear
canada,junk,a place
john,junk,a person
infant,compound,young + person
daily,derived,day + like
submarine,compound,under + sea
nickel,base,the metal
zealand,junk,a place
lap,base,the seated thigh, and one turn
pacific,junk,a place, and peace + of
diffusion,derived,diffuse + act
imperial,derived,empire + of
displacement,derived,displace + act
executive,derived,execute + like
retinal,derived,retina + of
transverse,derived,across + turn
victoria,junk,a person and a place
background,compound,back + ground
generic,derived,genus + of
establishment,derived,establish + act
jordan,junk,a place
corona,compound,light + ring
jazz,compound,swing + music
con,junk,a clipping, and a prefix
primitive,base,drifted from prime. A primitive in logic or code is its own idea
mathematical,derived,mathematics + of
metabolic,derived,metabolism + of
principal,derived,prince + of, and first
anatomical,derived,anatomy + of
dominican,junk,a demonym
gastric,derived,stomach + of, through Greek
skeletal,derived,skeleton + of
coronary,derived,crown + of
retail,compound,small + sell
costa,junk,Latin and Spanish, not English
lunar,derived,moon + of
sodium,base,the metal
management,derived,manage + act
carbonate,derived,carbon + salt
dna,junk,an abbreviation
agency,derived,agent + ness
bacterial,derived,bacteria + of
roller,derived,roll + agent
adhesion,derived,adhere + act
deck,base,the floor of a ship, and a pack of cards
psychological,derived,psychology + of
drainage,derived,drain + act
england,junk,a place
neonatal,compound,new + born + of
plague,compound,spread + sickness
tar,base,the black pitch
investment,derived,invest + act
cleavage,derived,cleave + act
attachment,derived,attach + act
cane,compound,stalk + stick
posture,base,how a body is held. No two words give it
administrative,derived,administer + like
cuff,compound,wrist + band
subdivision,compound,under + division
mould,variant,the British spelling of mold
elasticity,derived,elastic + ness
pharmaceutical,derived,pharmacy + of
carolina,junk,a place
paris,junk,a place
technical,derived,technique + of
fragmentation,derived,fragment + act
linkage,derived,link + act
streak,base,a long mark
virginia,junk,a place
penny,compound,small + coin. A currency, so ours not everyone's
stump,base,what stays rooted after a cut. Not simply a short rest
blister,compound,raise + skin
occupational,derived,occupation + of
abdominal,derived,abdomen + of
hedge,compound,plant + wall
tubular,derived,tube + of
mediterranean,junk,a place
surf,base,the breaking wave
vocal,derived,voice + of
arctic,junk,a place
arterial,derived,artery + of
collateral,derived,side + of, through Latin
sympathetic,derived,sympathy + of
alaska,junk,a place
auditory,derived,hear + of
geographic,derived,geography + of
somatic,derived,body + of, through Greek
bermuda,junk,a place
dairy,compound,milk + house
des,junk,French, not English
caudal,derived,tail + of
alkali,compound,acid + opposite
diagnostic,derived,diagnose + like
genital,derived,generate + of
consumer,derived,consume + agent
malaysian,junk,a demonym
sierra,junk,Spanish for a range, used as a place
connective,derived,connect + like
olfactory,derived,smell + of
umbilical,derived,navel + of
anal,derived,anus + of
veterinary,derived,vet + of
phosphate,derived,phosphorus + salt
sulfate,derived,sulfur + salt
oxide,derived,oxygen + compound
assessment,derived,assess + act
dioxide,compound,two + oxide
sinus,compound,bone + hollow
potassium,base,the metal
supplement,compound,add + fill
insurance,derived,insure + act
synthetic,derived,synthesis + like
disability,derived,not + able + ness
nigra,junk,Latin, not English
identification,derived,identify + act
interaction,compound,between + action
truck,compound,goods + cart
intelligence,derived,intelligent + ness
san,junk,Spanish for saint
bracket,compound,hold + arm
constitution,derived,constitute + act
accumulation,derived,accumulate + act
detection,derived,detect + act
fiddle,base,the instrument and to meddle
commission,derived,commit + act
viscosity,derived,viscous + ness
nominal,derived,name + of
pie,compound,fill + crust
determination,derived,determine + act
discrimination,derived,discriminate + act
inversion,derived,invert + act
atlas,compound,map + book
soda,base,the salt and the drink
harness,compound,strap + gear
reform,compound,again + form
analog,base,a thing that runs in step with another
judgment,derived,judge + act
quail,compound,ground + bird
retention,derived,retain + act
saturation,derived,saturate + act
fertility,derived,fertile + ness
restriction,derived,restrict + act
platinum,base,the metal
stratification,derived,stratum + act
welfare,base,how well a people are kept. Not the sum of well and fare
recess,compound,set + back + space
additive,derived,add + like
correspondence,derived,correspond + act
dissociation,derived,dissociate + act
defence,variant,the British spelling of defense
litter,compound,scatter + waste
dump,base,to drop in a heap
georgia,junk,a place
mary,junk,a person
spar,base,the mast pole, and the crystal
agricultural,derived,agriculture + of
asbestos,compound,thread + rock
heave,base,to lift with effort
independence,derived,not + depend + ness
orthodox,derived,straight + opinion, through Greek
oxidation,derived,oxidize + act
intrusion,derived,intrude + act
accommodation,derived,accommodate + act
gutter,compound,water + channel
spindle,compound,turn + rod
york,junk,a place
bust,base,the chest sculpture, and to break
gag,base,the mouth stopper, and the joke
overhead,compound,over + head
refractory,derived,refract + like
scientific,derived,science + of
alignment,derived,align + act
concord,derived,together + heart, through Latin
corporate,derived,body + of
rosette,derived,rose + small
miniature,derived,small + like
pulmonary,derived,lung + of
marshall,junk,a person and a place
maternity,derived,mother + ness
outdoor,compound,out + door
pall,compound,coffin + cloth
superficial,derived,surface + of
volcanic,derived,volcano + of
alligator,compound,broad + snout + lizard
crescent,base,the thin curved shape. A moon is one, it is not the definition
criminal,derived,crime + of
hepatic,derived,liver + of, through Greek
kong,junk,part of Hong Kong
martial,derived,war + of, through Mars
ping,base,the short high sound
slam,base,to shut hard
ventral,derived,belly + of
embryonic,derived,embryo + of
fleet,base,the group of ships, and swift
tactile,derived,touch + of
renal,derived,kidney + of
baltic,junk,a place
honeycomb,compound,honey + comb
intensive,derived,intense + like
interstitial,derived,between + space + of
bengal,junk,a place
columnar,derived,column + of
greenhouse,compound,green + house
scarlet,compound,deep + red
solitary,derived,sole + like
diabetic,derived,diabetes + of
longitudinal,derived,length + of
