was,meaning,kind,sounds,legal,best,second,third
byas,possessive plural,marker,4,known_onset,bas,bac,baf
marC,quite or absolute,design,4,known_coda,maC,mas,max
djen,generating,suffix,4,legal,den,jen,deb
ples,place,suffix,4,legal,peb,pec,peC
land,land,suffix,4,legal,lab,lac,laC
smal,small,suffix,4,legal,mas,sac,saC
brat,large,suffix,4,legal,bac,baf,baj
prab,probable,suffix,4,legal,pab,paC,pad
drit,"right, now",suffix,4,legal,dic,diC,dik
vuti,"is, the copula",marker,4,bad_shape,vut,vub,vuC
besk,basically,manner,4,legal,bek,bec,beC
barl,barely,manner,4,known_coda,bal,baf,baj
sadj,besides,manner,4,legal,sad,sac,saC
sorg,recently,manner,4,legal,sob,soc,soC
last,last,manner,4,legal,las,lac,laC
prent,apparently,manner,5,bad_shape,pet,pen,pec
tward,towards,manner,5,bad_shape,tag,tap,tav
skers,scarcely,manner,5,bad_shape,seb,sec,sed
slayt,slightly,manner,5,bad_shape,sac,saC,saf
murib,suspiciously,manner,5,bad_shape,mub,mib,muC
lored,already,manner,5,bad_shape,led,loc,loC
gavist,eagerly,manner,6,bad_shape,gat,gas,gac
prizum,presumably,manner,6,bad_shape,piz,pib,pic
haspex,especially,manner,6,bad_shape,hax,hex,hab
saldom,seldom,manner,6,bad_shape,saC,saf,sak
surtan,certainly,manner,6,bad_shape,suc,sug,suj
legant,elegantly,manner,6,bad_shape,leb,lec,lej
retxiq,enthusiastically,manner,6,bad_shape,req,riq,reb
sikwent,subsequently,manner,7,bad_shape,set,sib,sic
hekstrim,extremely,manner,8,bad_shape,het,heb,hec
frikwant,frequently,manner,8,bad_shape,fik,fat,fib
