concept,domains
flush,12
discharge,11
colour,8
concord,8
fret,8
acceptance,7
accession,7
condensation,7
encounter,7
extension,7
flick,7
halt,7
heave,7
lap,7
mould,7
plunge,7
rag,7
rally,7
rap,7
regulation,7
retire,7
slash,7
smack,7
sputter,7
upgrade,7
whiff,7
abuse,6
acidity,6
appeal,6
assumption,6
backfire,6
bail,6
bluster,6
boost,6
broadside,6
bust,6
centre,6
chafe,6
circulation,6
composition,6
constitution,6
crisscross,6
curvature,6
favour,6
fiddle,6
foliate,6
glare,6
hitch,6
identification,6
inversion,6
irradiation,6
jog,6
lapse,6
m,6
pall,6
parity,6
plague,6
plunk,6
remit,6
repose,6
reprieve,6
s,6
scrub,6
scruple,6
shit,6
skim,6
slack,6
stall,6
stimulate,6
stratification,6
surcharge,6
tan,6
torment,6
troll,6
wanton,6
accumulation,5
ace,5
antagonism,5
approval,5
approximation,5
ascension,5
aspiration,5
assay,5
assessment,5
attrition,5
background,5
baroque,5
blubber,5
bluff,5
bombard,5
bosom,5
bracket,5
breakdown,5
c,5
characteristic,5
chatter,5
chill,5
climax,5
commission,5
con,5
concentration,5
consideration,5
conversion,5
coordination,5
corruption,5
crackle,5
craze,5
crib,5
dab,5
deflection,5
delineate,5
deluge,5
diffusion,5
discord,5
discriminate,5
displacement,5
distemper,5
distress,5
dodge,5
douse,5
dribble,5
dump,5
dun,5
exhibit,5
fertility,5
flicker,5
flutter,5
fume,5
gag,5
gall,5
gush,5
gutter,5
h,5
hack,5
handicap,5
harness,5
hedge,5
honour,5
imperative,5
impression,5
imprint,5
inclination,5
intelligence,5
inventory,5
isolation,5
jumble,5
kink,5
l,5
labour,5
lactation,5
lease,5
lethargy,5
limitation,5
lurch,5
maneuver,5
manipulate,5
manoeuvre,5
maroon,5
maturity,5
menace,5
morbidity,5
nick,5
nip,5
nod,5
outrage,5
overhead,5
overrun,5
pat,5
peep,5
perturbation,5
piggyback,5
plumb,5
pm,5
posture,5
preservation,5
proceed,5
programme,5
prospect,5
prostrate,5
puddle,5
purge,5
rake,5
ramp,5
recapture,5
recess,5
reconstruction,5
recreate,5
refinement,5
reflectivity,5
replication,5
rerun,5
respite,5
restlessness,5
restoration,5
riffle,5
rig,5
rut,5
sanction,5
saturation,5
scald,5
scorch,5
scotch,5
singsong,5
slap,5
slick,5
smut,5
snarl,5
sop,5
sprinkle,5
squelch,5
squint,5
supplement,5
surf,5
surfeit,5
swagger,5
swash,5
tack,5
tally,5
tenor,5
thickness,5
thrill,5
thump,5
toll,5
torture,5
transplant,5
triumph,5
twang,5
undulate,5
upstage,5
utility,5
vamp,5
vermilion,5
viscosity,5
volley,5
waltz,5
warp,5
whitewash,5
winnow,5
wrench,5
wrestle,5
zap,5
a.m.,4
abnormality,4
abrasion,4
accommodation,4
accompaniment,4
accretion,4
adagio,4
adhesion,4
adjustment,4
affinity,4
agitate,4
agitation,4
alarm,4
alignment,4
allegretto,4
allegro,4
alliance,4
allowance,4
alto,4
amnesty,4
andante,4
antecedent,4
architecture,4
articulate,4
articulation,4
aspirate,4
assimilation,4
atrophy,4
b,4
bandy,4
behaviour,4
biquadratic,4
bitterness,4
blackout,4
blunder,4
blush,4
breach,4
bunk,4
buoy,4
cackle,4
campaign,4
capitalise,4
capitalize,4
capsule,4
carom,4
chink,4
cipher,4
circularize,4
clamor,4
clout,4
clutch,4
cohesion,4
compatibility,4
compensation,4
complication,4
concavity,4
concurrence,4
confirmation,4
conformity,4
conga,4
conk,4
connexion,4
consistency,4
constipation,4
constriction,4
consumption,4
contamination,4
continuation,4
contour,4
correction,4
counterbalance,4
cramp,4
cretaceous,4
croquet,4
crusade,4
cuboid,4
cultivation,4
curb,4
cypher,4
d,4
dally,4
damn,4
decomposition,4
decree,4
dedication,4
deflect,4
degeneration,4
dehydration,4
deletion,4
delusion,4
depreciation,4
depress,4
descent,4
despatch,4
detachment,4
detection,4
devastation,4
din,4
disapproval,4
discount,4
discrimination,4
disdain,4
disgrace,4
dishonor,4
dishonour,4
dispose,4
disregard,4
dissent,4
dissociation,4
distinction,4
distortion,4
disturbance,4
divergence,4
dogfight,4
domestication,4
dope,4
downhill,4
dowse,4
draught,4
e,4
efflorescence,4
elaborate,4
elaboration,4
elasticity,4
embarrassment,4
embellish,4
english,4
esteem,4
excise,4
exemption,4
extraction,4
facilitation,4
falter,4
fawn,4
fecundity,4
flavour,4
fling,4
flourish,4
flurry,4
foil,4
forfeit,4
forte,4
fragmentation,4
frank,4
freshness,4
g,4
gait,4
gamble,4
gangrene,4
gape,4
geminate,4
gi,4
gleam,4
glimpse,4
goad,4
gothic,4
gouge,4
grey,4
gross,4
grumble,4
harbour,4
harmonic,4
hasten,4
highlight,4
hobble,4
honk,4
hospitalization,4
hostility,4
humour,4
hurl,4
hustle,4
immobilise,4
immobilize,4
immunity,4
impotence,4
improvement,4
incident,4
indentation,4
induction,4
inhibition,4
insolation,4
instill,4
insurance,4
interrogative,4
intrigue,4
intrude,4
investment,4
involvement,4
irritability,4
italic,4
jest,4
jingle,4
jolly,4
judgement,4
judgment,4
k,4
keynote,4
kip,4
larval,4
lather,4
leadership,4
legislation,4
leverage,4
levy,4
lick,4
ligature,4
locomotion,4
looseness,4
lull,4
madness,4
magenta,4
magnetization,4
manual,4
mar,4
marathon,4
maternity,4
metamorphosis,4
mill,4
mire,4
morphology,4
mortification,4
mosaic,4
ms,4
muddy,4
n,4
nationalism,4
negociate,4
neutrality,4
nibble,4
nobble,4
nonconformity,4
o.k.,4
occlusion,4
opacity,4
ordinance,4
organise,4
outline,4
overflow,4
overweight,4
overwhelm,4
ownership,4
p.m.,4
par,4
patronage,4
pedal,4
peril,4
persistence,4
pica,4
pickup,4
pigmentation,4
ping,4
pip,4
plop,4
pluck,4
ply,4
politics,4
polka,4
posit,4
preference,4
prelude,4
pretence,4
pretense,4
probate,4
probe,4
progressive,4
prominence,4
pullulate,4
pulp,4
punt,4
purport,4
quantitative,4
quarantine,4
quaternary,4
quickstep,4
r,4
radiance,4
radical,4
ramification,4
rationalise,4
rationalization,4
rationalize,4
rave,4
rebound,4
rebuff,4
recognise,4
recoil,4
reconstruct,4
redundancy,4
reek,4
reel,4
reflexion,4
regeneration,4
regress,4
regression,4
regurgitate,4
relaxation,4
rendition,4
replacement,4
replay,4
repress,4
requisition,4
reservation,4
resile,4
resultant,4
retail,4
retake,4
retardation,4
reticulate,4
retrofit,4
retrograde,4
reverberate,4
reverence,4
rhomboid,4
riposte,4
romp,4
roughness,4
ruffle,4
rumination,4
rusticate,4
safeguard,4
salinity,4
salute,4
salvage,4
salvo,4
samba,4
sandbag,4
scintillation,4
scourge,4
scramble,4
scream,4
sequestration,4
sharpness,4
shave,4
shimmy,4
shipwreck,4
shiver,4
shivering,4
shrinkage,4
shudder,4
sigh,4
slam,4
slaughter,4
slop,4
slosh,4
slump,4
smirch,4
smother,4
snag,4
snooker,4
snub,4
solace,4
solubility,4
soprano,4
souse,4
spar,4
spatter,4
splurge,4
splutter,4
stagger,4
stampede,4
steamroller,4
stoop,4
straddle,4
stratify,4
streak,4
stub,4
stump,4
stunt,4
subdue,4
submarine,4
subordination,4
substantiate,4
suction,4
sufficiency,4
survival,4
suspension,4
swish,4
swoop,4
synchronise,4
syncope,4
tackle,4
tenderness,4
tenure,4
termination,4
tinge,4
trademark,4
transcription,4
transient,4
travail,4
treble,4
trifle,4
trot,4
truncate,4
tubular,4
tug,4
tweak,4
twilight,4
twinge,4
twinkle,4
unbalance,4
unbend,4
unfold,4
update,4
utopia,4
v,4
ventilate,4
verge,4
veto,4
vex,4
vexation,4
viability,4
w,4
wager,4
wallop,4
wallow,4
waver,4
welfare,4
wholesale,4
wince,4
x,4
youth,4
zigzag,4
ablation,3
ablative,3
abnegate,3
abortion,3
abscission,3
absorptance,3
absorption,3
abundance,3
accelerando,3
acceptation,3
accusative,3
acidemia,3
acidic,3
acidophilic,3
acidosis,3
acinar,3
acquisition,3
acuminate,3
addiction,3
admittance,3
adolescent,3
adonic,3
adorn,3
adulteration,3
advent,3
advert,3
aeration,3
aesthetic,3
aetiology,3
afghani,3
agalactia,3
agape,3
aggression,3
albinism,3
albuminuria,3
alcoholism,3
alertness,3
alienation,3
aliform,3
alkalosis,3
allocation,3
allurement,3
alopecia,3
alpha,3
ambition,3
americanism,3
amputation,3
anaesthetic,3
anatomy,3
anchorage,3
angiosarcoma,3
angular,3
animation,3
ankylosis,3
annulment,3
annunciation,3
anorexia,3
anserine,3
antic,3
anticipation,3
antique,3
anuria,3
apparition,3
appease,3
appellative,3
apposition,3
appraisal,3
apprehend,3
apprehension,3
arctic,3
aroma,3
arrhythmia,3
arteriosclerosis,3
arteritis,3
arthritis,3
ascent,3
asceticism,3
ascites,3
assignment,3
assistance,3
assuage,3
asthma,3
ataxia,3
athletics,3
atomise,3
atomize,3
attachment,3
attain,3
audit,3
audition,3
augmentation,3
authorisation,3
authorization,3
autoimmunity,3
automation,3
avail,3
axial,3
azimuth,3
azure,3
babble,3
backhand,3
backlash,3
baffle,3
balanitis,3
balk,3
ballast,3
ballot,3
banishment,3
bankruptcy,3
baritone,3
barrage,3
basophilic,3
bate,3
beacon,3
beige,3
belabor,3
belabour,3
belch,3
bench,3
benevolence,3
benight,3
berth,3
beset,3
besiege,3
beta,3
betterment,3
biconcave,3
bilk,3
billionth,3
billow,3
bimonthly,3
bin,3
binge,3
binomial,3
bioremediation,3
birr,3
bisexuality,3
bitch,3
biweekly,3
blackball,3
blackjack,3
blackmail,3
blackwash,3
blank,3
bleach,3
blight,3
blindness,3
blister,3
bloody,3
bodily,3
boggle,3
