word,uses,as_head,as_mark
rock,364,296,85
sandy,247,0,247
gravelly,223,0,223
silty,187,0,187
clayey,175,0,175
sand,166,126,40
sandstone,156,71,90
gravel,152,135,17
clay,151,119,32
mudstone,145,80,69
olivine,129,1,131
cobbly,125,0,125
peaty,124,0,124
psammite,118,65,61
silt,117,96,21
limestone,116,80,38
meta,116,0,117
semipelite,113,64,49
bouldery,98,0,98
pelite,84,46,41
ferro,80,0,80
foliated,80,0,84
hornblende,80,10,70
quartz,78,8,70
siltstone,77,36,42
basalt,72,42,30
fluoro,70,0,70
tuff,69,45,27
biotite,68,0,68
ferri,68,0,68
feldspar,66,0,69
gabbro,65,51,15
basaltic,62,0,66
bearing,62,0,64
gneissose,62,0,71
calcareous,59,1,63
phyric,58,1,60
andesite,52,38,16
pyroxene,52,0,52
conglomerate,51,32,19
breccia,50,39,11
sediment,50,32,18
porphyritic,49,0,51
microgabbro,47,35,12
beta,46,1,46
lava,45,32,17
granite,44,31,15
hornfelsed,44,0,57
peat,44,41,3
quartzite,44,24,20
rich,44,0,44
plagioclase,43,0,43
volcaniclastic,41,0,50
cobbles,40,39,1
shelly,39,0,39
aragonite,38,2,36
foid,38,0,38
sedimentary,38,0,38
acid,37,36,1
calcite,37,9,28
diorite,37,30,8
clinopyroxene,36,0,36
igneous,36,0,36
stone,36,35,2
calcsilicate,35,0,35
coal,35,29,6
rocks,35,23,16
micaceous,34,0,34
mud,34,31,4
potassic,34,0,34
boulders,31,30,1
dolomitic,30,0,30
iron,30,5,25
microdiorite,30,25,8
argillaceous,29,0,29
caroten,29,29,0
ironstone,29,26,3
metabasalt,29,24,5
metalimestone,29,16,13
microgranite,29,28,2
interbedded,27,7,20
na,27,24,3
silicate,27,1,26
metamudstone,26,22,4
pegmatitic,26,0,26
schist,26,19,7
alkali,25,0,25
ca,25,20,5
dolostone,25,16,9
garnet,25,7,18
ankerite,24,0,24
granodiorite,24,14,10
metasedimentary,24,0,24
phosphate,23,6,17
carbonate,22,3,19
macrophyric,22,0,22
mafic,22,0,24
metaquartz,22,0,22
migmatitic,22,0,29
pebbly,22,0,22
schistose,22,0,23
alpha,20,0,20
crystalline,20,1,19
dolomite,20,4,16
ferruginous,20,0,23
metafoid,20,0,20
rhyolite,20,12,8
trachyte,20,17,3
amphibolite,19,11,8
felsite,19,15,4
ns,19,19,0
rhyolitic,19,0,20
arenite,18,14,5
dolerite,18,14,4
lime,18,0,18
magnesio,18,0,18
metalava,18,16,2
norite,18,16,2
siliciclastic,18,1,17
syenite,18,18,0
tuffaceous,18,0,19
ultramafic,18,0,18
chert,17,10,7
felsic,17,0,19
graphitic,17,0,19
metagabbro,17,13,4
metasandstone,17,13,4
microphyric,17,0,17
non,17,0,17
ammonium,16,0,16
coarse,16,1,15
gneiss,16,14,2
grainstone,16,16,0
group,16,9,7
hypersthene,16,0,18
metavolcaniclastic,16,0,17
mg,16,6,10
nodular,16,0,16
packstone,16,16,0
sheared,16,0,16
wackestone,16,16,0
yl,16,16,0
andesitic,15,0,15
banded,15,1,17
feldspathic,15,0,15
metagranite,15,15,0
metatuff,15,13,2
muddy,15,0,15
organic,15,0,15
waste,15,15,0
boundstone,14,14,0
cobaltoan,14,0,14
diamicton,14,5,9
en,14,12,2
fault,14,5,9
grade,14,0,14
granophyric,14,0,15
microgranodiorite,14,12,2
mylonitic,14,0,14
nepheline,14,1,13
siliceous,14,0,14
subordinate,14,0,14
claystone,13,12,1
fine,13,1,12
metasilicate,13,0,13
muscovite,13,2,11
orthopyroxene,13,0,13
peridotite,13,7,6
phosphorite,13,13,0
phyllitic,13,0,14
sadanagaite,13,13,0
subgroup,13,13,0
wacke,13,8,5
amide,12,12,0
appinitic,12,0,14
glassy,12,0,15
glycero,12,0,12
hawaiite,12,9,3
lamproite,12,12,0
lapilli,12,0,12
list,12,0,12
manganoan,12,0,12
metacalcite,12,0,12
metadolomite,12,0,12
metasiltstone,12,11,1
oncoid,12,0,12
slate,12,3,9
tonalite,12,4,8
zincian,12,0,12
agglomerate,11,10,2
amphibole,11,1,10
analcime,11,1,10
ankeritestone,11,11,0
barium,11,0,11
