kind,english,chinese,morphemes,en_opaque,zh_gloss
mineral,Uhligite,锆钙钛矿,4,1,"zirconium calcium titanium mine"
mineral,abelsonite,紫四环镍矿,5,1,"purple four ring nickel mine"
mineral,abernathyite,钾砷铀云母,5,1,"potassium arsenic uranium cloud female elders"
mineral,abswurmbachite,硅锰铜石,4,1,"silicon manganese copper stone"
mineral,acanthite,螺状硫银矿,5,1,"spiral shell form sulfur silver mine"
mineral,achávalite,硒铁矿,3,1,"selenium iron mine"
mineral,acmite,锥辉石,3,1,"gimlet brightness stone"
mineral,actinolite,阳起石,3,1,"'male' principle rise stone"
mineral,adamite,水砷锌矿,4,1,"water arsenic zinc mine"
mineral,adamsite-(Y),水碳钠钇石,5,0,"water carbon sodium yttrium stone"
mineral,adelite,砷钙镁石,4,1,"arsenic calcium magnesium stone"
mineral,aegirine,霓石,2,1,"rainbow stone"
mineral,aenigmatite,钛硅铁钠石,5,1,"titanium silicon iron sodium stone"
mineral,aerugite,块砷镍矿,4,1,"piece arsenic nickel mine"
mineral,aeschynite-(Ce),铈易解石,4,0,"cerium change loosen stone"
mineral,aeschynite-(Y),钇易解石,4,0,"yttrium change loosen stone"
mineral,afghanite,阿钙霞石,4,1,"prefix for people's names calcium rosy clouds stone"
mineral,afwillite,柱硅钙石,4,1,"pillar silicon calcium stone"
mineral,agardite-(Ce),砷铈铜石,4,0,"arsenic cerium copper stone"
mineral,agardite-(La),砷镧铜石,4,0,"arsenic lanthanum copper stone"
mineral,agardite-(Nd),砷钕铜石,4,0,"arsenic neodymium copper stone"
mineral,agrellite,氟硅钙钠石,5,1,"fluorine silicon calcium sodium stone"
mineral,agricolaite,阿碳钾铀矿,5,1,"prefix for people's names carbon potassium uranium mine"
mineral,agrinierite,钾钙锶铀矿,5,1,"potassium calcium strontium uranium mine"
mineral,aguilarite,辉硒银矿,4,1,"brightness selenium silver mine"
mineral,aheylite,阿铁绿松石,5,1,"prefix for people's names iron green fir tree stone"
mineral,ahlfeldite,水硒镍石,4,1,"water selenium nickel stone"
mineral,aikinite,针硫铋铅矿,5,1,"needle sulfur bismuth lead mine"
mineral,akaogiite,赤荻石,3,1,"red reed stone"
mineral,akhtenskite,六方软锰矿,5,1,"six a square soft manganese mine"
mineral,akimotoite,硅铁镁石,4,1,"silicon iron magnesium stone"
mineral,alabandite,硫锰矿,3,1,"sulfur manganese mine"
mineral,albite,钠长石,3,1,"sodium long stone"
mineral,albrechtschraufite,水碳镁钙铀矿,6,1,"water carbon magnesium calcium uranium mine"
mineral,aldermanite,阿磷镁铝石,5,1,"prefix for people's names phosphorus magnesium aluminum stone"
mineral,alforsite,氯磷钡石,4,1,"chlorine phosphorus barium stone"
mineral,aliettite,滑间皂石,4,1,"slip interval soap stone"
mineral,allanite-(Ce),铈褐帘石,4,0,"cerium coarse woolen cloth flag-sign of a tavern stone"
mineral,allanite-(Y),钇褐帘石,4,0,"yttrium coarse woolen cloth flag-sign of a tavern stone"
mineral,allanpringite,水羟磷铁石,5,1,"water hydroxide phosphorus iron stone"
mineral,alleghanyite,粒矽錳石,4,1,"grain silicon manganese stone"
mineral,almandine,鐵鋁榴石,4,1,"iron aluminium pomegranate stone"
mineral,alpersite,七水镁胆矾,5,1,"seven water magnesium gall bladder alum"
mineral,altaite,碲铅矿,3,1,"tellurium lead mine"
mineral,althausite,羟磷镁石,4,1,"hydroxide phosphorus magnesium stone"
mineral,aluminium (native),游离铝金属,5,0,"swim rare beast aluminum gold class"
mineral,aluminomagnesiohulsite,硼锡铝镁石,5,1,"borax tin aluminum magnesium stone"
mineral,alunite,明礬石,3,1,"bright alum stone"
mineral,amaterasuite,天照石,3,1,"sky shine stone"
mineral,ameghinite,阿硼钠石,4,1,"prefix for people's names borax sodium stone"
mineral,amesite,镁铝蛇纹石,5,1,"magnesium aluminum snake line stone"
mineral,amicite,斜碱沸石,4,1,"slanting alkaline boil stone"
mineral,aminoffite,铍黄长石,4,1,"a needle used in Chinese medicine yellow long stone"
mineral,ammoniomagnesiovoltaite,铵镁铁矾,4,1,"ammonium magnesium iron alum"
mineral,analcime,方沸石,3,1,"a square boil stone"
mineral,anandite,钡铁脆云母,5,1,"barium iron crisp cloud female elders"
mineral,anatase,锐钛矿,3,1,"sharp titanium mine"
mineral,andalusite,红柱石,3,1,"red pillar stone"
mineral,andersonite,碳钠钙铀矿,5,1,"carbon sodium calcium uranium mine"
mineral,andesine,中長石,3,1,"central long stone"
mineral,andradite,钙铁榴石,4,1,"calcium iron pomegranate stone"
mineral,andyrobertsite,水砷鉀鎘銅石,6,1,"water arsenic potassium cadmium copper stone"
mineral,angelellite,脆砷铁矿,4,1,"crisp arsenic iron mine"
mineral,anglesite,鉛礬,2,1,"lead alum"
mineral,anhydrite,硬石膏,3,1,"hard stone grease"
mineral,ankerite,鐵白雲石,4,1,"iron white cloud stone"
mineral,annabergite,鎳華,2,1,"nickel blossom"
mineral,annite,铁云母,3,1,"iron cloud female elders"
mineral,anorthite,钙长石,3,1,"calcium long stone"
mineral,anorthoclase,钠斜微长石,5,1,"sodium slanting small long stone"
mineral,antarcticite,南極石,3,1,"south ridgepole stone"
mineral,anthoinite,水钨铝矿,4,1,"water tungsten aluminum mine"
mineral,anthonyite,水氯铜石,4,1,"water chlorine copper stone"
mineral,anthophyllite,直閃石,3,1,"straight dodge stone"
mineral,antigorite,叶蛇纹石,4,1,"leaf snake line stone"
mineral,aphthitalite,鉀芒硝,3,1,"potassium Miscanthus sinensis saltpeter"
mineral,apjohnite,锰铝矾,3,1,"manganese aluminum alum"
mineral,aplowite,四水钴矾,4,1,"four water cobalt alum"
mineral,aragonite,霰石,2,1,"hail stone"
mineral,arakiite,荒木石,3,1,"wasteland tree stone"
mineral,aramayoite,硫铋锑银矿,5,1,"sulfur bismuth antimony silver mine"
mineral,archerite,磷钾石,3,1,"phosphorus potassium stone"
mineral,arfvedsonite,钠铁闪石,4,1,"sodium iron flash stone"
mineral,argentobaumhauerite,银褐硫砷铅矿,6,1,"silver coarse woolen cloth sulfur arsenic lead mine"
mineral,argentotennantite-(Zn),银砷黝铜矿,5,0,"silver arsenic black copper mine"
mineral,argyrodite,硫銀鍺礦,4,1,"sulfur silver a metal plain bearing used in wheel axles on vehicles mineral deposit"
mineral,aristarainite,硼钠镁石,4,1,"borax sodium magnesium stone"
mineral,armalcolite,阿姆阿尔柯尔矿石,8,1,"prefix for people's names child's governess prefix for people's names you axe-handle you mine stone"
mineral,armstrongite,水硅钙锆石,5,1,"water silicon calcium zirconium stone"
mineral,arsenbrackebuschite,砷铁铅石,4,1,"arsenic iron lead stone"
mineral,arsendescloizite,砷锌铅矿,4,1,"arsenic zinc lead mine"
mineral,arsenohauchecornite,硫砷铋镍矿,5,1,"sulfur arsenic bismuth nickel mine"
mineral,arsenolite,砷华,2,1,"arsenic flowery"
mineral,arsenopyrite,砷黃鐵礦,4,1,"arsenic yellow iron mineral deposit"
mineral,arthurite,水砷铁铜石,5,1,"water arsenic iron copper stone"
mineral,artinite,水碳镁石,4,1,"water carbon magnesium stone"
mineral,artroeite,羟氟铝铅矿,5,1,"hydroxide fluorine aluminum lead mine"
mineral,artsmithite,磷铝汞石,4,1,"phosphorus aluminum mercury stone"
mineral,arupite,水磷镍石,4,1,"water phosphorus nickel stone"
mineral,ashcroftine-(Y),硅碱钙钇石,5,0,"silicon alkaline calcium yttrium stone"
mineral,asselbornite,砷铋铅铀矿,5,1,"arsenic bismuth lead uranium mine"
mineral,astrophyllite,星葉石,3,1,"star leaf stone"
mineral,atacamite,氯銅礦,3,1,"chlorine copper mineral deposit"
mineral,atencioite,水磷铁铍镁石,6,1,"water phosphorus iron a needle used in Chinese medicine magnesium stone"
mineral,aubertite,水氯铝铜矾,5,1,"water chlorine aluminum copper alum"
mineral,augite,普通辉石,4,1,"universal pass through brightness stone"
mineral,aurichalcite,绿铜锌矿,4,1,"green copper zinc mine"
mineral,austinite,砷锌钙石,4,1,"arsenic zinc calcium stone"
mineral,autunite,钙铀云母,4,1,"calcium uranium cloud female elders"
mineral,avicennite,褐铊矿,3,1,"coarse woolen cloth a short spear mine"
mineral,avogadrite,氟硼钾石,4,1,"fluorine borax potassium stone"
mineral,awaruite,镍铁矿,3,1,"nickel iron mine"
mineral,awaruite,镍铁矿,3,1,"nickel iron mine"
mineral,axinite-(Fe),铁斧石,3,0,"iron axe stone"
mineral,azurite,蓝铜矿,3,1,"blue copper mine"
mineral,babingtonite,硅铁辉石,4,1,"silicon iron brightness stone"
mineral,babkinite,硫硒铋铅矿,5,1,"sulfur selenium bismuth lead mine"
mineral,baddeleyite,斜鋯石,3,1,"slanting zirconium stone"
mineral,baiyuneboite-(Ce),白云鄂博矿,5,0,"white cloud Hubei province gamble mine"
mineral,bakerite,瓷硼钙石,4,1,"crockery borax calcium stone"
mineral,bakhchisaraitsevite,水磷钠镁石,5,1,"water phosphorus sodium magnesium stone"
mineral,banalsite,钠钡长石,4,1,"sodium barium long stone"
mineral,bannermanite,碱钒石,3,1,"alkaline vanadium stone"
mineral,bannisterite,班硅锰石,4,1,"class silicon manganese stone"
mineral,baotite,包头矿,3,1,"pack head mine"
mineral,bararite,氟硅铵石,4,1,"fluorine silicon ammonium stone"
mineral,baratovite,硅钛锂钙石,5,1,"silicon titanium lithium calcium stone"
mineral,barbosalite,复铁天蓝石,5,1,"repeat iron sky blue stone"
mineral,barentsite,氟碳铝钠石,5,1,"fluorine carbon aluminum sodium stone"
mineral,bariandite,巴水钒矿,4,1,"greatly desire water vanadium mine"
mineral,barrerite,钠红沸石,4,1,"sodium red boil stone"
mineral,barroisite,冻蓝闪石,4,1,"freeze blue flash stone"
mineral,barstowite,氯碳铅石,4,1,"chlorine carbon lead stone"
mineral,bartelkeite,铅铁锗矿,4,1,"lead iron germanium mine"
mineral,bartonite,巴硫铁钾矿,5,1,"greatly desire sulfur iron potassium mine"
mineral,baryte,重晶石,3,1,"heavy clear stone"
mineral,bassanite,燒石膏,3,1,"burn stone grease"
mineral,batisite,硅钡钛石,4,1,"silicon barium titanium stone"
mineral,baumhauerite,褐硫砷铅矿,5,1,"coarse woolen cloth sulfur arsenic lead mine"
mineral,bayerite,拜三水铝石,5,1,"bye three water aluminum stone"
mineral,bayldonite,乳砷铅铜石,5,1,"breast arsenic lead copper stone"
mineral,bayleyite,碳镁铀矿,4,1,"carbon magnesium uranium mine"
mineral,baylissite,水碳镁钾石,5,1,"water carbon magnesium potassium stone"
mineral,bazhenovite,巴热诺夫石,5,1,"greatly desire hot promise man stone"
mineral,bazzite,钪绿柱石,4,1,"scandium green pillar stone"
mineral,bearthite,贝磷铝钙石,5,1,"sea shell phosphorus aluminum calcium stone"
mineral,bechererite,羟硫硅铜锌矿,6,1,"hydroxide sulfur silicon copper zinc mine"
mineral,becquerelite,黄钙铀矿,4,1,"yellow calcium uranium mine"
mineral,bederite,磷钙铁锰石,5,1,"phosphorus calcium iron manganese stone"
mineral,belkovite,硅钡铌石,4,1,"silicon barium niobium stone"
mineral,bellidoite,灰硒铜矿,4,1,"ash selenium copper mine"
mineral,belloite,别洛依石,4,1,"not river in Shanxi province rely on stone"
mineral,belovite-(Ce),锶铈磷灰石,5,0,"strontium cerium phosphorus ash stone"
mineral,belovite-(La),锶镧磷灰石,5,0,"strontium lanthanum phosphorus ash stone"
mineral,belyankinite,锆钛钙石,4,1,"zirconium titanium calcium stone"
mineral,bementite,蜡硅锰矿,4,1,"wax silicon manganese mine"
mineral,benavidesite,硫锰铅锑矿,5,1,"sulfur manganese lead antimony mine"
mineral,benitoite,藍錐礦,3,1,"blue awl mineral deposit"
mineral,benjaminite,本硫铋银矿,5,1,"root sulfur bismuth silver mine"
mineral,benleonardite,硫碲锑银矿,5,1,"sulfur tellurium antimony silver mine"
mineral,benstonite,菱碱土矿,4,1,"water-chestnut alkaline soil mine"
mineral,bentorite,钙铬矾,3,1,"calcium chromium alum"
mineral,benyacarite,水磷锰铁钛石,6,1,"water phosphorus manganese iron titanium stone"
mineral,berborite,水硼铍石,4,1,"water borax a needle used in Chinese medicine stone"
mineral,berdesinskiite,钛钒矿,3,1,"titanium vanadium mine"
mineral,berlinite,块磷铝矿,4,1,"piece phosphorus aluminum mine"
mineral,bermanite,板磷锰矿,4,1,"plank phosphorus manganese mine"
mineral,bernalite,伯纳尔石,4,1,"older brother admit you stone"
mineral,bernardite,贝硫砷铊矿,5,1,"sea shell sulfur arsenic a short spear mine"
mineral,berryite,板硫铋铜铅矿,6,1,"plank sulfur bismuth copper lead mine"
mineral,berthierine,鐵鋁蛇紋石,5,1,"iron aluminium snake line stone"
mineral,berthierite,辉锑铁矿,4,1,"brightness antimony iron mine"
mineral,bertossaite,磷铝钙锂石,5,1,"phosphorus aluminum calcium lithium stone"
mineral,bertrandite,矽鈹石,3,1,"silicon beryllium stone"
mineral,beryl,綠柱石,3,1,"green pillar stone"
mineral,berzelianite,硒铜矿,3,1,"selenium copper mine"
mineral,berzeliite,黄砷榴石,4,1,"yellow arsenic pomegranate stone"
mineral,beudantite,砷酸明礬石,5,1,"arsenic acid bright alum stone"
mineral,beusite,磷铁锰矿,4,1,"phosphorus iron manganese mine"
mineral,bezsmertnovite,碲铜金矿,4,1,"tellurium copper gold mine"
mineral,bianchite,六水锌矾,4,1,"six water zinc alum"
mineral,bideauxite,氯银铅矿,4,1,"chlorine silver lead mine"
mineral,biehlite,钼砷锑矿,4,1,"molybdenum arsenic antimony mine"
mineral,bijvoetite-(Y),羟碳钇铀矿,5,0,"hydroxide carbon yttrium uranium mine"
mineral,bilibinskite,碲铅铜金矿,5,1,"tellurium lead copper gold mine"
mineral,billietite,黄钡铀矿,4,1,"yellow barium uranium mine"
mineral,billingsleyite,硫锑砷银矿,5,1,"sulfur antimony arsenic silver mine"
mineral,birchite,水硫磷铜镉石,6,1,"water sulfur phosphorus copper cadmium stone"
mineral,birnessite,水钠锰矿,4,1,"water sodium manganese mine"
mineral,bischofite,水氯镁石,4,1,"water chlorine magnesium stone"
mineral,bismite,铋华,2,1,"bismuth flowery"
mineral,bismoclite,氯铋矿,3,1,"chlorine bismuth mine"
mineral,bismuthinite,辉铋矿,3,1,"brightness bismuth mine"
mineral,bismutocolumbite,铋铌铁矿,4,1,"bismuth niobium iron mine"
mineral,bismutohauchecornite,硫双铋镍矿,5,1,"sulfur pair bismuth nickel mine"
mineral,bjarebyite,磷铝锰钡石,5,1,"phosphorus aluminum manganese barium stone"
mineral,blatonite,巴纤碳铀矿,5,1,"greatly desire tow line carbon uranium mine"
mineral,blatterite,贝硼锰石,4,1,"sea shell borax manganese stone"
mineral,bleasdaleite,磷钙铋铜石,5,1,"phosphorus calcium bismuth copper stone"
mineral,blixite,氯氧铅矿,4,1,"chlorine oxygen lead mine"
mineral,blödite,白钠镁矾,4,1,"white sodium magnesium alum"
mineral,bobfergusonite,磷钠锰高铁石,6,1,"phosphorus sodium manganese high iron stone"
mineral,bobierrite,白磷镁矿,4,1,"white phosphorus magnesium mine"
mineral,bobjonesite,三水钒矾,4,1,"three water vanadium alum"
mineral,boggsite,博干沸石,4,1,"gamble dry boil stone"
mineral,bokite,钒铝铁石,4,1,"vanadium aluminum iron stone"
mineral,boleite,銀銅氯鉛礦,5,1,"silver copper chlorine lead mineral deposit"
mineral,bolivarite,隐磷铝石,4,1,"hide phosphorus aluminum stone"
mineral,boltwoodite,硅钾铀矿,4,1,"silicon potassium uranium mine"
mineral,bonattite,三水胆矾,4,1,"three water gall bladder alum"
mineral,bonshtedtite,碳磷铁钠石,5,1,"carbon phosphorus iron sodium stone"
mineral,boothite,七水胆矾,4,1,"seven water gall bladder alum"
mineral,boracite,方硼石,3,1,"a square borax stone"
mineral,borax,硼砂,2,1,"borax pebbles"
mineral,bornemanite,磷硅铌钠钡石,6,1,"phosphorus silicon niobium sodium barium stone"
mineral,bornite,斑銅礦,3,1,"mottled copper mineral deposit"
mineral,borodaevite,博罗达耶夫矿,6,1,"gamble net for catching birds arrive at interrogative particle man mine"
mineral,bostwickite,多水硅钙锰石,6,1,"many water silicon calcium manganese stone"
mineral,botallackite,斜氯銅礦,4,1,"slanting chlorine copper mineral deposit"
mineral,boulangerite,硫锑铅矿,4,1,"sulfur antimony lead mine"
mineral,bournonite,車輪礦,3,1,"land vehicle warrant mineral deposit"
mineral,boussingaultite,六水铵镁矾,5,1,"six water ammonium magnesium alum"
mineral,bowieite,硫銥鉑銠礦,5,1,"sulfur iridium platinum rhodium mineral deposit"
mineral,boyleite,四水锌矾,4,1,"four water zinc alum"
mineral,bracewellite,羟铬矿,3,1,"hydroxide chromium mine"
mineral,brackebuschite,水钒锰铅矿,5,1,"water vanadium manganese lead mine"
mineral,bradleyite,磷碳镁钠石,5,1,"phosphorus carbon magnesium sodium stone"
mineral,braggite,硫砷鉑礦,4,1,"sulfur arsenic platinum mineral deposit"
mineral,braitschite-(Ce),硼铈钙石,4,0,"borax cerium calcium stone"
mineral,brassite,水砷镁石,4,1,"water arsenic magnesium stone"
mineral,braunite,褐锰矿,3,1,"coarse woolen cloth manganese mine"
mineral,brazilianite,巴西石,3,1,"greatly desire west stone"
mineral,bredigite,白硅钙石,4,1,"white silicon calcium stone"
mineral,breithauptite,红锑镍,3,1,"red antimony nickel"
mineral,brendelite,磷铁铅铋矿,5,1,"phosphorus iron lead bismuth mine"
mineral,brewsterite-Sr,锶沸石,3,0,"strontium boil stone"
mineral,brianroulstonite,布水氯硼钙石,6,1,"cloth water chlorine borax calcium stone"
mineral,brianyoungite,羟硫碳锌石,5,1,"hydroxide sulfur carbon zinc stone"
mineral,briartite,灰锗矿,3,1,"ash germanium mine"
mineral,britholite-(Ce),磷灰石,3,0,"phosphorus ash stone"
mineral,brizziite,锑钠石,3,1,"antimony sodium stone"
mineral,brochantite,水膽礬,3,1,"water gallbladder alum"
mineral,brockite,板鈦礦,3,1,"plank titanium mineral deposit"
mineral,bromargyrite,溴銀礦,3,1,"bromine silver mineral deposit"
mineral,bromellite,铍石,2,1,"a needle used in Chinese medicine stone"
mineral,brookite,板鈦礦,3,1,"plank titanium mineral deposit"
mineral,brownmillerite,钙铁铝石,4,1,"calcium iron aluminum stone"
mineral,brucite,水鎂石,3,1,"water magnesium stone"
mineral,brugnatellite,红磷铁镁矿,5,1,"red phosphorus iron magnesium mine"
mineral,brushite,透磷钙石,4,1,"penetrate phosphorus calcium stone"
mineral,buddingtonite,铵长石,3,1,"ammonium long stone"
mineral,bukovskýite,羟砷铁矾,4,1,"hydroxide arsenic iron alum"
mineral,burckhardtite,硅碲铁铅石,5,1,"silicon tellurium iron lead stone"
mineral,burkeite,碳钠矾,3,1,"carbon sodium alum"
mineral,burnsite,伯恩矿,3,1,"older brother favour mine"
mineral,bursaite,柱辉铋铅矿,5,1,"pillar brightness bismuth lead mine"
mineral,burtite,羟锡钙石,4,1,"hydroxide tin calcium stone"
mineral,bushmakinite,羟钒磷铝铅石,6,1,"hydroxide vanadium phosphorus aluminum lead stone"
mineral,bustamite,锰硅灰石,4,1,"manganese silicon ash stone"
mineral,butlerite,基铁矾,3,1,"foundation iron alum"
mineral,buttgenbachite,毛青铜矿,4,1,"hair blue copper mine"
mineral,béhierite,硼钽石,3,1,"borax tantalum stone"
mineral,böhmite,勃姆石,3,1,"suddenly child's governess stone"
mineral,cabalzarite,砷铁镁铝钙石,6,1,"arsenic iron magnesium aluminum calcium stone"
mineral,cabriite,锡铜钯矿,4,1,"tin copper palladium mine"
mineral,cadmoindite,硫鎘銦礦,4,1,"sulfur cadmium indium mineral deposit"
mineral,cadwaladerite,氯羟铝石,4,1,"chlorine hydroxide aluminum stone"
mineral,cahnite,水砷硼鈣石,5,1,"water arsenic borax calcium stone"
mineral,calaverite,碲金矿,3,1,"tellurium gold mine"
mineral,calcioandyrobertsite,水砷钾钙铜石,6,1,"water arsenic potassium calcium copper stone"
mineral,calcite,方解石,3,0,"a square loosen stone"
mineral,calderite,锰铁榴石,4,1,"manganese iron pomegranate stone"
mineral,calkinsite-(Ce),水碳镧铈石,5,0,"water carbon lanthanum cerium stone"
mineral,cameronite,喀碲银铜矿,5,1,"vomit tellurium silver copper mine"
mineral,campostriniite,钠铋矾,3,1,"sodium bismuth alum"
mineral,canasite,矽鹼鈣石,4,1,"silicon sodium carbonate calcium stone"
mineral,cancrinite,鈣霞石,3,1,"calcium rosy clouds stone"
mineral,canfieldite,硫银锡矿,4,1,"sulfur silver tin mine"
mineral,cannizzarite,卡辉铋铅矿,5,1,"card brightness bismuth lead mine"
mineral,cannonite,坎农矿,3,1,"pit agriculture mine"
mineral,cappelenite-(Y),硼硅钡钇矿,5,0,"borax silicon barium yttrium mine"
mineral,caresite,水碳铝铁石,5,1,"water carbon aluminum iron stone"
mineral,carletonite,碳硅碱钙石,5,1,"carbon silicon alkaline calcium stone"
mineral,carlfriesite,碲钙石,3,1,"tellurium calcium stone"
mineral,carlosruizite,卡洛斯鲁伊兹石,7,1,"card river in Shanxi province this foolish third person pronoun now stone"
mineral,carlosturanite,卡硅铁镁石,5,1,"card silicon iron magnesium stone"
mineral,carmichaelite,羟钛矿,3,1,"hydroxide titanium mine"
mineral,carnallite,光卤石,3,1,"light salt stone"
mineral,carnotite,釩鉀鈾礦,4,1,"vanadium potassium uranium mineral deposit"
mineral,carobbiite,方氟钾石,4,1,"a square fluorine potassium stone"
mineral,carpathite,黄地蜡,3,1,"yellow earth wax"
mineral,carrollite,硫銅鈷礦,4,1,"sulfur copper cobalt mineral deposit"
mineral,cassedanneite,水铅钒铬矿,5,1,"water lead vanadium chromium mine"
mineral,cassiterite,锡石,2,1,"tin stone"
mineral,caswellsilverite,陨硫钠铬矿,5,1,"fall sulfur sodium chromium mine"
mineral,catalanoite,卡塔水磷钠石,6,1,"card tower water phosphorus sodium stone"
mineral,catapleiite,鈉鋯石,3,1,"sodium zirconium stone"
mineral,cattierite,方硫钴矿,4,1,"a square sulfur cobalt mine"
mineral,cattiite,卡水磷镁石,5,1,"card water phosphorus magnesium stone"
mineral,cavansite,水矽釩鈣石,5,1,"water silicon vanadium calcium stone"
mineral,celadonite,铝绿鳞石,4,1,"aluminum green fish scales stone"
mineral,celestine,天青石,3,1,"sky blue stone"
mineral,celsian,钡长石,3,1,"barium long stone"
mineral,cerianite-(Ce),方鈰石,3,0,"a square cerium stone"
mineral,cerussite,白铅矿,3,1,"white lead mine"
mineral,cervantite,黄锑华,3,1,"yellow antimony flowery"
mineral,cervelleite,硫碲银矿,4,1,"sulfur tellurium silver mine"
mineral,cesbronite,羟碲铜矿,4,1,"hydroxide tellurium copper mine"
mineral,chadwickite,亚砷铀石,4,1,"Asia arsenic uranium stone"
mineral,chaidamuite,柴达木石,4,1,"firewood arrive at tree stone"
mineral,chalcanthite,胆矾,2,1,"gall bladder alum"
mineral,chalcocite,輝銅礦,3,1,"brightness copper mineral deposit"
mineral,chalcopyrite,黃銅礦,3,1,"yellow copper mineral deposit"
mineral,chalcostibite,硫铜锑矿,4,1,"sulfur copper antimony mine"
mineral,chamosite,鲕绿泥石,4,1,"roe green mud stone"
mineral,changchengite,长城矿,3,1,"long castle mine"
mineral,changesite-(Y),嫦娥石,3,0,"name of a moon goddess be beautiful stone"
mineral,chantalite,钱羟硅铝钙石,6,1,"money hydroxide silicon aluminum calcium stone"
mineral,chaoite,蠟石,2,1,"wax stone"
mineral,chapmanite,羟硅锑铁矿,5,1,"hydroxide silicon antimony iron mine"
mineral,charlesite,水硼铝钙矾,5,1,"water borax aluminum calcium alum"
mineral,charmarite,水碳铝锰石,5,1,"water carbon aluminum manganese stone"
mineral,charoite,紫硅碱钙石,5,1,"purple silicon alkaline calcium stone"
mineral,chekhovichite,切铋碲矿,4,1,"cut bismuth tellurium mine"
mineral,chenevixite,砷铁铜石,4,1,"arsenic iron copper stone"
