tune,english
baf,define
bag,insect
bal,limit/restrict
ban,together/bind
baz,private
beC,by
bem,target
beq,bang
bex,bird
bik,send
bin,being
bis,base
biv,many
boj,bosom
bom,boom
boq,be
bor,condition (case)
bot,boat
bul,blue
bun,awake
bup,energy
bus,possessive plural
buv,debug
caf,each
cag,spec
cal,like (similar)
Car,there (abstract reference)
Cat,get
caz,emphasize
ceb,torture
Ceg,though/regard
cem,then
Cen,than/compare
ceq,thing (hatchling)
Ces,thus
Cev,without
cex,key
Cib,absorb
Cij,kaledoscope
cik,thank
Cim,pleasure
cis,parent
civ,brown
Col,value
Con,transition
Cop,six
coq,eleven
cor,file (computer)
cot,mud
Coz,except
Cud,life
cul,still (time)
Cum,zoom
cun,wind (air)
cup,above (super)/hover
Cur,other
cuv,field (ether)
daC,divine
dam,morality
daq,tongue
dar,tire (sleep)
dat,word
dax,condition (general state)
deg,sine
den,the
des,number
dev,drive
dib,connect
dic,death
dij,orange
dim,you
diq,mental experience
dof,previous
dol,delete
don,join (to one)
dop,tree
doz,here
duc,emotion
duj,do
dum,negative
duq,minute
dur,door
fak,fuck
fal,feel
fan,find
faz,green
fed,next
fem,female
feq,would
fex,belief
fin,device
fip,borrow
fis,face
fiv,repeat
fob,byte
foc,else
foj,refuge
fom,family
foq,function
for,fire
fug,figure (it out)
ful,fuel
fun,within (endo-)
fus,discontinuous
fuv,fusion
gal,too
gan,garden
gap,eat
gas,will (future)
gav,how (missing-action-focus)
gec,back (front)
gej,memory
gem,game
geq,goal
get,infinite
gif,give
gin,sync
giz,position
goC,gather
god,gold
gom,come
goq,job
gor,language
gox,cell (biology)
guf,end
guk,user
gul,exponent
gun,representation
guz,lose
haf,purple
hal,how
han,zero
hap,event
haz,have
hem,hey
heq,hang
het,heat
hex,peach (color)
hig,hike
hin,hi
his,snake
hiv,floating point
hod,period of x (-hood)
hoj,cardinal number
hom,home
hoq,hold
hor,era
huk,hook
hul,whole
hun,illusion
hus,hyper
huv,handle
jal,stream
jan,spirit
jap,ship
jas,just (close-focus)
jem,heaven
jeq,count
jet,throw
jig,start
jin,paradise
jod,digit
jom,pattern
joq,flow
jor,vowel
