bacet,basket,ˈbæskɪt
bacun,bathhouse,ˈbæθhaʊs
bajen,badger,ˈbædʒəɹ
bakal,back,bæk
bakin,blanket,ˈblæŋkɪt
bakiq,balcony,ˈbælkəni
bakiz,broccoli,ˈbɹɑːkəli
bakon,bucket,ˈbʌkɪt
bakus,box,bɑːks
balac,birth,bɜːɹθ
balak,bear,bɛɹ
balan,barrel,ˈbæɹəl
balaz,breastplate,ˈbɹɛstpleɪt
balin,barn,bɑːɹn
baliq,beard,bɪɹd
balof,bluff,blʌf
balox,brush,bɹʌʃ
bamap,basecamp,ˈbeɪskæmp
bamon,bamboo,bæmˈbuː
banaq,badland,ˈbædlænd
banes,banana,bəˈnænə
baniz,bronze,bɹɑːnz
banul,bay,beɪ
banus,bean,biːn
batat,body,ˈbɑːdi
baton,bat,bæt
bazan,basil,ˈbæzəl
bedaq,brick,bɹɪk
bedej,bridge,bɹɪdʒ
beden,bread,bɹɛd
bedis,brass,bɹæs
bedit,bright,bɹaɪt
bedon,brain,bɹeɪn
bedos,berry,ˈbɛɹi
beduc,breath,bɹɛθ
beduz,bed,bɛd
begiq,bakery,ˈbeɪkəɹi
besat,bee,biː
besik,biscuit,ˈbɪskɪt
besim,balancebeam,ˈbælənsbiːm
beson,breast,bɹɛst
besud,base,beɪs
bewiq,belly,ˈbɛli
bewit,blade,bleɪd
bexat,beach,biːtʃ
beyan,breeze,bɹiːz
beyaq,bracelet,ˈbɹeɪslət
bifot,beef,biːf
bimaq,bitumen,bɪˈtuːmən
binin,bank,bæŋk
bitiq,battery,ˈbætəɹi
biyas,barley,ˈbɑːɹli
bizaq,blizzard,ˈblɪzəɹd
boCot,brother,ˈbɹʌðəɹ
bodat,bird,bɜːɹd
bodon,bladder,ˈblædəɹ
bofit,butterfly,ˈbʌtəɹflaɪ
bofon,buffalo,ˈbʌfəloʊ
bogaq,bog,bɔːɡ
bolan,beer,bɪɹ
bolec,broth,bɹɔːθ
bolet,bark,bɑːɹk
boliq,bolt,boʊlt
bolis,bowl,boʊl
bolos,belt,bɛlt
boluk,brook,bɹʊk
bolun,blood,blʌd
bomiq,bone,boʊn
bonut,bow,boʊ
botaq,button,ˈbʌtən
botix,branch,bɹæntʃ
botos,bottle,ˈbɑːtəl
botul,boat,boʊt
boyal,birch,bɜːɹtʃ
boyas,boar,bɔːɹ
budaq,brewery,ˈbɹuːəɹi
budes,boulder,ˈboʊldəɹ
budiz,bruise,bɹuːz
bugon,book,bʊk
bunaq,butte,bjuːt
bunes,bin,bɪn
busaq,basin,ˈbeɪsən
busat,bison,ˈbaɪsən
buson,basalt,bəˈsɔːlt
butin,boot,buːt
buton,butter,ˈbʌtəɹ
buyal,broom,bɹuːm
caden,thursday,ˈθɜːɹzdeɪ
cadot,thunder,ˈθʌndəɹ
carat,theory,ˈθɪɹi
carin,thread,θɹɛd
cariq,sunrise,ˈsʌnɹaɪz
caron,syrup,ˈsɪɹəp
casin,thigh,θaɪ
cemin,thumb,θʌm
coren,scroll,skɹoʊl
corun,throat,θɹoʊt
dacul,death,dɛθ
dafin,dolphin,ˈdɑːlfɪn
dajal,jungle,ˈdʒʌŋɡəl
dajiq,jacket,ˈdʒækɪt
dakin,doctrine,ˈdɑːktɹɪn
dakiq,dialect,ˈdaɪəlɛkt
dakon,donkey,ˈdɑːŋki
damit,dam,dæm
daram,dream,dɹiːm
daraq,drill,dɹɪl
darat,deer,dɪɹ
dariz,drawer,drɔːɹ
daron,dress,dɹɛs
darul,drought,dɹaʊt
darus,trail,tɹeɪl
datij,jupiter,ˈdʒuːpɪtəɹ
dazal,drizzle,ˈdɹɪzəl
dazan,desert,ˈdɛzəɹt
dediq,diadem,ˈdaɪədɛm
dejen,gemini,ˈdʒɛmɪnaɪ
dejim,gem,dʒɛm
dejit,jar,dʒɑːɹ
dejom,genome,ˈdʒiːnoʊm
denal,drink,dɹɪŋk
deniq,dawn,dɔːn
depun,depth,dɛpθ
desal,desk,dɛsk
desin,dust,dʌst
desiq,dye,daɪ
deson,dusk,dʌsk
detan,delta,ˈdɛltə
devaq,device,dɪˈvaɪs
digaq,diagram,ˈdaɪəɡɹæm
dimes,december,dɪˈsɛmbəɹ
ditaq,distaff,ˈdɪstæf
dixet,dish,dɪʃ
diziq,diesel,ˈdiːzəl
dogim,dog,dɔːɡ
doraq,drawing,ˈdɹɔːɪŋ
doros,trowel,ˈtɹaʊəl
dorul,drone,dɹoʊn
dorut,door,dɔːɹ
doxal,july,dʒʊˈlaɪ
doxiq,joint,dʒɔɪnt
dujal,jaw,dʒɔː
dujan,june,dʒuːn
dujet,giraffe,dʒəˈɹæf
dujiq,juice,dʒuːs
dujor,january,ˈdʒænjuˌɛɹi
