rock,certainty,syllables,invented,tune,english
hana,held,2,1,hal,how
hana,held,2,1,han,zero
hapa,held,2,1,haf,purple
hapa,held,2,1,hap,event
hata,held,2,1,haz,have
hika,held,2,1,hex,peach (color)
hika,held,2,1,hig,hike
hima,held,2,1,hem,hey
hina,held,2,1,heq,hang
hina,held,2,1,hin,hi
hipa,held,2,1,hiv,floating point
hita,held,2,1,het,heat
hita,held,2,1,his,snake
huka,held,2,1,hoj,cardinal number
huka,held,2,1,huk,hook
huma,held,2,1,hom,home
huna,held,2,1,hoq,hold
huna,held,2,1,hor,era
huna,held,2,1,hul,whole
huna,held,2,1,hun,illusion
hupa,held,2,1,huv,handle
huta,held,2,1,hod,period of x (-hood)
huta,held,2,1,hus,hyper
kaku,held,2,1,kax,perfect
kaku,held,2,1,xaj,eternal
kaku,held,2,1,yax,something
kama,held,2,1,kam,calm
kama,held,2,1,xam,chime
kama,held,2,1,yam,day
kana,held,2,1,gal,too
kana,held,2,1,gan,garden
kana,held,2,1,jal,stream
kana,held,2,1,jan,spirit
kana,held,2,1,kaq,object
kana,held,2,1,kar,call
kana,held,2,1,xaq,share
kana,held,2,1,yaq,permanent
kana,held,2,1,yar,year
kapa,held,2,1,gap,eat
kapa,held,2,1,gav,how (missing-action-focus)
kapa,held,2,1,jap,ship
kata,held,2,1,gas,will (future)
kata,held,2,1,jas,just (close-focus)
kata,held,2,1,kaC,cover
kata,held,2,1,kad,code
kata,held,2,1,xac,eye
kata,held,2,1,xad,should
kata,held,2,1,yaC,sort
kata,held,2,1,yad,away
kika,held,2,1,gej,memory
kika,held,2,1,jig,start
kika,held,2,1,kij,process
kima,held,2,1,gem,game
kima,held,2,1,jem,heaven
kima,held,2,1,kim,climb
kima,held,2,1,xim,speech
kina,held,2,1,geq,goal
kina,held,2,1,gin,sync
kina,held,2,1,jeq,count
kina,held,2,1,jin,paradise
kina,held,2,1,ken,communicate
kina,held,2,1,kiq,action
kina,held,2,1,xen,result
kina,held,2,1,xiq,will
kipa,held,2,1,gif,give
kipa,held,2,1,kep,clone
kipa,held,2,1,kev,intent
kipa,held,2,1,xef,destroy
kipa,held,2,1,xep,imagine
kita,held,2,1,gec,back (front)
kita,held,2,1,get,infinite
kita,held,2,1,giz,position
kita,held,2,1,jet,throw
kita,held,2,1,kes,case (situation)
kita,held,2,1,kic,bottom
kita,held,2,1,kit,but
kita,held,2,1,xit,provide
kuka,held,2,1,gox,cell (biology)
kuka,held,2,1,guk,user
kuka,held,2,1,juk,wisdom
kuka,held,2,1,kuj,fool
kuka,held,2,1,xok,copy
kuka,held,2,1,yok,practice of focusing on x (-ism)
kuka,held,2,1,yuj,measure
kuma,held,2,1,gom,come
kuma,held,2,1,jom,pattern
kuma,held,2,1,kum,back area
kuma,held,2,1,xum,sky
kuma,held,2,1,yum,yum (food)
kuna,held,2,1,goq,job
kuna,held,2,1,gor,language
kuna,held,2,1,gul,exponent
kuna,held,2,1,gun,representation
kuna,held,2,1,joq,flow
kuna,held,2,1,jor,vowel
kuna,held,2,1,jul,universe
kuna,held,2,1,jun,machine
kuna,held,2,1,kol,all
kuna,held,2,1,kon,and
kuna,held,2,1,kur,down
kuna,held,2,1,xol,show
kuna,held,2,1,xon,change
kuna,held,2,1,xuq,subtract
kuna,held,2,1,yol,yell
kuna,held,2,1,yon,vehicle
kuna,held,2,1,yuq,impermanent
kuna,held,2,1,yur,polynomial
kupa,held,2,1,guf,end
kupa,held,2,1,kof,default
kupa,held,2,1,kub,cube
kupa,held,2,1,xov,return
kupa,held,2,1,xub,seven
kupa,held,2,1,yof,of
kupa,held,2,1,yub,yep
kuta,held,2,1,goC,gather
kuta,held,2,1,god,gold
kuta,held,2,1,guz,lose
kuta,held,2,1,jod,digit
kuta,held,2,1,juz,converse (talk)
kuta,held,2,1,koz,z-axis
kuta,held,2,1,kuc,constant
kuta,held,2,1,yoz,use
kuta,held,2,1,yuc,with (con-)
maka,held,2,1,mak,meat
mana,held,2,1,mal,molecule
mana,held,2,1,man,mind
mapa,held,2,1,maf,male
mata,held,2,1,maz,flow (speech utterance)
mika,held,2,1,mex,network
mika,held,2,1,wik,week
mina,held,2,1,meq,mine
mina,held,2,1,min,not know
mina,held,2,1,win,when (time location)
mipa,held,2,1,mip,map (map/reduce)
mipa,held,2,1,miv,idea
mipa,held,2,1,wif,connection network (neighborhood)
mita,held,2,1,meC,great
mita,held,2,1,med,positive
mita,held,2,1,mis,miss (longing)
mita,held,2,1,wiz,solve
muka,held,2,1,moj,emerge
muka,held,2,1,mug,(past particle)
muna,held,2,1,moq,about/encompass
muna,held,2,1,mor,the model of the action (e.g. the transform)
muna,held,2,1,mul,unreal
muna,held,2,1,mun,gut sense
mupa,held,2,1,mob,source
mupa,held,2,1,muv,move
muta,held,2,1,moc,mouth
muta,held,2,1,mus,mercy
naka,held,2,1,laj,orient
naka,held,2,1,naj,hell
nama,held,2,1,lam,real
nama,held,2,1,nam,name
nanu,held,2,1,laq,object feature type
nanu,held,2,1,lar,y-axis
nanu,held,2,1,naq,negate
nanu,held,2,1,nar,person
nanu,held,2,1,ral,raw
nanu,held,2,1,ran,frog
napa,held,2,1,raf,reference
napa,held,2,1,rap,wrap
nata,held,2,1,lac,air
nata,held,2,1,lat,lot (land)
nata,held,2,1,nac,long
nata,held,2,1,nad,static
nata,held,2,1,raz,resonate
nika,held,2,1,leg,square root
nika,held,2,1,lix,add
nika,held,2,1,nix,listen
nika,held,2,1,rex,array
nika,held,2,1,rig,edit
nima,held,2,1,lim,low
nima,held,2,1,nim,not (un- or -im)
nima,held,2,1,rem,dark
nina,held,2,1,len,learn
nina,held,2,1,liq,simulate
nina,held,2,1,niq,omniscient
nina,held,2,1,req,wrong
nina,held,2,1,rin,run
nipa,held,2,1,lef,leaf
nipa,held,2,1,lib,chain
nipa,held,2,1,nef,a (isolated-element-focus)
nipa,held,2,1,nep,nature
nipa,held,2,1,riv,to/arrive
nita,held,2,1,lez,very much of (-some)
nita,held,2,1,liC,point
nita,held,2,1,nez,nest (structure)
nita,held,2,1,niC,off
nita,held,2,1,nit,knit
nita,held,2,1,reC,progress
nita,held,2,1,ret,after
nita,held,2,1,ris,express
nuka,held,2,1,lux,string (computing)
nuka,held,2,1,nok,knock
nuka,held,2,1,nux,notion
nuka,held,2,1,roj,range
nuka,held,2,1,ruk,location
numa,held,2,1,lum,branch
numa,held,2,1,num,know
numa,held,2,1,rom,realm
nuna,held,2,1,lon,loan
nuna,held,2,1,luq,question
nuna,held,2,1,lur,lord
nuna,held,2,1,nol,toward
nuna,held,2,1,nuq,bond
nuna,held,2,1,nur,nerd
nuna,held,2,1,roq,environment
nuna,held,2,1,rul,rule (in system)
nuna,held,2,1,run,glyph
nupa,held,2,1,lop,loop
nupa,held,2,1,lov,love
nupa,held,2,1,nov,empty
nupa,held,2,1,nub,separate
nupa,held,2,1,ruv,local
nuta,held,2,1,los,less of (-less) empty
nuta,held,2,1,luC,rhythm
nuta,held,2,1,lud,load
nuta,held,2,1,nos,nest
nuta,held,2,1,nuC,center
nuta,held,2,1,roc,straight
nuta,held,2,1,rod,update
nuta,held,2,1,rus,force
paka,held,2,1,bag,insect
paka,held,2,1,fak,fuck
paka,held,2,1,paj,magenta
paka,held,2,1,vax,it
pama,held,2,1,pam,pray
pama,held,2,1,vam,having the nature of (-ivity)
pana,held,2,1,bal,limit/restrict
pana,held,2,1,ban,together/bind
pana,held,2,1,fal,feel
pana,held,2,1,fan,find
pana,held,2,1,paq,response
pana,held,2,1,par,depart/from
pana,held,2,1,var,variable
papu,held,2,1,baf,define
papu,held,2,1,pab,father
papu,held,2,1,vab,vibe
pata,held,2,1,baz,private
pata,held,2,1,faz,green
pata,held,2,1,pac,path
pata,held,2,1,vaC,water
pika,held,2,1,bex,bird
pika,held,2,1,bik,send
pika,held,2,1,fex,belief
pika,held,2,1,pek,master
pika,held,2,1,pix,tingle
pika,held,2,1,vek,filter
pima,held,2,1,bem,target
pima,held,2,1,fem,female
pima,held,2,1,pim,permeate
pima,held,2,1,vim,way/style
pina,held,2,1,beq,bang
pina,held,2,1,bin,being
pina,held,2,1,feq,would
pina,held,2,1,fin,device
pina,held,2,1,pen,yes
pina,held,2,1,piq,request
pina,held,2,1,ven,fill (-full)
pina,held,2,1,viq,everything
pipa,held,2,1,biv,many
pipa,held,2,1,fip,borrow
pipa,held,2,1,fiv,repeat
pipa,held,2,1,pef,cough
pita,held,2,1,beC,by
pita,held,2,1,bis,base
pita,held,2,1,fed,next
pita,held,2,1,fis,face
pita,held,2,1,pez,intense
pita,held,2,1,pid,pure
pita,held,2,1,ves,vessel
pita,held,2,1,vic,bit
pita,held,2,1,vid,veer
puka,held,2,1,boj,bosom
puka,held,2,1,foj,refuge
puka,held,2,1,fug,figure (it out)
puka,held,2,1,pog,package
puka,held,2,1,pux,bundle (matter condensing)
puka,held,2,1,vog,black
puka,held,2,1,vuj,reveal
puma,held,2,1,bom,boom
puma,held,2,1,fom,family
puma,held,2,1,pum,time (count)
puma,held,2,1,vum,on
puna,held,2,1,boq,be
puna,held,2,1,bor,condition (case)
puna,held,2,1,bul,blue
puna,held,2,1,bun,awake
puna,held,2,1,foq,function
puna,held,2,1,for,fire
puna,held,2,1,ful,fuel
puna,held,2,1,fun,within (endo-)
puna,held,2,1,pol,pull
puna,held,2,1,pon,different
puna,held,2,1,puq,pay
puna,held,2,1,pur,poor
puna,held,2,1,vol,via
puna,held,2,1,von,sin
puna,held,2,1,vuq,data
puna,held,2,1,vur,remote (far)
pupa,held,2,1,bup,energy
pupa,held,2,1,buv,debug
pupa,held,2,1,fob,byte
pupa,held,2,1,fuv,fusion
pupa,held,2,1,pov,input (computing)
pupa,held,2,1,vof,axis
puta,held,2,1,bot,boat
puta,held,2,1,bus,possessive plural
puta,held,2,1,foc,else
puta,held,2,1,fus,discontinuous
puta,held,2,1,pos,space
puta,held,2,1,put,honorific (address)
puta,held,2,1,voz,voice
puta,held,2,1,vuc,catch
puta,held,2,1,vut,vote
taka,held,2,1,cag,spec
taka,held,2,1,dax,condition (general state)
taka,held,2,1,saj,etc
taka,held,2,1,tak,talk
taka,held,2,1,zag,gain
tama,held,2,1,dam,morality
tama,held,2,1,sam,sound
tana,held,2,1,cal,like (similar)
tana,held,2,1,Car,there (abstract reference)
tana,held,2,1,daq,tongue
tana,held,2,1,dar,tire (sleep)
tana,held,2,1,saq,song
tana,held,2,1,sar,surf
tana,held,2,1,tal,tell
tana,held,2,1,tan,tan (color)
tana,held,2,1,zal,perspective
tana,held,2,1,zan,one
tapa,held,2,1,caf,each
tapa,held,2,1,tav,conscious
tapa,held,2,1,zav,lie
tatu,held,2,1,Cat,get
tatu,held,2,1,caz,emphasize
tatu,held,2,1,daC,divine
tatu,held,2,1,dat,word
tatu,held,2,1,sac,etc.
tatu,held,2,1,sat,sight
tatu,held,2,1,tas,test
tatu,held,2,1,zas,experience
tika,held,2,1,Ceg,though/regard
tika,held,2,1,cex,key
tika,held,2,1,Cij,kaledoscope
tika,held,2,1,cik,thank
tika,held,2,1,deg,sine
tika,held,2,1,dij,orange
tika,held,2,1,seg,front
tika,held,2,1,six,all encompasing thing
tika,held,2,1,tej,down (to be cool with something)
tika,held,2,1,zik,effect
tima,held,2,1,cem,then
tima,held,2,1,Cim,pleasure
tima,held,2,1,dim,you
tima,held,2,1,sim,same (sym-)
tima,held,2,1,tem,team
tima,held,2,1,zem,plasma (matter)
tina,held,2,1,Cen,than/compare
tina,held,2,1,ceq,thing (hatchling)
tina,held,2,1,den,the
tina,held,2,1,diq,mental experience
tina,held,2,1,sen,sun
tina,held,2,1,siq,more (-er)
tina,held,2,1,teq,like (as if)
tina,held,2,1,tin,between
tina,held,2,1,zeq,zing
tina,held,2,1,zin,decision
tipa,held,2,1,ceb,torture
tipa,held,2,1,Cev,without
tipa,held,2,1,Cib,absorb
tipa,held,2,1,civ,brown
tipa,held,2,1,dev,drive
tipa,held,2,1,dib,connect
tipa,held,2,1,sef,continue
tipa,held,2,1,sib,describe
tipa,held,2,1,tif,left
tipa,held,2,1,tip,step
tipa,held,2,1,zeb,public
tipa,held,2,1,zif,equal (iso-)
tita,held,2,1,Ces,thus
tita,held,2,1,cis,parent
