category,term,meaning,source_meaning,status,language
grammar_reference,sub,I,I,keep,
grammar_reference,dim,you,you,keep,
grammar_reference,,he,,add/missing,
grammar_reference,,she,,add/missing,
grammar_reference,vax,it,it,keep,
grammar_reference,bib,we,we,keep,
grammar_reference,pem,they,they (communicating-agent-external-reference-focus),keep,hebrew
grammar_reference,suf,self,self (auto-),keep,
grammar_reference,Car,other,other,keep,english
grammar_reference,rug,this,this,keep,
grammar_reference,gir,that,that,keep,
grammar_reference,doz,here,here,keep,
grammar_reference,forc,there,there,keep,
grammar_reference,miqk,who,who,keep,hebrew
grammar_reference,wut,what,what,keep,
grammar_reference,wetx,which,which,keep,english
grammar_reference,zuk,where,where,keep,
grammar_reference,win,when,when (time location),keep,english
grammar_reference,hal,how,how,keep,sanskrit
grammar_reference,wan,why,why,keep,
grammar_reference,pan,yes,yes,keep,
grammar_reference,nop,no,no,keep,english
grammar_reference,kol,all,all,keep,hebrew
grammar_reference,sorm,some,some,keep,english
grammar_reference,nark,any,any,keep,
grammar_reference,nunan,none,none,keep,english
grammar_reference,sof,each,each,keep,
grammar_reference,hez,every,every,keep,
grammar_reference,mav,many,many,keep,english
grammar_reference,flun,few,few,keep,
grammar_reference,sil,more,more (-er),keep,
grammar_reference,,less,,add/missing,
grammar_reference,zan,one,one,keep,
grammar_reference,dob,two,two,keep,
grammar_reference,suC,three,three,keep,
grammar_reference,sem,same,same (sym-),keep,
grammar_reference,pom,different,different,keep,
grammar_reference,kon,and,and,keep,
grammar_reference,xat,or,or,keep,
grammar_reference,ket,but,but,keep,
grammar_reference,kiz,if,if,keep,
grammar_reference,cam,then,then,keep,english
grammar_reference,tuz,because,because,keep,
grammar_reference,yuc,with,with (con-),keep,
grammar_reference,Cev,without,without,keep,
grammar_reference,,for,,add/missing,
grammar_reference,,from,,add/missing,
grammar_reference,,to,,add/missing,
grammar_reference,yov,of,of,keep,
grammar_reference,ras,in,in,keep,
grammar_reference,vun,on,on,keep,
grammar_reference,hat,at,at,keep,english
grammar_reference,baC,by,by,keep,english
grammar_reference,naz,as,as,keep,english
grammar_reference,non,not,not (un- or -im),keep,
grammar_reference,kard,can,can,keep,
grammar_reference,marst,must,must,keep,english
grammar_reference,,may,,add/missing,
abstract_relations,ciq,thing,thing (hatchling),keep,english
abstract_relations,kund,kind,kind (good),keep,english
abstract_relations,tuq,type,type,keep,
abstract_relations,part,part,part,keep,english
abstract_relations,hol,whole,whole,keep,english
abstract_relations,hip,group,group,keep,
abstract_relations,xadik,pair,pair,keep,hebrew
abstract_relations,tac,set,set (get),keep,
abstract_relations,hamant,amount,amount,keep,english
abstract_relations,dis,number,number,keep,
abstract_relations,nam,name,name,keep,
abstract_relations,form,form,form,keep,english
abstract_relations,xepol,shape,shape,keep,english
abstract_relations,jom,pattern,pattern,keep,
abstract_relations,nord,order,order,keep,english
abstract_relations,lok,place,place (space location),keep,english
abstract_relations,leC,point,point,keep,icelandic
abstract_relations,sard,side,side,keep,english
abstract_relations,nav,center,center,keep,
abstract_relations,padj,edge,edge,keep,english
abstract_relations,guv,end,end,keep,
abstract_relations,vig,start,start,keep,
