term,meaning,fate,became
bad,tangent (math),reused,brother
bam,create,reused,breath
ban,together/bind,reused,begin
baq,be,reused,own
bat,beauty,reused,blame
beq,bang,reused,bleed
bes,base,reused,live
bid,ignorant,reused,picture
bil,limit/restrict,removed,
bim,target,reused,become
bip,output,reused,daughter
biq,being,reused,chest
biz,intense,reused,pond
bor,condition (case),reused,remember
bos,possessive plural,reused,promise
bov,debug,reused,butter
boz,private,reused,pass
bub,boob,reused,son
bud,awake,reused,opening
bug,cosine,reused,cup
bum,boom,reused,crow
but,unstable,reused,pipe
bux,bundle (matter condensing),reused,pot
buz,bosom,reused,purpose
Can,than/compare,reused,thunder
Cas,thus,reused,short
Ciz,kaledoscope,reused,for
Cog,though/regard,reused,thin
cok,spec,reused,story
Con,transition,reused,chair
Coz,except,reused,from
cub,torture,reused,gap
dad,content,reused,defend
dak,physical,reused,throat
dal,matter (physics),reused,decrease
dam,morality,reused,he
dan,the,reused,draw
dav,divine,reused,dress
det,datetime stamp/instance in time,reused,believe
dez,dynamic,reused,sadness
did,deed,reused,descend
dif,define,reused,deer
dig,sine,reused,tea
dub,aware,reused,jump
duk,minute,reused,lake
dul,delete,reused,travel
dum,negative,reused,burn
dus,reduce,reused,disease
dux,condition (general state),reused,shoe
fak,fuck,reused,sheep
fek,fake,reused,whale
fil,feel,removed,
fix,belief,reused,harvest
fok,halt,reused,ant
fon,device,reused,eagle
fos,else,reused,salty
fug,figure (it out),reused,bee
fuj,refuge,reused,search
ful,fuel,reused,feel
fup,borrow,reused,honor
fuq,function,reused,health
fur,fail,reused,sister
fus,discontinuous,reused,rotten
fuz,fusion,reused,coffee
gad,god,reused,woman
gal,too,reused,that
gav,how (missing-action-focus),reused,steal
gaz,possess,reused,dirty
gib,guide,reused,cheese
gik,user,reused,height
gim,magic,reused,ritual
gin,sync,reused,explain
gir,that,removed,
gis,will (future),reused,inside
git,infinite,reused,ground
gol,goal,reused,rope
got,antenna,reused,ignore
gub,like (filler),reused,bound
gul,exponent,reused,bowl
gun,representation,reused,road
hak,hack (work),reused,early
ham,hmm,reused,help
har,era,reused,until
has,hyper,reused,news
haz,have,reused,vanish
hek,hour,reused,attack
hem,hey,reused,hate
hid,not hidden,reused,hear
hik,hike,reused,expect
him,nothing,reused,argue
hin,hi,reused,happen
hir,hear,removed,
hod,period of x (-hood),reused,tie
hok,okay,reused,length
hov,floating point,reused,strength
hoz,cardinal number,reused,always
hub,x-axis,reused,slave
huk,hook,reused,law
hum,urge,reused,host
hun,illusion,reused,often
huq,uh,reused,evening
hut,heed,reused,amount
huv,handle,reused,egg
huz,duration,reused,country
jak,wisdom,reused,shame
jan,spirit,reused,sell
jas,just (close-focus),reused,oil
jil,stream,removed,
jin,paradise,reused,fat
jit,digit,reused,stream
kab,receive,reused,custom
kaf,cough,reused,shoulder
