rock,certainty,atoms,invented,moon,english
bad,held,1,0,bad,tangent (math)
bad,held,1,0,bar,bear (carry)
bag,held,1,0,bag,insect
bak,held,1,0,bak,send
bam,held,1,0,bam,create
ban,held,1,0,ban,together/bind
ban,held,1,0,baq,be
bat,held,1,0,bat,beauty
bax,held,1,0,bax,bird
baz,held,1,0,baC,by
bid,held,1,0,bed,bite
bid,held,1,0,bid,ignorant
bid,held,1,0,bil,limit/restrict
big,held,1,0,big,go
bim,held,1,0,bim,target
bin,held,1,0,beq,bang
bin,held,1,0,biq,being
bis,held,1,0,bes,base
bit,held,1,0,bet,under
bit,held,1,0,bit,beat
biz,held,1,0,biz,intense
bud,held,1,0,bor,condition (case)
bud,held,1,0,bud,awake
bud,held,1,0,bul,blue
bug,held,1,0,bug,cosine
bum,held,1,0,bum,boom
bus,held,1,0,bos,possessive plural
but,held,1,0,bot,boat
but,held,1,0,but,unstable
buv,held,1,0,bov,debug
bux,held,1,0,bux,bundle (matter condensing)
buz,held,1,0,boz,private
buz,held,1,0,buz,bosom
dab,held,1,0,rab,ride
daf,held,1,0,daf,previous
daf,held,1,0,laf,four
daf,held,1,0,raf,reference
dag,held,1,0,dag,dog
dag,held,1,0,lag,organ (body)
daj,held,1,0,raj,range
dak,held,1,0,dak,physical
dak,held,1,0,lak,like
dak,held,1,0,rak,rock
dam,held,1,0,dam,morality
dam,held,1,0,lam,real
dam,held,1,0,ram,dark
dan,held,1,0,dan,the
dan,held,1,0,lan,land
dan,held,1,0,laq,object feature type
dan,held,1,0,ran,frog
dan,held,1,0,raq,wrong
dap,held,1,0,rap,wrap
das,held,1,0,dac,death
das,held,1,0,das,understand
das,held,1,0,ras,in
dav,held,1,0,dav,divine
dav,held,1,0,lav,love
dav,held,1,0,rav,particle
dax,held,1,0,lax,add
daz,held,1,0,laz,very much of (-some)
daz,held,1,0,raC,rhythm
daz,held,1,0,raz,resonate
dib,held,1,0,dib,connect
dib,held,1,0,rib,ribbit
dif,held,1,0,dif,define
dif,held,1,0,lif,leaf
dif,held,1,0,ref,success
dif,held,1,0,rif,close (near)
dig,held,1,0,dig,sine
dig,held,1,0,lig,square root
dig,held,1,0,reg,edit
dij,held,1,0,dej,orange
dij,held,1,0,lij,orient
dik,held,1,0,lek,collect
dik,held,1,0,lik,link
dik,held,1,0,rik,up
dim,held,1,0,dim,you
dim,held,1,0,lem,low
din,held,1,0,lin,learn
din,held,1,0,liq,simulate
din,held,1,0,ren,rain
din,held,1,0,rin,run
dip,held,1,0,dip,tree
dip,held,1,0,lep,push
dip,held,1,0,lip,chain
dip,held,1,0,rip,rich
dis,held,1,0,dis,number
dis,held,1,0,les,air
dis,held,1,0,ric,straight
dis,held,1,0,ris,express
div,held,1,0,div,drive
div,held,1,0,riv,to/arrive
dix,held,1,0,rex,array
diz,held,1,0,dez,dynamic
diz,held,1,0,leC,point
diz,held,1,0,reC,progress
diz,held,1,0,riC,algorithm
diz,held,1,0,riz,rise
dub,held,1,0,dob,two
dub,held,1,0,dub,aware
dub,held,1,0,lob,error
