concept,form,why
positive,mid,lost to the distance rule
one,med,lost to the distance rule
make,mek,lost to the distance rule
model,mad,lost to the distance rule
map,map,lost to the distance rule
math,mac,lost to the distance rule
bright,mar,lost to the distance rule
middle,mod,lost to the distance rule
complex,mop,lost to the distance rule
more,mor,lost to the distance rule
move,muv,lost to the distance rule
mouth,muc,lost to the distance rule
on,nev,lost to the distance rule
any,nec,lost to the distance rule
node,nod,lost to the distance rule
convert,nov,lost to the distance rule
two,noc,lost to the distance rule
constraint,nor,lost to the distance rule
unpredictable,nuk,lost to the distance rule
give,gev,lost to the distance rule
god,gad,lost to the distance rule
back,gok,lost to the distance rule
detect,dek,lost to the distance rule
dad,dad,lost to the distance rule
order,dor,lost to the distance rule
reserved bid,bid,lost to the distance rule
separate,bed,lost to the distance rule
left,bep,lost to the distance rule
boundary,bod,lost to the distance rule
absense,bop,lost to the distance rule
border,bor,lost to the distance rule
awake,bud,lost to the distance rule
predictable,pek,lost to the distance rule
place,pak,lost to the distance rule
path,pac,lost to the distance rule
part,par,lost to the distance rule
process,por,lost to the distance rule
baby,pup,lost to the distance rule
up,ted,lost to the distance rule
step,tep,lost to the distance rule
type,tap,lost to the distance rule
talk,tak,lost to the distance rule
good,tav,lost to the distance rule
target,tar,lost to the distance rule
attract,top,lost to the distance rule
tree,tok,lost to the distance rule
true,toc,lost to the distance rule
store,tor,lost to the distance rule
sine,tuk,lost to the distance rule
conscious,tuv,lost to the distance rule
tune,kip,lost to the distance rule
child,kik,lost to the distance rule
tangent,kap,lost to the distance rule
accept,kak,lost to the distance rule
code,kod,lost to the distance rule
compare,kop,lost to the distance rule
other,kor,lost to the distance rule
tone,kup,lost to the distance rule
group,hip,lost to the distance rule
hop,hap,lost to the distance rule
have,hav,lost to the distance rule
hold,hod,lost to the distance rule
seed,sid,lost to the distance rule
size,sip,lost to the distance rule
seek,sik,lost to the distance rule
send,sed,lost to the distance rule
inhale,sep,lost to the distance rule
sink,sek,lost to the distance rule
son,sod,lost to the distance rule
stop,sop,lost to the distance rule
surface,suk,lost to the distance rule
pleasure,zim,lost to the distance rule
below,zis,lost to the distance rule
nine,zez,lost to the distance rule
zone,zon,lost to the distance rule
sense,zox,lost to the distance rule
experience,zus,lost to the distance rule
life,vit,lost to the distance rule
see,vis,lost to the distance rule
sustain,vix,lost to the distance rule
bit,vij,lost to the distance rule
event,ven,lost to the distance rule
vague,veg,lost to the distance rule
byte,veb,lost to the distance rule
center,vaq,lost to the distance rule
vibe,vab,lost to the distance rule
bad,vat,lost to the distance rule
body,vas,lost to the distance rule
variable,vaz,lost to the distance rule
volume,vom,lost to the distance rule
off,von,lost to the distance rule
take,vog,lost to the distance rule
voice,voz,lost to the distance rule
belief,fic,lost to the distance rule
frequency,fek,lost to the distance rule
far,fad,lost to the distance rule
after,fap,lost to the distance rule
destroy,xiv,lost to the distance rule
return,xuv,lost to the distance rule
paradise,jin,lost to the distance rule
digit,jis,lost to the distance rule
orange,jan,lost to the distance rule
spirit,jaq,lost to the distance rule
universe,jul,lost to the distance rule
they,Cef,lost to the distance rule
that,Cat,lost to the distance rule
protect,cor,lost to the distance rule
field,cuv,lost to the distance rule
you,yar,lost to the distance rule
read,rid,lost to the distance rule
red,red,lost to the distance rule
repeat,rep,lost to the distance rule
receive,rek,lost to the distance rule
rock,rak,lost to the distance rule
particle,rav,lost to the distance rule
breath,ruc,lost to the distance rule
like,lik,lost to the distance rule
threshold,led,lost to the distance rule
fifteen,lep,lost to the distance rule
select,lek,lost to the distance rule
lead,lad,lost to the distance rule
collection,lok,lost to the distance rule
with,wim,opens on w, which v17 reserves
when,win,opens on w, which v17 reserves
white,wiq,opens on w, which v17 reserves
kaleidoscope,wig,opens on w, which v17 reserves
west,web,opens on w, which v17 reserves
wait,wet,opens on w, which v17 reserves
wave,wev,opens on w, which v17 reserves
what,wec,opens on w, which v17 reserves
why,won,opens on w, which v17 reserves
water,wot,opens on w, which v17 reserves
walk,wok,opens on w, which v17 reserves
sixteen,wov,opens on w, which v17 reserves
we,wol,opens on w, which v17 reserves
um,wuq,opens on w, which v17 reserves
will,wul,opens on w, which v17 reserves
mountain,mant,lost to the distance rule
thousand,mont,lost to the distance rule
me,must,lost to the distance rule
million,neqk,lost to the distance rule
strength,gruk,lost to the distance rule
clean,glin,lost to the distance rule
lip,glip,lost to the distance rule
click,glik,lost to the distance rule
gene,djin,lost to the distance rule
joke,djok,lost to the distance rule
trade,drad,lost to the distance rule
track,drak,lost to the distance rule
braid,bred,lost to the distance rule
prove,bruv,lost to the distance rule
plan,blan,lost to the distance rule
plane,blun,lost to the distance rule
quadrillion,tops,the sound rules refuse it
quintillion,kegd,the sound rules refuse it
its,hint,lost to the distance rule
hunt,hant,lost to the distance rule
sextillion,holv,the sound rules refuse it
simple,smip,lost to the distance rule
sneeze,sniz,lost to the distance rule
speech,spix,lost to the distance rule
nonillion,veks,the sound rules refuse it
form,forz,the sound rules refuse it
power36,xebz,the sound rules refuse it
their,Ceft,lost to the distance rule
power39,coqg,the sound rules refuse it
your,yart,lost to the distance rule
power42,resp,lost to the distance rule
power48,wemb,opens on w, which v17 reserves
our,wolt,opens on w, which v17 reserves
community,kamun,two syllables, which v17 has no shape for
