term,spelling,meaning,category,latin,native,language,edit
ken,,know (deep down),,,,,
mid,,middle,,,,,
mis,,miss,,,,english,
mox,,immutable,,,,,
mir,,light,,,,,
mek,,make,,,,english,
mes,,month,,masa,मास,sanskrit,
mev,,many,,many,,english,
mel,,mail,,,,english,
mam,,source,,,,,
man,,mind,,mánas,मनस्,sanskrit,
mad,,positive,,,,,
map,,map (map/reduce),,,,,
mak,,forward,,,,,
maf,,male,,,,,
maj,,magenta,,,,,
max,,earth (dirt),,,,,
hoz,,position (cardinal),,,,,
mal,,molecule,,,,english,
meq,,mine,,,,,
moq,,about/encompass,,,,english,
mod,,twelve,,,,,
muz,,pain,,,,,
moc,,mouth,,,,,
mol,,high,,,,,
mun,,conscious,,,,,
mut,,mutate,,,,english,
muv,,move,,,,,
moj,,emerge,,,,,
nin,,neutral,,,,,
xiq,,flow,,,,,
net,,knit,,,,,
nik,,pink,,,,,
nif,,a (isolated-element-focus),,,,,
ned,,static,,,,,
nek,,neck,,,,,
nes,,nice,,,,english,
nev,,off,,,,,
nan,,negate,,,,,
nid,,need,,,,,
niz,,nest (structure),,,,,
nak,,knock,,,,,
nas,,nest,,,,,
nav,,center,,,,,
naz,,as,,,,english,
xax,,eternal,,,,,
nar,,person,,nára,नर,sanskrit,
non,,not (un- or -im),,,,,
nop,,no,,,,english,
not,,note,,,,english,
noz,,nose,,,,english,
nox,,notion,,,,english,
num,,name,,,,,
nuq,,bond,,,,,
nuk,,(past particle),,,,,
nub,,else,,,,,
nuv,,listen,,,,,
nuc,,long,,,,,
nul,,toward,,,,,
gin,,infinite,,,,,
gik,,user,,,,english,
giv,,give,,,,english,
giz,,position,,,,,
gil,,goal,,,,english,
gem,,game,,,,english,
gan,,garden,,gan,גַּן,hebrew,
gag,,child,,,,,
gad,,god,,,,english,
gav,,how (missing-action-focus),,,,,
gal,,too,,,,english,
gar,,language,,,,,
goq,,job,,,,,
god,,gold,,,,english,
gop,,that,,,,,
gol,,end,,,,,
gub,,like (filler),,,,,
gut,,gut,,,,english,
guz,,sync,,,,,
guj,,memory,,,,,
gul,,exponent,,,,,
dig,,sine,,,,,
did,,deed,,,,english,
dip,,tree,,,,,
dis,,number,,,,,
dif,,define,,,,,
deb,,asleep,,,,,
det,,datetime stamp/instance in time,,,,,
dez,,dynamic,,,,,
dej,,orange,,,,,
dan,,the,,,,,
dad,,content,,,,,
dak,,minute,,daka,דַּקָּה,hebrew,
daf,,previous,,,,,
dal,,matter (physics),,,,,
dom,,state,,,,,
dob,,two,,,,,
doz,,here,,,,,
dor,,door,,,,,
dum,,negative,,,,,
dud,,friend,,,,english,
dub,,aware,,,,,
dux,,condition (general state),,,,,
bim,,bounty,,,,english,
big,,go,,,,english,
bid,,connect,,,,,
bib,,we,,,,,
bip,,information,,,,,
bil,,limit/restrict,,higbíl,הִגְבִּיל,hebrew,
beq,,bang,,,,english,
beb,,baby,,,,english,
bet,,under,,,,,
bes,,base,,,,english,
ber,,bear (carry),,,,english,
ban,,together/bind,,,,,
bad,,tangent (math),,,,,
bab,,target,,,,,
bat,,bite,,,,,
bos,,possessive plural,,,,,
baz,,possess,,,,,
baj,,by,,,,english,
bod,,know,,,,,
bov,,debug,,,,,
boz,,private,,,,,
bor,,condition (case),,,,,
bum,,boom,,,,english,
bug,,cosine,,,,,
bud,,awake,,,,,
bup,,energy,,,,,
but,,beauty,,,,english,
bux,,bundle (matter condensing),,,,,
bul,,blue,,,,,
piq,,request,,,,,
piz,,step,,,,,
pir,,peer,,,,english,
pem,,they (communicating-agent-external-reference-focus),,hem,הֵם,hebrew,
peq,,pay,,,,english,
pan,,yes,,,,,
paq,,response,,,,,
pop,,property (of object),,,,english,
pas,,peace,,,,,
pal,,to/arrive,,,,,
pom,,different,,,,,
pod,,free,,,,,
pum,,time (count),,,,,
pul,,pull,,,,english,
pur,,pure,,,,english,
tim,,team,,,,english,
tin,,between,,,,english,
tik,,ellipse,,,,,
tiv,,join (to one),,,,,
tic,,fourteen,,,,,
tir,,TRUE,,,,,
ten,,tan (color),,,,,
teq,,like (as if),,,,,
tek,,take,,,,english,
tef,,left,,,,english,
ter,,tail,,tail,,english,
taq,,tongue,,,,,
tat,,sibling,,,,,
tak,,talk,,,,,
tas,,test,,,,,
tav,,mental experience,,tov,טוֹב,hebrew,
tov,,good,,tov,טוֹב,hebrew,
taj,,down (to be cool with something),,,,,
yix,,something,,,,,
tal,,self (auto-),,,,,
tar,,tire (sleep),,,,,
tom,,atom,,,,english,
tos,,task,,,,english,
tor,,before,,,,,
tum,,wrong,,,,,
tuv,,input (computing),,,,,
tuc,,set (get),,,,,
tul,,tool,,tool,,english,
kim,,climb,,,,english,
kiq,,action type,,,,,
kid,,could,,,,english,
kip,,tune,,,,,
kik,,quick,,,,english,
kik,,kick,,,,,
kis,,if,,,,,
kiz,,plural (many),,,,,
kix,,process,,,,,
kil,,cyan,,,,,
kem,,come,,,,,
kep,,clone,,,,,
kes,,case (situation),,,,,
kej,,type,,,,,
ker,,down,,,,,
kam,,five,,,,,
kaq,,object type,,,,,
kat,,quiet,,,,,
kaz,,cause,,,,english,
kal,,time,,kala,काल,sanskrit,
kar,,call,,,,,
kon,,and,,,,,
kod,,code,,,,,
klot,,coyote,,,,english,
kos,,focus,,,,english,
kof,,default,,,,,
koz,,z-axis,,,,,
kox,,cell (biology),,koshA,कोशा,sanskrit,
kol,,all,,kol,כֹּל,hebrew,
kum,,back area,,,,,
kun,,communicate,,,,,
kuq,,swivel (type),,,,,
kub,,cube,,,,english,
kup,,tone,,,,,
kut,,cute,,,,english,
kuv,,divide,,,,,
kul,,cool (interjection),,,,english,
him,,chime,,,,,
hin,,hi,,,,,
hid,,but,,,,,
hip,,group,,,,,
hit,,heat,,,,,
huk,,hook,,,,,
hix,,peach (color),,,,,
hir,,hear,,,,english,
hem,,hey,,,,english,
heq,,hang,,,,english,
hek,,hour,,,,,
hez,,every,,,,,
her,,era,,,,english,
ham,,hmm,,,,english,
han,,zero,,,,,
had,,head,,,,english,
hap,,event,,,,,
hat,,at,,,,english,
hik,,hike,,,,,
has,,hyper,,,,english,
haz,,have,,,,,
hal,,how,,kathám,कथम्,sanskrit,
hom,,home,,,,english,
hoq,,hold,,,,,
hod,,period of x (-hood),,,,,
hov,,floating point,,,,,
hoz,,cardinal number,,,,,
hol,,whole,,,,english,
hum,,urge,,,,,
huq,,uh,,,,,
hub,,x-axis,,,,,
hut,,heed,,,,english,
hok,,okay,,,,,
huv,,handle,,,,,
siq,,swing,,,,,
sid,,seed,,,,,
skit,,sweet,,,,,
sif,,purple,,,,,
siz,,experience,,,,,
six,,all encompasing thing,,,,,
sil,,front,,,,,
sem,,same (sym-),,,,,
sep,,swipe,,,,english,
sev,,save,,,,english,
sez,,sir,,,,,
