atom,meaning,state,was,displaced
sub,I,held,,
dim,you,held,,
dam,he,filled,,morality
vex,she,filled,,reveal
vax,it,held,,
bib,we,held,,
pem,they,held,,
suf,self,held,,
Car,other,held,,
rug,this,held,,
gal,that,resounded,gir,too
doz,here,held,,
forc,there,held,,
miqk,who,held,,
wut,what,held,,
wetx,which,held,,
zuk,where,held,,
win,when,held,,
hal,how,held,,
wan,why,held,,
pan,yes,held,,
nop,no,held,,
kol,all,held,,
sorm,some,held,,
nark,any,held,,
nan,none,shortened,nunan,negate
sof,each,held,,
hez,every,held,,
mav,many,held,,
flun,few,held,,
sal,more,resounded,sil,like (similar)
sol,less,filled,,soul
sem,same,held,,
pom,different,held,,
kon,and,held,,
xat,or,held,,
ket,but,held,,
kiz,if,held,,
cam,then,held,,
tuz,because,held,,
yuc,with,held,,
Cev,without,held,,
Ciz,for,filled,,kaledoscope
Coz,from,filled,,except
yuv,to,filled,,view
yov,of,held,,
ras,in,held,,
vun,on,held,,
hat,at,held,,
baC,by,held,,
naz,as,held,,
non,not,held,,
kard,can,held,,
mat,must,shortened,marst,forward
kod,may,filled,,code
ciq,thing,held,,
kund,kind,held,,
tuq,type,held,,
part,part,held,,
hol,whole,held,,
hip,group,held,,
xok,pair,shortened,xadik,copy
tac,set,held,,
hut,amount,shortened,hamant,heed
dis,number,held,,
nam,name,held,,
form,form,held,,
xul,shape,shortened,xepol,subtract
jom,pattern,held,,
nord,order,held,,
lok,place,held,,
leC,point,held,,
sard,side,held,,
nav,center,held,,
padj,edge,held,,
guv,end,held,,
vig,start,held,,
mad,middle,held,,
kaz,cause,held,,
zak,effect,held,,
sog,reason,held,,
buz,purpose,shortened,purpoz,bosom
yuz,use,held,,
nid,need,held,,
ned,choice,filled,,static
tos,chance,shortened,txants,task
xun,change,held,,
dom,state,held,,
yat,way,held,,
val,value,held,,
vul,truth,filled,,via
zav,lie,held,,
miv,idea,held,,
rul,rule,held,,
sul,example,shortened,zampol,still (time)
woz,problem,held,,
kulx,answer,held,,
luq,question,held,,
mog,meaning,held,,
ral,relation,resounded,ril,raw
xiq,level,shortened,xikvan,will
yaj,measure,held,,
yix,limit,filled,,something
paq,possible,shortened,pasbal,response
lam,real,held,,
rot,false,held,,
vek,fact,shortened,vipak,filter
hap,event,held,,
kix,process,held,,
mab,source,held,,
xen,result,held,,
rik,up,held,,
kur,down,held,,
tef,left,held,,
fot,right,held,,
sig,front,held,,
gus,back,held,,
gis,inside,filled,,will (future)
kus,outside,filled,,constant
saj,above,filled,,etc
six,below,filled,,all encompasing thing
sadj,beside,held,,
tin,between,held,,
ton,around,filled,,agent (one who does x)
vim,near,filled,,way/style
farm,far,held,,
norc,north,held,,
cron,south,held,,
dart,east,held,,
trad,west,held,,
nol,toward,held,,
yad,away,held,,
yut,across,filled,,yet
tip,through,filled,,step
djip,over,held,,
bet,under,held,,
suk,top,held,,
kis,bottom,held,,
sorf,surface,held,,
dapc,depth,held,,
lorn,line,held,,
pac,path,held,,
nuq,area,shortened,nolrin,bond
ron,region,shortened,ridjan,environment
bund,boundary,held,,
bud,opening,filled,,awake
kul,corner,shortened,kornar,cool (interjection)
drix,direction,held,,
corb,distance,held,,
giz,position,held,,
ric,straight,held,,
kurv,curve,held,,
salk,circle,held,,
zut,angle,shortened,zavit,identity
cub,gap,shortened,cugram,torture
pas,space,held,,
wold,world,held,,
zon,size,shortened,sazan,zone
hok,length,shortened,hokek,okay
widc,width,held,,
gik,height,shortened,govak,user
kal,time,held,,
xom,now,held,,
rost,past,held,,
tup,future,shortened,txantep,impure
tor,before,held,,
ret,after,held,,
hak,early,shortened,harlig,hack (work)
lor,late,shortened,letar,lord
slun,soon,held,,
mut,moment,shortened,moment,mutate
yam,day,held,,
yit,night,held,,
moq,morning,shortened,morniq,about/encompass
huq,evening,shortened,hivniq,uh
yar,year,held,,
mes,month,held,,
wek,week,held,,
zin,season,shortened,sizan,decision
hedj,age,held,,
ban,begin,shortened,begin,together/bind
sef,continue,held,,
finz,finish,held,,
wet,wait,held,,
hin,happen,shortened,hapan,hi
bim,become,shortened,bikam,target
run,remain,shortened,rimen,glyph
grun,grow,held,,
xik,shrink,shortened,xriqk,computation
luf,increase,shortened,yosaf,far (large-distance-focus)
dal,decrease,shortened,djanxal,matter (physics)
fleC,appear,held,,
haz,vanish,shortened,higoz,have
vav,repeat,held,,
rol,cycle,held,,
sat,sudden,shortened,sadan,sight
rar,gradual,filled,,rare
hoz,always,shortened,halez,cardinal number
lal,never,filled,,y-axis
hun,often,shortened,hafan,illusion
vid,sometimes,filled,,veer
ved,once,filled,,study or science of (-ology)
ziq,still,shortened,stilaq,zing
lod,already,shortened,lored,load
fid,next,held,,
daf,previous,held,,
teq,during,shortened,doriq,like (as if)
har,until,shortened,hantil,era
gump,new,held,,
marg,old,held,,
van,young,shortened,vidjan,having the nature of (-ivity)
mek,make,held,,
duz,do,held,,
wark,work,held,,
bild,build,held,,
brek,break,held,,
kaq,cut,shortened,katoq,object
sit,pierce,shortened,snatat,medium
sok,strike,shortened,struk,around/surround
gruv,rub,held,,
pras,press,held,,
bend,bend,held,,
fold,fold,held,,
hod,tie,shortened,haktad,period of x (-hood)
worv,weave,held,,
zaq,sew,shortened,suliq,presence
tar,dig,shortened,digor,tire (sleep)
pat,plant,shortened,plant,dimension
fix,harvest,filled,,belief
kan,cook,shortened,kurkan,aggregate
dum,burn,shortened,djasum,negative
sax,wash,held,,
dral,dry,held,,
pot,pour,shortened,porit,honorific (address)
miks,mix,held,,
xed,shake,shortened,xekan,should
pit,grind,shortened,pinast,pure
