term,meaning,latin,native,language
min,not know,,,
miq,motion,,,
mid,positive,,,
mit,meet,,,english
mis,miss (longing),,,english
miv,idea,,,
mix,network,,,english
mir,bright,,,
men,main,,,
meq,mine,,,
mek,make,,,english
mes,month,masa,मास,sanskrit
mej,model,,,
mam,mother,,,
man,mind,mánas,मनस्,sanskrit
maq,harmony,,,english
mag,fruit,,,english
mad,middle,,,
mab,source,,,
map,map (map/reduce),,,
mat,forward,,,
mak,meat,,,english
maf,male,,,
mav,many,,,english
maz,flow (speech utterance),,,
maj,magenta,,,
mac,great,mahat,महत्,sanskrit
mal,molecule,,,english
mar,symbol,,,
moq,about/encompass,,,english
mog,meaning,,,english
mod,mode,,,
mop,twelve,,,
mot,mountain,,,
mok,align,,,english
moz,hash,,,
moj,emerge,,,
mox,immutable,,,
mol,high,,,
mor,the model of the action (e.g. the transform),,,
mun,gut sense,,,
muq,mmm,,,english
mug,(past particle),,,
mud,mood,,,english
mut,mutate,,,english
muk,earth (dirt),,,
mus,mercy,,חֶסֶד,hebrew
muv,move,,,
muz,pain,,,
muj,message,,,english
muc,mouth,,,
mul,unreal,,,english
niq,omniscient,,,english
nid,need,,,
nik,pink,,,
nif,a (isolated-element-focus),,,
niz,nest (structure),,,
nix,listen,,,
nir,nerd,,,english
ned,static,,,
nep,nature,,,
net,knit,,,
nek,neck,,,
nes,nice,,,english
nev,off,,,
nam,name,,,
nan,negate,,,
naq,,,,
nak,knock,,,
nas,nest,,,
nav,center,,,
naz,as,,,english
nal,neutral,,,
nar,person,nára,नर,sanskrit
non,not (un- or -im),,,
nop,no,,,english
not,note,,,english
noz,nose,,,english
nox,notion,,,english
nol,toward,,,
num,know,,,
nuq,bond,,,
nub,separate,,,
nuv,empty,,,
nuz,distribute,,,
nuj,hell,,,
nuc,long,,,
nul,forget,,,
gim,magic,,,
gin,sync,,,
gib,guide,,,english
git,infinite,,,
gik,user,,,english
gis,will (future),,,english
gif,give,,,english
giz,position,,,
gir,that,,,
gem,game,,,english
gan,garden,gan,גַּן,hebrew
gag,child,,,
gad,god,,,english
gab,eat,,,
gav,how (missing-action-focus),,,
gaz,possess,,,
gaC,gather,,,english
gal,too,,,english
gar,language,,,
goq,job,,,
god,gold,,,english
gop,,,,
got,antenna,,,english
gol,goal,,,english
gum,come,,,
gun,representation,,,
gub,like (filler),,,
gut,gut,,,english
gus,back (front),,,
guv,end,,,
guz,lose,,,
guj,memory,,,
gul,exponent,,,
dim,you,,,
dig,sine,,,
did,deed,,,english
dib,connect,,,
dip,tree,,,
dis,number,,,
dif,define,,,
div,drive,,,
det,datetime stamp/instance in time,,,
dez,dynamic,,,
dej,orange,,,
dam,morality,dhárma,धर्म,sanskrit
dan,the,,,
dag,dog,,,english
dad,content,,,
dat,word,,,english
dak,physical,,,
das,understand,,,
daf,previous,,,
dav,divine,,,
dac,death,,,
dal,matter (physics),,,
dom,state,,,
dob,two,,,
doz,here,,,
dor,door,,,
dum,negative,,,
dun,join (to one),,,
dug,drink,,,english
dud,friend,,,english
dub,aware,,,
duk,minute,daka,דַּקָּה,hebrew
dus,reduce,,,
duz,do,,,
dux,condition (general state),,,
dul,delete,,,
bim,target,,,
biq,being,,,english
big,go,,,english
bid,ignorant,,,
bib,we,,,
bip,output,,,
bit,beat,,,english
biz,intense,,,
bil,limit/restrict,higbíl,הִגְבִּיל,hebrew
beq,bang,,,english
bed,bite,,,
beb,baby,,,english
bet,under,,,
bes,base,,,english
bam,create,,,
ban,together/bind,,,
baq,be,,,
bag,insect,,,english
bad,tangent (math),,,
bab,father,,,
bat,beauty,,,english
bak,send,,,
bax,bird,bird,,english
baC,by,,,english
bar,bear (carry),,,english
bod,,,,
bot,boat,,,english
bos,possessive plural,,,
bov,debug,,,
boz,private,,,
bor,condition (case),,,
bum,boom,,,english
bug,cosine,,,
bud,awake,,,
bub,boob,buba,בּוּבָּה,hebrew
bup,energy,,,
but,unstable,,,
buz,bosom,,,
bux,bundle (matter condensing),,,
bul,blue,,,
pim,permeate,,,english
piq,request,,,
pip,individual,,,
pit,pure,,,english
pik,master,,,
pem,they (communicating-agent-external-reference-focus),hem,הֵם,hebrew
peq,pay,,,english
pam,pray,,,
pan,yes,,,
paq,response,,,
pat,dimension,,,
pak,package,,,
pas,space,,,english
pac,path,,,
par,depart/from,,,english
pom,different,,,
pod,free,,,
pop,property (of object),,,english
pot,honorific (address),,,
por,poor,chasheng,差生,chinese
pum,time (count),,,
pul,pull,,,english
tim,team,,,english
tin,between,,,english
tiq,mental experience,tov,טוֹב,hebrew
tip,step,,,
tiv,conscious,,,
tiz,ellipse,,,
tix,tingle,,,english
tic,fourteen,,,
tir,TRUE,,,
ten,tan (color),,,
teq,like (as if),,,
tet,signal,le'ot(e)t,לְאוֹתֵת,hebrew
tek,take,,,english
tef,left,,,english
tam,meditate,,,
taq,tongue,,,
tad,tail,tail,,english
tab,stable,,,
tat,sibling,,,
tak,talk,,,
tas,test,,,
taf,good,tov,טוֹב,hebrew
taj,down (to be cool with something),,,
tac,set (get),,,
tal,tell,,,english
tar,tire (sleep),,,
tom,atom,,,english
ton,agent (one who does x),,,
tod,term,,,
tok,structure,,,english
tos,task,,,english
tox,text,,,
tor,before,,,
tuq,type,,,
tub,tube,,,english
tup,impure,,,english
tuv,input (computing),,,
tuz,because,,,
tux,intuition,,,english
tuc,emotion,,,
tul,tool,tool,,english
tur,turf,,,english
kim,climb,,,english
kiq,action,,,
kid,could,,,english
kip,tune,,,
kik,kick,,,
kis,bottom,,,
kiv,intent,,,
kiz,if,,,
kix,process,,,
kil,cyan,,,
ken,communicate,,,
kep,clone,,,
ket,but,,,
kek,agree,,,
kes,case (situation),,,
kam,calm,,,
kan,aggregate,quánbù,全部,chinese
kaq,object,,,
kab,receive,kabala,קַבָּלָה,hebrew
kat,focus,,,english
kaf,cough,,,english
kaz,cause,,,english
kax,perfect,,,english
kal,time,kala,काल,sanskrit
kar,call,,,
kom,five,,,
kon,and,,,
kod,code,,,
kop,scope,,,english
kok,disagree,nekhlák,נֶחְלַק,hebrew
kof,default,,,
kov,cover,,,english
koz,z-axis,,,
koj,fool,,,
kox,cell (biology),koshA,कोशा,sanskrit
kol,all,kol,כֹּל,hebrew
kum,back area,,,
kuq,manner,,,
kud,miss (didn't touch),,,
kub,cube,,,english
kup,tone,,,
kus,constant,,,english
kuf,clue,,,
kuv,divide,,,
kul,cool (interjection),,,english
kur,down,,,
him,nothing,,,
hin,hi,,,
hid,not hidden,,,
hip,group,,,
hit,heat,,,
hik,hike,,,
his,snake,,,english
hix,peach (color),,,
hir,hear,,,english
hem,hey,,,english
heq,hang,,,english
hek,hour,,,
hez,every,,,
ham,hmm,,,english
han,zero,,,
had,head,,,english
hap,event,,,
hat,at,,,english
hak,hack (work),,,
has,hyper,,,english
haz,have,,,
hal,how,kathám,कथम्,sanskrit
har,era,,,english
hom,home,,,english
hoq,hold,,,
hod,period of x (-hood),,,
hop,hope,,,english
hok,okay,,,
hov,floating point,,,
hoz,position (cardinal),,,
hoz,cardinal number,,,
hol,whole,,,english
hum,chime,,,
hum,urge,,,
hun,illusion,,,english
huq,uh,,,
hud,hide,,,
hub,x-axis,,,
hut,heed,,,english
huk,hook,,,
huv,handle,,,
huz,duration,,,
sig,front,,,
sid,seed,,,
sip,asleep,,,
sit,medium,,,
sik,seek,,,
sif,purple,,,
siv,perceive,,,english
siz,peace,,,
six,all encompasing thing,,,
siC,hush,,,
sil,more (-er),,,
sem,same (sym-),,,
sep,swipe,,,english
sek,percept,,,
sef,continue,yos(e)f,יוֹסֵף,hebrew
sev,save,,,english
sez,sir,,,
seC,etc.,,,
sam,sound,sound,,english
san,sun,sū́rya,सूर्य,sanskrit
saq,song,,,english
sag,beyond (extra- or hyper-),,,
sab,describe,,,
sap,present (now),,,
sat,sight,,,english
sas,parent,,,
sav,silver,,,english
saz,emphasize,,,english
saj,etc,,,
sax,wash,,,
sal,like (similar),,,
sar,surf,,,
som,drug,soma,सोम,sanskrit
sog,reason,,,english
sod,mystery,,,hebrew
sop,so/transition,,,english
sok,around/surround,,,english
sof,each,,,
soz,also,,,
sol,soul,,,
sor,file (computer),,,english
sub,I,,,
sup,above (super)/hover,,,
sut,store,,,english
suk,top,,,
suf,self (auto-),,,
suv,observe,,,english
suC,three,,,
sul,still (time),,,
sur,assert,,,
sur,out,,,
fim,female,,,
fid,next,,,
fid,food,,,
fix,belief,,,
fil,feel,,,engllish
fet,eight,,,
fek,fake,,,english
fes,face,,,english
fam,family,,,english
fan,find,,,
fak,fuck,,,
faz,green,,,
fon,device,,,
fot,right (direction),,,
fok,halt,,,
fos,else,,,
for,fire,,,
fun,within (endo-),,,
fun,would,,,english
fun,wind (air),,,english
fuq,function,,,english
fug,figure (it out),,,
fup,borrow,,,
fut,bad,,,
fus,discontinuous,,,
fuz,fusion,,,
fuj,refuge,,,english
ful,fuel,,,english
fur,fail,,,
vim,way/style,,,
vin,fill (-full),,,
viq,everything,,,
vig,start,,,
vid,veer,,,
vip,six,,,
vit,information,,,
vis,see,,,spanish
vix,preserve,,,
vic,bit,,,
vil,manifest,,,
vir,remote (far),,,
ved,study or science of (-ology),,,
veb,byte,,,english
vek,filter,,,
ves,vessel,,,
vex,reveal,,,
van,having the nature of (-ivity),,,
vab,vibe,,,english
vat,body,,,
vak,multiply,,,
vas,aspect,,,
vav,repeat,,,
vax,it,,,
val,value,,,english
var,variable,,,
von,sin,avon,עָווֹן,hebrew
vog,black,,,
vod,void,,,
vot,vote,,,english
vov,axis,,,
voz,voice,,,english
vor,,,,
vun,on,,,
vuq,data,,,
vuq,foundation,,,english
vus,flex,,,
vuc,catch,,,
vul,via,,,english
zim,pleasure,,,
zin,decision,,,english
ziq,zing,,,english
zig,gain,,,
zip,graph,,,
zil,perspective,,,
zir,pertaining to x (pleasantry),,,
zem,plasma (matter),,,english
zet,olive (color),,,
zan,one,,,
zaq,presence,,,
zab,public,tzibur,צִיבּוּר,hebrew
zap,zap,,,english
zak,effect,,,
zaf,equal (iso-),,,
zav,lie,kaḏaba,كَذَبَ,arabic
zar,vowel,svara,स्वर,sanskrit
zom,so/great,,,
zon,zone,,,
zok,try,,,
zox,sense,,,
zum,zoom,,,
zub,absorb,,,english
zut,identity,zehut,זֶהוּת,hebrew
zuk,where,,,
zus,experience,,,
zuz,converse (talk),,,
zul,animal,zoia,ζῷᾰ,greek
zur,fall,,,
jin,paradise,janna,جَنَّة,arabic
jit,digit,,,english
jil,stream,,,
jet,throw,jeté,,french
jan,spirit,,,english
jaq,count,,,
jak,wisdom,,,
jas,just (close-focus),,,english
jom,pattern,,,
jul,universe,,,
jul,flow,,,
xim,speech,,,english
xin,machine,,,english
xiq,will,,,
xid,grey,,,
xip,imagine,,,english
xit,provide,lehox(i)t,לְהוֹשִׁיט,hebrew
xik,computation,,,
xiv,destroy,,,
xic,eye,,,
xen,result,,,
xed,should,,,english
xam,heaven,,,
xab,seven,,,
xat,or,,,
xax,eternal,,,
xal,share,,,english
xom,now,,,
xok,copy,,,
xol,show,,,english
xum,sky,,,
xun,change,,,
xud,quiet,,,
xup,ship,,,
xut,shout,,,english
xut,shelter,,,
xuv,return,,,
xul,subtract,,,
ciq,thing (hatchling),,,english
cit,get,,,
Ciz,kaledoscope,,,
Cev,without,,,
cam,then,,,english
Can,than/compare,,,english
cad,life,,,
cat,mud,,leðja,icelandic
cak,thank,,,english
Cas,thus,,,english
Car,there (abstract reference),,,
Car,other,,,english
Con,transition,,,
Cog,though/regard,,,english
cok,spec,,,
cov,brown,,,
Coz,except,,,
cub,torture,ʿaḏāb,عَذَاب,arabic
cuk,eleven,,,
cuv,field (ether),,,
cux,key,,,
wim,bounty,,,english
win,when (time location),,,english
wiq,wing,,,
wig,kaleidoscope,,,
wis,inverse,,,english
wiv,connection network (neighborhood),,,
wiz,solve,,,
wem,warm,,,english
wet,wait,,,english
wek,week,,,english
wev,wave,,,
wez,fifteen,,,
wan,why,,,
waq,um,,,
wat,white,,,
wak,walk,,,
wav,exist,,,
waC,water,,,
wal,while,,,
war,wear,,,
wom,well (good),,,
woz,problem,,,
wol,wow,,,
wor,forceful (like hard hit),,,
wum,swim,,,
wum,womb,,,english
wun,woo,,,
